match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_wonTackle,captain,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14025145,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,1,1,False,20.0,15.0,8.0,3.0,0.0,14.0,14.0,1.0,6.0,1.0,1.0,7.0,1.0,3.0,3.0,90.0,31.0,7.9,5.0,0.00017671,0.3566,0,0.366,0.03,0.0,0.2,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025145,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,70.0,54.0,7.0,1.0,0.0,25.0,27.0,29.0,43.0,2.0,4.0,7.0,,,,90.0,98.0,7.7,20.0,0.187258,,0,,0.49,0.04,-0.01,,10.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
14025145,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,61.0,53.0,13.0,7.0,0.0,35.0,35.0,18.0,26.0,6.0,7.0,2.0,,,,90.0,77.0,8.0,9.0,0.0327385,,0,,0.42,0.08,0.49,,,,4.0,,9.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14025145,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,50.0,40.0,5.0,1.0,0.0,29.0,32.0,11.0,18.0,4.0,6.0,3.0,,,,90.0,60.0,6.8,11.0,0.00238799,,1,,-0.09,0.04,0.15,,,,4.0,,3.0,1.0,2.0,,,3.0,,1.0,1.0,1.0,0.0429,-0.07,,,,,,,,,,,,,,,,
14025145,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4840,M,,980634,EUR,1037059200,D,21,21,False,47.0,45.0,1.0,1.0,0.0,14.0,15.0,31.0,32.0,2.0,5.0,4.0,,,,90.0,76.0,6.8,13.0,0.0364874,,0,,0.11,0.15,-0.08,,,,9.0,2.0,2.0,,2.0,1.0,,1.0,,3.0,1.0,,,,1.0,5.0,1.0,,,,,,,,,,,,,
14025145,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,50.0,39.0,6.0,2.0,0.0,16.0,17.0,23.0,33.0,,6.0,10.0,,,,90.0,70.0,6.6,19.0,0.0547721,,1,,0.27,0.12,-0.03,,,,9.0,,,1.0,,5.0,2.0,2.0,,2.0,2.0,1.0,0.0793,-0.35,3.0,3.0,,True,1.0,,,,,,,,,,,
14025145,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,51.0,40.0,8.0,4.0,0.0,14.0,17.0,26.0,34.0,,6.0,2.0,,,,90.0,69.0,7.5,14.0,0.020165,,3,,0.26,0.16,-0.07,,1.0,,3.0,2.0,,2.0,1.0,4.0,,,,1.0,,,0.1354,0.09,,2.0,1.0,,1.0,1.0,2.0,1.0,0.631,,,,,,,
14025145,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,31.0,24.0,,,0.0,6.0,8.0,18.0,23.0,2.0,2.0,1.0,,,,65.0,32.0,7.6,7.0,0.312816,,0,,0.68,0.09,0.13,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
14025145,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,26.0,17.0,2.0,1.0,1.0,2.0,3.0,15.0,23.0,1.0,3.0,,,,,89.0,51.0,7.0,20.0,0.275867,,4,,0.33,0.15,-0.01,,9.0,1.0,3.0,1.0,2.0,,,,1.0,1.0,,2.0,,1.0,0.8223,-0.71,,3.0,,,2.0,2.0,1.0,,0.3072,,1.0,,,,,
14025145,home,Newcastle United,Nick Woltemade,,,nick-woltemade,N. Woltemade,F,27,198,55466,M,,980623,EUR,1013644800,F,27,27,False,9.0,8.0,,,0.0,1.0,1.0,7.0,8.0,3.0,8.0,3.0,,,,65.0,20.0,7.8,4.0,0.0120446,,3,,-0.21,-0.27,0.15,,,,3.0,,,,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,0.2745,0.48,1.0,,2.0,,,1.0,1.0,,0.8135,,,1.0,,,,
14025145,home,Newcastle United,Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181,5550,M,,855647,EUR,881625600,F,11,11,False,20.0,18.0,,,0.0,7.0,7.0,11.0,13.0,,2.0,2.0,,,,80.0,42.0,6.8,13.0,0.0910087,,3,,0.3,0.24,0.16,,5.0,,3.0,1.0,1.0,,1.0,1.0,,,,3.0,,1.0,0.1085,-0.34,2.0,,1.0,,,2.0,,,,,,,1.0,,,
14025145,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,True,5.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,,1.0,1.0,,,,25.0,8.0,6.6,2.0,0.00354372,,1,,0.04,0.0,-0.01,,,,3.0,1.0,1.0,,,,,,,,2.0,,0.0912,-0.08,,1.0,,,1.0,1.0,,,,,,,,,,
