match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_challengeLost,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,captain,stat_bigChanceCreated,player_firstName,player_lastName,stat_errorLeadToAShot,stat_goodHighClaim,stat_goalAssist,stat_blockedScoringAttempt,stat_goals
10583798,home,Al-Fateh,Mustafa Malaika,mustafa-malaika,M. Malaika,G,1,184,41,M,818855,EUR,516931200,G,26,26,False,15.0,12.0,8.0,5.0,11.0,12.0,1.0,3.0,1.0,1.0,9.0,1.0,2.0,2.0,90.0,23.0,6.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583798,home,Al-Fateh,Nawaf Boushal,nawaf-boushal,N. Boushal,D,12,178,1391,M,986400,EUR,937440000,D,2,2,False,29.0,26.0,4.0,2.0,14.0,14.0,12.0,17.0,4.0,1.0,9.0,1.0,,,77.0,51.0,6.5,11.0,0,2.0,5.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
10583798,home,Al-Fateh,Fran Vélez,fran-velez,F. Vélez,D,,182,101,M,113431,EUR,677635200,D,4,4,False,41.0,39.0,8.0,8.0,27.0,29.0,12.0,13.0,6.0,2.0,6.0,,,,90.0,53.0,7.4,3.0,2,1.0,2.0,,,,3.0,,,,,2.0,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10583798,home,Al-Fateh,Marwane Saadane,marwane-saadane,M. Saadane,D,17,185,1277,M,847714,EUR,695606400,D,17,17,False,54.0,47.0,14.0,9.0,22.0,26.0,25.0,28.0,2.0,2.0,8.0,2.0,,,90.0,68.0,7.0,8.0,0,,4.0,,,,4.0,2.0,,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,
10583798,home,Al-Fateh,Tawfiq Buhumaid,tawfiq-buhumaid,T. Buhumaid,D,25,179,6,M,871425,EUR,562464000,D,25,25,False,41.0,32.0,3.0,1.0,12.0,18.0,22.0,32.0,7.0,1.0,9.0,5.0,,,90.0,65.0,6.9,17.0,0,9.0,5.0,,1.0,,,4.0,,1.0,3.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,
10583798,home,Al-Fateh,Mourad Batna,batna-mourad,M. Batna,M,11,185,1192,M,880790,EUR,646444800,M,11,11,False,14.0,12.0,,,,,13.0,21.0,7.0,,1.0,,,,90.0,43.0,7.4,11.0,8,7.0,4.0,2.0,4.0,4.0,,,,2.0,1.0,1.0,1.0,5.0,3.0,,,,1.0,2.0,4.0,,,,,,,,,
10583798,home,Al-Fateh,Mohammed Al-Fuhaid,mohammed-al-fuhaid,M. Al-Fuhaid,M,28,171,10,M,818616,EUR,631843200,M,14,14,False,22.0,22.0,2.0,2.0,12.0,12.0,10.0,10.0,3.0,,1.0,1.0,,,65.0,29.0,6.5,2.0,0,,3.0,2.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,True,,,,,,,,
10583798,home,Al-Fateh,Mohammed Petros,petros,Petros,M,,182,273,M,552678,EUR,612403200,M,6,6,False,49.0,45.0,2.0,1.0,23.0,25.0,22.0,24.0,5.0,,8.0,1.0,,,77.0,63.0,6.8,7.0,1,,6.0,2.0,1.0,1.0,1.0,,1.0,3.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,
10583798,home,Al-Fateh,Christian Cueva,christian-cueva,C. Cueva,M,10,169,2073,M,47447,EUR,690854400,M,10,10,False,49.0,42.0,3.0,2.0,11.0,12.0,33.0,43.0,3.0,,4.0,,,,90.0,67.0,7.5,17.0,0,6.0,4.0,3.0,2.0,2.0,,,2.0,1.0,1.0,,,,,,,3.0,2.0,,1.0,,1.0,,,,,,,
10583798,home,Al-Fateh,Sofiane Bendebka,sofiane-bendebka,S. Bendebka,M,28,180,1218,M,845609,EUR,713318400,F,28,28,False,30.0,26.0,6.0,6.0,9.0,9.0,17.0,22.0,4.0,1.0,3.0,1.0,,,90.0,44.0,6.3,9.0,3,1.0,5.0,1.0,,,,1.0,3.0,2.0,2.0,,1.0,2.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,
