match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_dateOfBirthTimestamp,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_height,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wasFouled,stat_totalCross,stat_totalContest,stat_accurateCross,captain,stat_shotOffTarget,stat_totalOffside,stat_wonContest
11048700,home,Chicago House AC,Tony Halterman,Tony Halterman,,tony-halterman,T. Halterman,G,17,3,M,1479746,EUR,G,18,18,False,37.0,22.0,24.0,10.0,18.0,22.0,4.0,15.0,1.0,1.0,2.0,12.0,1.0,4.0,4.0,2.0,90.0,48.0,8.1,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11048700,home,Chicago House AC,Jack Kramer,Jack Kramer,,jack-kramer,J. Kramer,M,2,1,M,1480257,EUR,D,2,2,False,32.0,12.0,7.0,1.0,4.0,8.0,8.0,24.0,2.0,2.0,7.0,4.0,,,,,90.0,58.0,6.5,25.0,0,927158400.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11048700,home,Chicago House AC,John Makowiecki,John Makowiecki,,john-makowiecki,J. Makowiecki,D,,2,M,1480285,EUR,D,5,5,False,44.0,31.0,10.0,2.0,21.0,25.0,10.0,19.0,1.0,6.0,11.0,9.0,,,,,90.0,71.0,8.1,16.0,2,959040000.0,2.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,183.0,2.0,1.0,1.0,5.0,4.0,,,,,,,,,,,
11048700,home,Chicago House AC,Nassouh Kabbani,Nassouh Kabbani,,nassouh-kabbani,N. Kabbani,M,15,3,M,1480351,EUR,D,15,15,False,54.0,35.0,11.0,4.0,24.0,32.0,11.0,22.0,2.0,9.0,8.0,7.0,,,,,90.0,74.0,7.5,22.0,2,973641600.0,3.0,8.0,2.0,1.0,,2.0,2.0,1.0,,,,,5.0,4.0,1.0,1.0,2.0,2.0,,,,,,,
11048700,home,Chicago House AC,Florian Ouaddour,Florian Ouaddour,,florian-ouaddour,F. Ouaddour,D,99,1,M,1480232,EUR,D,99,99,False,32.0,27.0,,,18.0,20.0,9.0,13.0,1.0,4.0,6.0,9.0,,,,,90.0,60.0,6.8,12.0,0,916444800.0,4.0,8.0,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,2.0,,,,,
11048700,home,Chicago House AC,Aaron Nguyen,Aaron Nguyen,,aaron-nguyen,A. Nguyen,M,20,2,M,1479850,EUR,M,20,20,False,19.0,12.0,1.0,1.0,10.0,13.0,2.0,6.0,,1.0,2.0,3.0,,,,,90.0,23.0,6.7,7.0,0,955670400.0,3.0,4.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
11048700,home,Chicago House AC,Shannon Seymour,Shannon Seymour,,shannon-seymour,S. Seymour,M,8,1,M,1479451,EUR,M,8,8,False,34.0,23.0,4.0,3.0,6.0,10.0,18.0,26.0,,,,11.0,,,,,77.0,37.0,7.0,12.0,0,,,1.0,1.0,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,
11048700,home,Chicago House AC,AR Smith Jr,AR Smith Jr,,ar-smith-jr,A. S. Jr,M,14,2,M,1479631,EUR,M,14,14,False,31.0,22.0,2.0,1.0,11.0,16.0,11.0,17.0,4.0,9.0,3.0,5.0,,,,,90.0,59.0,6.8,23.0,2,792288000.0,4.0,9.0,,1.0,,10.0,3.0,1.0,,,,,3.0,3.0,,,1.0,2.0,2.0,1.0,,True,1.0,,
11048700,home,Chicago House AC,Ricardo Avalos Jr.,Ricardo Avalos Jr.,,ricardo-avalos-jr,R. Avalos Jr.,F,10,1,M,1192656,EUR,F,10,10,False,14.0,9.0,2.0,,5.0,7.0,4.0,9.0,1.0,2.0,1.0,5.0,,,,,66.0,31.0,6.7,13.0,1,928886400.0,1.0,4.0,1.0,,2.0,5.0,1.0,,,1.0,,,1.0,1.0,,,,,2.0,1.0,,,,,
11048700,home,Chicago House AC,Adam Mann,Adam,Mann,adam-mann,A. Mann,D,7,0,M,240340,EUR,F,7,7,False,22.0,15.0,1.0,1.0,4.0,4.0,12.0,21.0,1.0,3.0,1.0,,,,,,90.0,40.0,6.3,17.0,0,684979200.0,4.0,14.0,1.0,2.0,,4.0,5.0,1.0,,,,,1.0,1.0,,,,1.0,3.0,2.0,1.0,,,1.0,
