match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,captain,stat_blockedScoringAttempt,stat_shotOffTarget,stat_accurateCross,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals
12437856,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1488,M,358910,EUR,830822400,G,13,13,False,45.0,36.0,25.0,16.0,0.0,25.0,26.0,11.0,19.0,1.0,10.0,1.0,4.0,4.0,1.0,1.0,90.0,55.0,7.6,9.0,0.00602822,0,0.0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437856,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183.0,8158,M,965031,EUR,898300800,D,2,2,False,47.0,38.0,2.0,,0.0,19.0,21.0,19.0,27.0,1.0,5.0,,,,,,90.0,83.0,6.5,20.0,0.00966372,0,,Sonic,1.0,2.0,1.0,10.0,7.0,2.0,1.0,7.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,
12437856,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1047,M,88528,EUR,674697600,D,24,24,False,67.0,56.0,12.0,4.0,0.0,41.0,43.0,15.0,24.0,11.0,9.0,,,,,,90.0,83.0,6.6,11.0,0.00817421,0,,,,3.0,2.0,6.0,3.0,2.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,
12437856,home,Rayo Vallecano,Abdul Mumin,abdul-mumin,A. Mumin,D,16,188.0,1245,M,846147,EUR,897091200,D,16,16,False,51.0,49.0,4.0,2.0,0.0,38.0,38.0,11.0,14.0,1.0,2.0,,,,,,90.0,62.0,6.9,5.0,0.00423866,1,,,1.0,2.0,,5.0,3.0,,2.0,,,,2.0,1.0,,1.0,1.0,1.0,2.0,0.021,0.01,,,,,,,,,,
12437856,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174.0,630,M,1010421,EUR,892166400,D,3,3,False,49.0,42.0,6.0,3.0,0.0,24.0,25.0,18.0,27.0,7.0,3.0,,,,,,90.0,87.0,6.7,20.0,0.134934,0,,,3.0,2.0,2.0,8.0,4.0,,1.0,3.0,,,1.0,1.0,5.0,1.0,2.0,,,,,2.0,,,,,,,,,
12437856,home,Rayo Vallecano,Pedro Díaz,pedro-diaz,P. Díaz,M,4,180.0,572,M,900669,EUR,897004800,M,4,4,False,36.0,30.0,2.0,1.0,0.0,18.0,19.0,12.0,19.0,,6.0,,,,,,87.0,47.0,7.1,8.0,0.00647117,0,,,2.0,1.0,1.0,2.0,4.0,1.0,,1.0,1.0,3.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,
12437856,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183.0,4735,M,913679,EUR,763776000,M,6,6,False,36.0,32.0,2.0,2.0,0.0,21.0,23.0,11.0,13.0,3.0,14.0,,,,,,73.0,49.0,7.0,7.0,0.00666127,0,,,,1.0,4.0,5.0,8.0,,2.0,3.0,3.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,
12437856,home,Rayo Vallecano,Jorge de Frutos,jorge-de-frutos,J. de Frutos,M,19,173.0,1878,M,900003,EUR,849312000,M,19,19,False,6.0,2.0,,,0.0,,,2.0,7.0,,,,,,,,42.0,13.0,5.6,8.0,0.0005396,1,,,1.0,,1.0,4.0,1.0,,,2.0,,1.0,,,,,2.0,1.0,,0.0537,0.5865,,,,,,,,,,
12437856,home,Rayo Vallecano,Isi Palazón,isi-palazon,I. Palazón,M,7,169.0,2151,M,899982,EUR,788486400,M,7,7,False,5.0,4.0,,,0.0,1.0,2.0,3.0,4.0,,1.0,,,,,,14.0,8.0,6.5,3.0,0.0107994,1,,,1.0,,,1.0,,,1.0,,,,,,,,,,,0.0044,,,,,True,1.0,,,,,
12437856,home,Rayo Vallecano,Álvaro García,alvaro-garcia,Á. García,M,18,168.0,1132,M,345111,EUR,720144000,M,18,18,False,22.0,12.0,2.0,1.0,0.0,4.0,6.0,8.0,18.0,2.0,5.0,,,,,,87.0,40.0,7.1,14.0,0.00789094,3,,,2.0,1.0,,2.0,2.0,,,1.0,,3.0,,,1.0,2.0,,1.0,,0.3114,0.0581,1.0,,,,1.0,1.0,,,,
