match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_totalClearance,stat_dispossessed,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_goalAssist,stat_totalOffside,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_outfielderBlock,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented
11369415,home,Real Madrid,Andriy Lunin,andriy-lunin,A. Lunin,G,13,191,79229,M,ALunin,857574,EUR,918691200,G,13,13,False,25.0,24.0,3.0,2.0,24.0,24.0,1.0,2.0,90.0,27.0,6.7,2.0,8.496e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369415,home,Real Madrid,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,2,173,154229,M,DaniCarvajal,138572,EUR,695088000,D,2,2,False,46.0,46.0,3.0,3.0,16.0,16.0,33.0,3.0,45.0,57.0,7.0,2.0,0.114537,0,True,31.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11369415,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,89.0,85.0,6.0,6.0,63.0,64.0,25.0,8.0,90.0,91.0,7.2,4.0,0.0159978,0,,22.0,,,2.0,2.0,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11369415,home,Real Madrid,David Alaba,david-alaba,D. Alaba,D,4,180,93395,M,DAlaba,66492,EUR,709344000,D,4,4,False,102.0,97.0,7.0,4.0,74.0,75.0,28.0,4.0,90.0,112.0,7.3,7.0,0.00959934,0,,23.0,1.0,,1.0,3.0,,,,3.0,,1.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,
11369415,home,Real Madrid,Ferland Mendy,ferland-mendy,F. Mendy,D,23,178,70735,M,FerMendy,792073,EUR,802569600,D,23,23,False,71.0,71.0,,,32.0,32.0,39.0,2.0,90.0,85.0,7.1,3.0,0.0328881,0,,39.0,,,2.0,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11369415,home,Real Madrid,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170,258553,M,Brahim,835485,EUR,933638400,M,21,21,False,56.0,47.0,2.0,,9.0,10.0,46.0,5.0,88.0,79.0,8.1,20.0,0.279636,2,,38.0,,,7.0,6.0,2.0,5.0,3.0,2.0,2.0,1.0,,1.0,1.0,,,2.0,3.0,1.0,1.0,1.0,1.0,0.2806,0.846,1.0,,,,,,,,,,,
11369415,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,15,15,False,92.0,86.0,10.0,9.0,37.0,37.0,56.0,6.0,90.0,102.0,7.0,10.0,0.0398747,1,,49.0,1.0,,4.0,2.0,2.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,0.3515,0.5885,,1.0,,,,,,,,,,
11369415,home,Real Madrid,Toni Kroos,toni-kroos,T. Kroos,M,,183,45525,M,Kroos,26502,EUR,631411200,M,8,8,False,130.0,122.0,18.0,17.0,61.0,63.0,72.0,10.0,90.0,148.0,8.4,13.0,0.245092,0,,61.0,5.0,,5.0,7.0,4.0,,,2.0,4.0,1.0,,3.0,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,
11369415,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,78.0,75.0,6.0,6.0,18.0,18.0,61.0,4.0,90.0,92.0,7.3,8.0,0.319878,2,,57.0,1.0,,5.0,3.0,1.0,,,,2.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,0.9048,0.2739,4.0,2.0,,1.0,,,,,,,,
11369415,home,Real Madrid,Joselu,joselu,Joselu,F,9,191,18060,M,joselumato,69418,EUR,638496000,F,14,14,False,18.0,14.0,,,2.0,2.0,16.0,,70.0,20.0,6.5,5.0,0.0361361,1,,12.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,0.0445,,,,,4.0,1.0,,,,,,,
