match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_fouls,stat_accurateCross,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_keyPass,player_sofascoreId,captain,stat_errorLeadToAGoal,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_punches,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed
12436981,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,18.0,16.0,4.0,2.0,0.0,15.0,15.0,1.0,3.0,5.0,3.0,3.0,90.0,26.0,6.7,3.0,0.00031369,0,-0.2643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436981,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182,1449,M,143047,EUR,695520000,D,2,2,False,88.0,77.0,6.0,2.0,0.0,35.0,38.0,42.0,51.0,6.0,,,90.0,97.0,6.8,13.0,0.0252669,1,,1.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0538,,,,,,,,,,,,,,,,,,,,,,
12436981,home,Wolverhampton,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1175,M,846308,EUR,910569600,D,4,4,False,48.0,47.0,1.0,1.0,0.0,32.0,33.0,15.0,15.0,2.0,,,77.0,53.0,6.3,1.0,0.00379171,0,,,3.0,,6.0,2.0,,,2.0,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
12436981,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,74.0,69.0,4.0,2.0,0.0,37.0,38.0,33.0,38.0,2.0,,,90.0,85.0,6.8,6.0,0.0684347,0,,2.0,4.0,3.0,4.0,4.0,,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12436981,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,M,22,22,False,53.0,43.0,5.0,1.0,1.0,13.0,17.0,31.0,41.0,1.0,,,90.0,86.0,6.2,21.0,0.0469401,0,,5.0,3.0,,7.0,5.0,2.0,,,,,,3.0,,,1.0,4.0,2.0,,3.0,nelsonsemedo50,True,1.0,3.0,,,,,,,,,,,,
12436981,home,Wolverhampton,André,andre,André,M,7,176,9098,M,1035996,EUR,995241600,M,7,7,False,68.0,65.0,3.0,2.0,0.0,25.0,26.0,40.0,42.0,8.0,,,77.0,82.0,6.8,8.0,0.0291898,1,,,,,4.0,4.0,1.0,1.0,,,,,3.0,0.0234,1.0,,2.0,1.0,1.0,,Andre7,,,3.0,André,,1.0,,,,,,,,,
12436981,home,Wolverhampton,Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,28999,M,845273,EUR,898905600,M,27,27,False,25.0,22.0,,,0.0,9.0,10.0,15.0,17.0,2.0,,,65.0,36.0,6.8,6.0,0.380255,3,,2.0,,2.0,4.0,3.0,1.0,1.0,,,,,,0.1072,1.0,2.0,2.0,1.0,,2.0,,,,1.0,,,1.0,1.0,1.0,0.0395,,,,,,
12436981,home,Wolverhampton,Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,44710,M,931278,EUR,991785600,M,3,3,False,52.0,49.0,2.0,1.0,0.0,20.0,22.0,30.0,34.0,5.0,,,90.0,76.0,7.3,9.0,0.0642898,1,,4.0,1.0,1.0,4.0,8.0,1.0,,,,5.0,3.0,,0.1076,,1.0,3.0,2.0,2.0,1.0,r_aitnouri,,,1.0,,,1.0,,1.0,,,,,,,
12436981,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14959,M,1015267,EUR,981936000,F,8,8,False,65.0,55.0,1.0,,0.0,14.0,15.0,41.0,52.0,7.0,,,90.0,82.0,7.8,17.0,0.196027,4,,2.0,,1.0,5.0,4.0,1.0,2.0,,,2.0,1.0,,0.3957,,,4.0,1.0,1.0,1.0,joaogomes.01,,,1.0,,,1.0,1.0,1.0,0.1985,1.0,,,,,
12436981,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69408,M,886363,EUR,927763200,F,10,10,False,32.0,22.0,2.0,,0.0,4.0,5.0,18.0,36.0,3.0,,,90.0,67.0,7.6,26.0,0.0890676,6,,9.0,1.0,,6.0,9.0,2.0,1.0,,,1.0,,6.0,0.3488,1.0,,3.0,2.0,,1.0,Cunha,,,4.0,,,1.0,3.0,2.0,0.2013,,,,,,
