match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,stat_aerialWon,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,player_lastName,stat_bigChanceCreated,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
13981433,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,1,1,False,34.0,24.0,13.0,3.0,0.0,23.0,26.0,1.0,8.0,2.0,10.0,1.0,2.0,90.0,45.0,6.9,10.0,0.00042839,0.0325,0,0.0221,0.0,0.0,0.29,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981433,home,Bologna,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,,928104,EUR,929750400,D,20,20,False,18.0,9.0,2.0,,0.0,6.0,8.0,3.0,10.0,3.0,3.0,,,90.0,60.0,6.9,23.0,0.00257329,,0,,-0.01,0.01,0.49,,2.0,2.0,8.0,4.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13981433,home,Bologna,Martin Vitík,martin-vitik,M. Vitík,D,41,192,1125,M,,1085913,EUR,1043107200,D,41,41,False,19.0,14.0,4.0,,0.0,12.0,13.0,2.0,6.0,2.0,2.0,,,45.0,22.0,6.6,5.0,0.00159151,,0,,0.03,0.04,0.14,,,,1.0,2.0,,,,,,1.0,,,,,Martin Vitík,2.0,1.0,,,,,,,,,,,,,,,,,
13981433,home,Bologna,Torbjørn Heggem,torbjorn-heggem,T. Heggem,D,14,192,759,M,,933264,EUR,916099200,D,14,14,False,31.0,28.0,4.0,2.0,0.0,26.0,27.0,2.0,4.0,3.0,3.0,,,90.0,45.0,7.3,3.0,0.00194421,,2,,0.08,0.03,0.61,,,1.0,4.0,5.0,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,2.0,3.0,1.0,1.0,1.0,0.4544,-0.51,,,,,,,,,,,,
13981433,home,Bologna,Charalampos Lykogiannis,charalampos-lykogiannis,C. Lykogiannīs,D,22,188,706,M,,98212,EUR,751248000,D,22,22,False,19.0,9.0,4.0,1.0,0.0,3.0,9.0,6.0,10.0,3.0,4.0,,,82.0,43.0,7.1,24.0,0.227966,,0,,0.33,-0.06,0.15,,8.0,,3.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,3.0,4.0,,,,,,,,,,
13981433,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,23.0,15.0,3.0,1.0,0.0,10.0,13.0,5.0,10.0,,2.0,,,90.0,40.0,7.4,12.0,0.00376723,,0,,-0.02,0.02,0.27,,1.0,1.0,2.0,10.0,,,2.0,1.0,,,5.0,4.0,2.0,3.0,,1.0,,,,,,,,,True,,,,,,,,,
13981433,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2495,M,,814882,EUR,889660800,M,6,6,False,32.0,25.0,11.0,5.0,0.0,16.0,18.0,9.0,14.0,1.0,1.0,,,65.0,42.0,7.1,8.0,0.0751091,,0,,0.16,0.01,0.23,,2.0,,1.0,3.0,1.0,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
13981433,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183,5740,M,,793645,EUR,854064000,M,7,7,False,17.0,12.0,4.0,2.0,0.0,5.0,6.0,7.0,11.0,1.0,4.0,,,90.0,34.0,8.4,11.0,0.027993,,3,,0.25,0.39,0.18,,2.0,,2.0,6.0,,1.0,1.0,,,,3.0,1.0,1.0,3.0,,,,,,1.0,0.2241,0.48,,1.0,,2.0,1.0,1.0,0.7629,,,,,
13981433,home,Bologna,Giovanni Fabbian,giovanni-fabbian,G. Fabbian,M,80,186,1385,M,,1067204,EUR,1042502400,M,80,80,False,7.0,7.0,2.0,2.0,0.0,3.0,3.0,4.0,4.0,,4.0,,,65.0,17.0,7.0,2.0,0.0157671,,3,,0.09,0.14,0.14,,,1.0,2.0,5.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,,,2.0,1.0,0.123,-0.28,,1.0,,,,,,,,,,
13981433,home,Bologna,Nicolò Cambiaghi,cambiaghi-nicolo,N. Cambiaghi,F,28,173,1123,M,,971005,EUR,977961600,M,28,28,False,6.0,4.0,,,0.0,1.0,1.0,3.0,5.0,2.0,2.0,,,90.0,26.0,7.0,7.0,0.163486,,4,,0.22,0.5,-0.01,,2.0,,5.0,5.0,1.0,,2.0,,,1.0,1.0,1.0,2.0,4.0,,,2.0,,,4.0,0.1421,-0.5,1.0,2.0,,,,,,,1.0,,,
13981433,home,Bologna,Santiago Castro,santiago-castro,S. Castro,F,9,178,6420,M,,1116577,EUR,1095465600,F,9,9,False,9.0,4.0,2.0,1.0,1.0,,,4.0,9.0,1.0,2.0,,,73.0,23.0,6.6,12.0,0.0431613,,1,,0.01,0.23,0.16,,,2.0,9.0,4.0,,4.0,,,,,,,2.0,3.0,Santiago Castro,1.0,3.0,,1.0,,0.0133,-0.1,,3.0,,,,1.0,,,,,,
13981433,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,True,13.0,9.0,5.0,2.0,0.0,5.0,7.0,4.0,6.0,6.0,2.0,,,45.0,21.0,7.0,4.0,0.00249669,,0,,0.07,0.03,0.51,,,2.0,3.0,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13981433,home,Bologna,Tommaso Pobega,tommaso-pobega,T. Pobega,M,4,188,1344,M,,928796,EUR,931996800,M,4,4,True,4.0,4.0,1.0,1.0,0.0,4.0,4.0,,,1.0,1.0,,,25.0,7.0,6.5,,6.113e-05,,0,,0.01,-0.07,0.15,,,1.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
