match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,captain,stat_totalContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wonContest,stat_shotOffTarget,stat_dispossessed,stat_ownGoals,stat_challengeLost,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_outfielderBlock,stat_totalOffside
10385550,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,35.0,30.0,7.0,2.0,30.0,30.0,5.0,5.0,4.0,5.0,90.0,45.0,7.4,5.0,9.873e-05,0,-0.1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385550,home,Fulham,Cédric Soares,cedric-soares,C. Soares,M,21,172,2806,M,44760,EUR,683596800,D,12,12,False,57.0,51.0,2.0,1.0,15.0,15.0,56.0,1.0,,,68.0,88.0,7.1,18.0,0.105524,1,,,,40.0,14.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0205,1.0,,,,,,,,,,,,,,,,,,
10385550,home,Fulham,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,352668,EUR,875059200,D,4,4,False,90.0,78.0,4.0,3.0,39.0,40.0,50.0,6.0,,,90.0,107.0,7.4,12.0,0.107872,2,,,,39.0,,,5.0,5.0,6.0,6.0,1.0,10.0,1.0,,,1.0,0.0867,2.0,tosinadarabioyo,1.0,2.0,0.0604,,,,,,,,,,,,,,
10385550,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,101.0,90.0,7.0,4.0,41.0,45.0,56.0,3.0,,,90.0,110.0,6.5,13.0,0.0536689,0,,,,49.0,,,1.0,4.0,3.0,5.0,,3.0,,,1.0,1.0,,,,,,,True,1.0,1.0,1.0,,,,,,,,,,
10385550,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,58.0,50.0,1.0,1.0,20.0,21.0,49.0,4.0,,,90.0,102.0,7.4,23.0,0.0780616,1,,,,31.0,12.0,1.0,5.0,,6.0,8.0,,5.0,5.0,2.0,2.0,,0.0282,1.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,
10385550,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,30.0,25.0,2.0,,8.0,8.0,23.0,2.0,,,45.0,41.0,6.3,10.0,0.0682005,0,,,,17.0,1.0,,,,2.0,2.0,,,2.0,,,,,,,,1.0,,,1.0,,2.0,,,1.0,1.0,,,,,,
10385550,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,70.0,64.0,6.0,5.0,25.0,25.0,45.0,2.0,,,90.0,87.0,6.8,12.0,0.0302806,2,,,,39.0,,,3.0,3.0,9.0,6.0,2.0,1.0,3.0,2.0,,2.0,0.1013,2.0,Palhinha,,,,,2.0,,3.0,,,1.0,,1.0,,,,,
10385550,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,M,14,14,False,16.0,14.0,,,2.0,2.0,15.0,5.0,,,45.0,19.0,6.4,4.0,0.0163068,1,,,,12.0,1.0,,2.0,1.0,3.0,1.0,1.0,,,,,,0.0433,,,,,,,1.0,,,,,,,,,,,,
10385550,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,52.0,46.0,3.0,2.0,13.0,14.0,50.0,3.0,,,85.0,82.0,6.1,23.0,0.0522937,6,,,,33.0,12.0,,,,6.0,,4.0,2.0,,,,1.0,0.2782,,andreaspereira,2.0,,0.4325,,2.0,,1.0,,,2.0,,1.0,1.0,,,,
10385550,home,Fulham,Willian,willian,Willian,F,88,175,9698,M,31417,EUR,587088000,M,20,20,False,60.0,53.0,2.0,1.0,9.0,10.0,52.0,5.0,,,85.0,72.0,7.2,13.0,0.0743242,1,,,,44.0,2.0,,,,1.0,4.0,1.0,,,,2.0,,0.0322,5.0,willianborges88,,,,,2.0,,3.0,2.0,,1.0,,,,,,,
