match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_lastManTackle,stat_errorLeadToAGoal,stat_wonContest,stat_blockedScoringAttempt,stat_dispossessed,stat_totalOffside,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_bigChanceMissed,stat_goals
14131871,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,29.0,19.0,12.0,2.0,0.0,18.0,19.0,1.0,10.0,9.0,1.0,1.0,1.0,90.0,35.0,6.3,10.0,0.00025195,0.0739,0,0.28,-0.02,-0.51,-0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131871,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,56.0,48.0,5.0,3.0,0.0,24.0,25.0,24.0,31.0,2.0,,,,90.0,81.0,7.0,12.0,0.0616597,,0,,0.26,0.19,-0.17,,2.0,1.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14131871,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,89.0,77.0,11.0,3.0,0.0,57.0,57.0,20.0,32.0,1.0,,,,90.0,98.0,6.3,17.0,0.133012,,1,,0.22,0.31,-0.3,,1.0,1.0,1.0,1.0,7.0,3.0,2.0,,,,,,3.0,2.0,4.0,,1.0,0.0164,0.0,,,,,,,,,,,,,,,,
14131871,home,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,False,,41.0,38.0,4.0,2.0,0.0,22.0,23.0,16.0,18.0,3.0,,,,45.0,48.0,6.6,3.0,0.0456616,,0,,0.1,0.04,-0.05,,,,,1.0,1.0,5.0,,,1.0,1.0,3.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
14131871,home,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,D,3,3,False,,26.0,17.0,4.0,,0.0,7.0,10.0,10.0,16.0,3.0,,,,59.0,38.0,6.3,13.0,0.006563,,0,,0.02,0.07,-0.15,,2.0,,,,3.0,3.0,,1.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,
14131871,home,Santa Clara,Pedro Ferreira,,,ferreira-pedro,P. Ferreira,M,8,183,121,M,851277,EUR,883958400,M,8,8,False,,24.0,20.0,,,0.0,7.0,8.0,13.0,16.0,3.0,,,,59.0,31.0,6.2,6.0,0.0093209,,1,,0.01,0.02,-0.13,,,,,1.0,4.0,1.0,2.0,,,1.0,,,2.0,,2.0,,,0.0627,-0.13,,,,1.0,,,,,,,,,,,,
14131871,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,57.0,52.0,4.0,1.0,0.0,21.0,21.0,31.0,36.0,6.0,,,,90.0,72.0,6.9,9.0,0.0669721,,1,,0.28,0.11,-0.02,,1.0,,,1.0,3.0,5.0,,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,0.017,-0.11,,,1.0,,,,,,,,,,,,,
14131871,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,M,70,70,False,,26.0,20.0,1.0,,0.0,5.0,5.0,15.0,21.0,4.0,,,,90.0,52.0,6.7,14.0,0.284042,,0,,0.34,-0.56,-0.1,,3.0,1.0,4.0,,11.0,7.0,1.0,6.0,,,4.0,3.0,2.0,,2.0,2.0,,,,,,3.0,,1.0,2.0,,,,,,,,,,
14131871,home,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,False,,41.0,38.0,3.0,1.0,0.0,15.0,16.0,23.0,25.0,6.0,,,,90.0,57.0,6.6,12.0,0.118375,,2,,0.3,0.07,-0.1,,6.0,2.0,1.0,2.0,5.0,3.0,1.0,,,1.0,,,3.0,1.0,1.0,1.0,1.0,0.0316,-0.06,,,,1.0,2.0,,,,,,,,,,,
14131871,home,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,M,10,10,False,,17.0,11.0,1.0,1.0,0.0,1.0,1.0,10.0,16.0,1.0,,,,73.0,31.0,6.9,13.0,0.0165951,,0,,-0.07,0.01,0.25,,2.0,,1.0,1.0,4.0,7.0,,2.0,,,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
