match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,confirmed,player_id,player_name,playerName,reason,rescinded,from
10438162,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10438162,,,,,90,0.0,,1,,,injuryTime,2.0,,,,,,,,,,,
10438162,,,,,88,,,3,,,substitution,,121808624.0,False,True,regular,,,,,,,
10438162,,,,,88,,,3,,,substitution,,121808607.0,False,True,regular,,,,,,,
10438162,,,,,85,,,6,,,varDecision,,17728.0,,True,goalNotAwarded,False,826210.0,Rafik Guitane,,,,
10438162,,3.0,1.0,,83,,,8,,,goal,,168920761.0,,True,regular,,1020116.0,Yusuf Bamidele,,,,
10438162,,2.0,1.0,,80,,,11,,,goal,,168920620.0,,True,regular,,156319.0,Joãozinho,,,,
10438162,,,,,79,,,12,,,substitution,,121808563.0,False,False,regular,,,,,,,
10438162,,,,,75,,,16,,,substitution,,121808546.0,False,True,regular,,,,,,,
10438162,,,,,75,,,16,,,substitution,,121808545.0,False,True,regular,,,,,,,
10438162,,,,,73,,,18,,,card,,120779207.0,,False,red,,218804.0,Renê Santos,Renê Santos,Foul,False,
10438162,,,,,71,,,20,,,card,,120779188.0,,False,yellowRed,,846657.0,Fábio China,Fábio China,Foul,False,
10438162,,,,,69,,,22,,,substitution,,121808507.0,False,True,regular,,,,,,,
10438162,,1.0,1.0,,68,,,23,,,goal,,168920334.0,,False,penalty,,155998.0,Cláudio Winck,,,,penalty
10438162,,,,,68,,,23,,,substitution,,121808500.0,False,False,regular,,,,,,,
10438162,,,,,67,,,24,,,substitution,,121808499.0,False,False,regular,,,,,,,
10438162,,,,,66,,,25,,,card,,120779173.0,,True,yellow,,794318.0,João Gamboa,João Gamboa,Handball,False,
10438162,,,,,61,,,30,,,card,,120779160.0,,True,yellow,,929894.0,Alejandro Marqués,Alejandro Marqués,Persistent fouling,False,
10438162,,,,,57,,,34,,,card,,120779139.0,,False,yellow,,846657.0,Fábio China,Fábio China,Foul,False,
10438162,,,,,56,,,35,,,card,,120779138.0,,False,yellow,,1495807.0,Rúben Marques,Rúben Marques,Foul,False,
10438162,,,,,46,,,45,,,substitution,,121808353.0,False,False,regular,,,,,,,
10438162,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10438162,,,,,43,,,3,,,card,,120779020.0,,False,yellow,,89566.0,Edgar Costa,Edgar Costa,Foul,False,
10438162,,1.0,0.0,,15,,,31,,,goal,,168919175.0,,True,regular,,929894.0,Alejandro Marqués,,,,
10438162,,,,,9,,,37,,,card,,120778905.0,,False,yellow,,983537.0,Rafael Brito,Rafael Brito,Foul,False,
10438162,,,,,-5,,,6,,,card,,120779290.0,,False,red,,,,Jose Manuel Gomes,Argument,False,
