match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,captain,stat_totalClearance,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_penaltyMiss,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_keeperSaveValue,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot,stat_penaltyConceded
14613405,home,Fenerbahçe,İrfan Can Eğribayat,irfan-can-egribayat,İ. C. Eğribayat,G,71,193,1983,M,594618,EUR,891216000,G,1,1,False,30.0,25.0,11.0,6.0,0.0,23.0,25.0,2.0,5.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,33.0,5.5,5.0,0.00327842,0,-1.6552,0.15,-0.02,-0.52,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7755,M,252821,EUR,753408000,D,27,27,False,36.0,31.0,3.0,,0.0,7.0,8.0,24.0,28.0,,3.0,3.0,,,,,82.0,57.0,7.9,8.0,0.265695,1,,0.4,0.15,-0.19,,nelsonsemedo50,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0414,0.3614,4.0,0.54,,,,,,,,,,,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Milan Škriniar,milan-skriniar,M. Škriniar,D,37,187,9862,M,187205,EUR,792460800,D,37,37,False,98.0,91.0,7.0,5.0,0.0,44.0,46.0,47.0,52.0,4.0,10.0,6.0,,,,,90.0,113.0,7.1,8.0,0.0312394,1,,0.29,0.1,-0.24,,milanskriniar,,,,,,,1.0,,,5.0,2.0,,,0.2098,0.5148,,-0.63,True,4.0,1.0,,,,,,,,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189,3123,M,1048324,EUR,988243200,D,24,24,False,68.0,64.0,2.0,,0.0,45.0,46.0,19.0,22.0,4.0,5.0,6.0,,,,,90.0,77.0,6.6,5.0,0.00835379,0,,0.17,0.17,-0.21,,,1.0,,3.0,,,,,,,,,,1.0,,,,,,6.0,1.0,Jayden Oosterwolde,,1.0,1.0,,,,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Archie Brown,brown-archie,A. Brown,D,3,190,3095,M,1009738,EUR,1022544000,D,3,3,False,37.0,33.0,2.0,,0.0,18.0,20.0,15.0,17.0,,3.0,6.0,,,,,90.0,59.0,6.2,10.0,0.111778,1,,0.22,0.11,-0.32,,,3.0,1.0,3.0,1.0,,,,,,2.0,2.0,3.0,2.0,0.099,,1.0,-0.46,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14613405,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183,3147,M,952600,EUR,917308800,M,5,5,False,89.0,73.0,3.0,2.0,0.0,23.0,28.0,50.0,61.0,,5.0,9.0,,,,,90.0,101.0,7.4,17.0,0.255029,2,,0.41,0.12,-0.02,,,2.0,1.0,2.0,,,1.0,,,,4.0,1.0,,2.0,0.1212,,2.0,0.02,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Fred,fred,Fred,M,7,169,11619,M,243623,EUR,731289600,M,7,7,False,71.0,58.0,6.0,2.0,0.0,24.0,25.0,34.0,46.0,,6.0,3.0,,,,,90.0,90.0,7.3,21.0,0.0637168,1,,0.3,0.31,-0.07,,fred08,1.0,,3.0,2.0,2.0,,,,,3.0,3.0,4.0,1.0,0.0153,,1.0,-0.03,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10874,M,847983,EUR,926294400,M,53,53,False,36.0,28.0,3.0,1.0,0.0,6.0,7.0,22.0,29.0,,1.0,5.0,,,,,71.0,54.0,6.7,22.0,0.347049,0,,0.29,0.17,-0.08,,szymanski_11,6.0,,4.0,2.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
14613405,home,Fenerbahçe,Anderson Talisca,anderson-talisca,A. Talisca,M,94,191,20484,M,329245,EUR,760060800,M,94,94,False,12.0,9.0,1.0,1.0,0.0,2.0,3.0,7.0,9.0,1.0,4.0,,,,,,71.0,28.0,6.5,6.0,0.56056,5,,0.56,0.0,-0.08,,AndersonTalisca,,,1.0,1.0,1.0,,2.0,,1.0,,,2.0,,1.1456,0.8852,1.0,-0.98,,,2.0,,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
14613405,home,Fenerbahçe,Oğuz Aydın,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,M,70,70,False,31.0,26.0,2.0,1.0,0.0,7.0,7.0,19.0,24.0,,1.0,7.0,,,,,52.0,46.0,6.6,10.0,0.0804743,2,,0.31,0.16,-0.03,,,3.0,,5.0,1.0,,,,,,1.0,1.0,,1.0,0.0437,,1.0,-0.34,,,,,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,
14613405,home,Fenerbahçe,Youssef En-Nesyri,youssef-en-nesyri,Y. En-Nesyri,F,21,190,34492,M,846470,EUR,865123200,F,19,19,False,15.0,13.0,1.0,1.0,0.0,2.0,2.0,11.0,13.0,2.0,2.0,1.0,,,,,90.0,22.0,7.0,4.0,0.073114,4,,0.12,0.17,0.13,,ennesyri15,,,5.0,,,,2.0,1.0,,,,1.0,1.0,0.764,0.8865,,0.34,,,,,,3.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,
14613405,home,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,226986,EUR,805766400,M,17,17,True,18.0,16.0,3.0,3.0,0.0,3.0,3.0,13.0,15.0,,3.0,3.0,,,,,38.0,34.0,7.4,9.0,0.304283,1,,0.65,0.04,-0.04,,irfankahveci,4.0,1.0,4.0,2.0,,,1.0,,,2.0,1.0,2.0,,0.3877,,2.0,-0.44,,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,
14613405,home,Fenerbahçe,Levent Mercan,munir-levent-mercan,L. Mercan,D,22,176,1693,M,1085938,EUR,976406400,D,22,22,True,6.0,5.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,,,,,,19.0,11.0,6.5,1.0,0.0139084,0,,-0.09,-0.02,-0.17,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
