match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_wasFouled,stat_shotOffTarget,stat_hitWoodwork,stat_expectedGoals,stat_shotValueNormalized,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_punches,stat_lastManTackle,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceCreated
14053594,home,Excelsior,Calvin Raatsie,,,calvin-raatsie,C. Raatsie,G,16,188.0,83,M,961616,EUR,1013212800,G,16,16,False,58.0,41.0,25.0,9.0,0.0,35.0,37.0,6.0,21.0,2.0,8.0,1.0,1.0,4.0,5.0,2.0,2.0,90.0,71.0,7.7,17.0,0.00206821,1.1648,0,0.7377,0.08,0.01,-0.32,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053594,home,Excelsior,Nolan Martens,,,nolan-martens,N. Martens,M,2,180.0,81,M,1153163,EUR,1089158400,D,17,17,False,32.0,30.0,4.0,2.0,0.0,14.0,15.0,16.0,17.0,1.0,5.0,1.0,,,,,,72.0,54.0,7.3,9.0,0.0153972,,0,,0.14,0.02,-0.08,,1.0,1.0,5.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14053594,home,Excelsior,Casper Widell,,,widell-casper,C. Widell,D,4,192.0,137,M,1031721,EUR,1052092800,D,4,4,False,69.0,60.0,13.0,8.0,0.0,34.0,35.0,26.0,34.0,6.0,1.0,1.0,,,,,,90.0,81.0,7.0,9.0,0.25366,,0,,0.37,0.17,-0.24,,1.0,3.0,2.0,3.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
14053594,home,Excelsior,Stan Henderikx,Stan Hendrikx,,henderikx-stan,S. Henderikx,D,5,187.0,51,M,1133679,EUR,1057622400,D,5,5,False,51.0,43.0,8.0,2.0,0.0,37.0,39.0,6.0,12.0,7.0,2.0,1.0,,,,,,90.0,66.0,6.7,8.0,0.0197309,,0,,0.1,0.1,-0.05,,1.0,1.0,3.0,3.0,,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14053594,home,Excelsior,Arthur Zagre,Arthur,Zagre,zagre-arthur,A. Zagre,D,12,168.0,406,M,910053,EUR,1002153600,D,12,12,False,34.0,27.0,3.0,1.0,0.0,14.0,16.0,13.0,18.0,1.0,5.0,2.0,,,,,,90.0,63.0,6.6,16.0,0.027854,,1,,-0.18,0.32,-0.26,,,2.0,6.0,8.0,1.0,5.0,3.0,,1.0,,2.0,2.0,3.0,,2.0,,1.0,1.0,1.0,1.0,0.0589,-0.02,,,,,,,,,,,,,
14053594,home,Excelsior,Adam Carlén,,,adam-carlen,A. Carlén,M,6,193.0,65,M,991039,EUR,962064000,M,6,6,False,44.0,30.0,5.0,,1.0,14.0,20.0,16.0,24.0,,10.0,1.0,,,,,,90.0,48.0,6.4,15.0,0.0717256,,0,,-0.1,0.21,-0.26,,,2.0,4.0,3.0,,,,,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,2.0,,,,,,,,,,,,
14053594,home,Excelsior,Noah Naujoks,,,noah-naujoks,N. Naujoks,M,10,183.0,204,M,1048487,EUR,1020297600,M,10,10,False,17.0,12.0,2.0,1.0,0.0,5.0,5.0,7.0,12.0,2.0,2.0,1.0,,,,,,67.0,33.0,6.8,11.0,0.179255,,0,,-0.04,0.19,0.17,,2.0,1.0,6.0,7.0,2.0,2.0,1.0,,,,2.0,2.0,3.0,,,,,3.0,,,,,1.0,,,,,,,,,,,,
14053594,home,Excelsior,Derensili Sanches Fernandes,,,derensili-sanches-fernandes,D. S. Fernandes,M,30,176.0,134,M,1046142,EUR,991008000,M,30,30,False,32.0,28.0,1.0,1.0,0.0,10.0,10.0,18.0,22.0,,6.0,1.0,,,,,,67.0,46.0,7.8,9.0,0.0399919,,2,,0.15,0.41,-0.19,,1.0,,9.0,5.0,3.0,6.0,5.0,,,,,,,,,,3.0,,,,0.1353,0.49,1.0,2.0,1.0,0.3584,,,,,,,,,
14053594,home,Excelsior,Zach Booth,Zach Booth,,booth-zach,Z. Booth,M,21,184.0,133,M,1138450,EUR,1076976000,M,21,21,False,16.0,12.0,,,0.0,7.0,9.0,5.0,7.0,,1.0,3.0,,,,,,67.0,20.0,5.9,6.0,0.00699964,,0,,-0.26,0.05,-0.11,,2.0,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
14053594,home,Excelsior,Gyan de Regt,,,gyan-de-regt,G. d. Regt,M,11,176.0,358,M,1126966,EUR,1061164800,M,11,11,False,12.0,7.0,,,0.0,4.0,5.0,3.0,7.0,1.0,2.0,,,,,,,90.0,37.0,6.4,16.0,0.253542,,4,,0.18,0.34,-0.1,,5.0,2.0,8.0,6.0,,2.0,,,,,3.0,1.0,1.0,,10.0,3.0,1.0,1.0,3.0,1.0,0.7185,-0.54,,,,,,1.0,1.0,,,,,,
