match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_interceptionWon,stat_wonTackle,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_accurateCross,stat_outfielderBlock,stat_lastManTackle,player_sofascoreId,stat_hitWoodwork,stat_goals
14053715,home,FC Groningen,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187.0,462,M,809408,EUR,806716800,G,1,1,False,50.0,39.0,18.0,7.0,0.0,35.0,39.0,4.0,11.0,1.0,12.0,2.0,3.0,4.0,2.0,2.0,90.0,64.0,7.3,11.0,0.0345675,0.673,0,-0.1223,0.14,0.06,0.18,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053715,home,FC Groningen,Marco Rente,marco-rente,M. Rente,D,5,185.0,163,M,827103,EUR,856828800,D,5,5,False,1.0,1.0,,,0.0,,,1.0,1.0,2.0,1.0,,,,,,3.0,3.0,,,0.00111608,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053715,home,FC Groningen,Thijmen Blokzijl,thijmen-blokzijl,T. Blokzijl,D,3,181.0,278,M,1121401,EUR,1109289600,D,3,3,False,56.0,51.0,3.0,2.0,0.0,41.0,42.0,10.0,14.0,6.0,2.0,,,,,,90.0,68.0,6.5,8.0,0.00634527,,0,,0.08,0.04,-0.09,,Thijmen Blokzijl,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14053715,home,FC Groningen,Dies Janse,janse-dies,D. Janse,D,4,196.0,631,M,1470010,EUR,1137456000,D,4,4,False,61.0,52.0,6.0,2.0,0.0,40.0,43.0,12.0,18.0,5.0,1.0,,,,,,90.0,70.0,6.4,10.0,0.0949087,,0,,0.14,0.06,-0.12,,Dies Janse,,,7.0,3.0,8.0,5.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14053715,home,FC Groningen,Marvin Peersman,marvin-peersman,M. Peersman,D,43,185.0,130,M,76160,EUR,666144000,D,43,43,False,38.0,33.0,5.0,3.0,0.0,14.0,15.0,19.0,23.0,3.0,9.0,,,,,,90.0,62.0,6.9,15.0,0.171808,,0,,0.43,0.13,-0.17,,,,2.0,,,4.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,
14053715,home,FC Groningen,David van der Werff,david-van-der-werff,D. v. d. Werff,M,17,180.0,85,M,1878212,EUR,1093910400,M,17,17,False,26.0,18.0,3.0,1.0,0.0,9.0,11.0,9.0,15.0,1.0,4.0,,,,,,69.0,42.0,7.0,13.0,0.423924,,2,,0.38,0.1,-0.04,,David van der Werff,,2.0,2.0,1.0,6.0,5.0,1.0,4.0,1.0,,2.0,1.0,1.0,3.0,,2.0,1.0,2.0,0.0405,0.0617,-0.17,,,,,,,,,,,,
14053715,home,FC Groningen,Tika de Jonge,tika-de-jonge,T. d. Jonge,M,8,182.0,102,M,1121402,EUR,1047340800,M,8,8,False,19.0,15.0,2.0,,0.0,12.0,13.0,3.0,6.0,1.0,1.0,,,,,,69.0,32.0,6.5,6.0,0.00236283,,2,,0.04,0.27,-0.1,,Tika de Jonge,,,,,1.0,4.0,1.0,3.0,2.0,,,1.0,,2.0,,,,,0.1548,,-0.53,1.0,1.0,2.0,,,,,,,,,
14053715,home,FC Groningen,Stije Resink,stije-resink,S. Resink,M,6,186.0,598,M,1090328,EUR,1053993600,M,6,6,False,40.0,35.0,3.0,1.0,0.0,16.0,16.0,19.0,24.0,,5.0,,,,,,90.0,51.0,6.7,6.0,0.0215188,,2,,0.17,0.18,-0.03,,Stije Resink,,,1.0,1.0,4.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,0.0989,,-0.12,,,,True,1.0,2.0,,,,,,
14053715,home,FC Groningen,Jorg Schreuders,jorg-schreuders,J. Schreuders,M,14,177.0,237,M,1424404,EUR,1094688000,M,14,14,False,17.0,13.0,1.0,,0.0,5.0,7.0,8.0,10.0,,2.0,,,,,,68.0,31.0,6.5,10.0,0.0253722,,3,,0.12,0.31,-0.1,,Jorg Schreuders,,,,,5.0,2.0,2.0,1.0,2.0,,1.0,1.0,,1.0,,,,1.0,0.3092,0.1696,-0.32,1.0,1.0,1.0,,2.0,1.0,,,,,,
14053715,home,FC Groningen,Younes Taha,younes-taha,Y. Taha,M,10,176.0,1409,M,1146623,EUR,1038355200,F,10,10,False,13.0,9.0,2.0,,0.0,,,9.0,13.0,,1.0,,,,,,90.0,33.0,6.3,15.0,0.0335454,,0,,-0.13,0.21,-0.01,,Younes Taha,,6.0,,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,2.0,,1.0,,,,,
