match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_challengeLost,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_lastManTackle,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_outfielderBlock,stat_hitWoodwork
12448268,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,801,M,2622,EUR,437097600,G,22,22,False,19.0,17.0,7.0,5.0,0.0,15.0,16.0,2.0,3.0,1.0,10.0,1.0,1.0,1.0,90.0,25.0,7.0,2.0,0.00058891,0,0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448268,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,False,80.0,76.0,2.0,2.0,0.0,28.0,30.0,48.0,51.0,,4.0,,,,90.0,105.0,8.9,8.0,0.144788,4,,1.0,1.0,6.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.5039,0.8703,1.0,,,,,,,,,,,,,,,,,,,,
12448268,home,AFC Ajax,Josip Šutalo,josip-sutalo,J. Šutalo,D,37,190,4308,M,954836,EUR,951696000,D,37,37,False,65.0,60.0,4.0,3.0,0.0,44.0,46.0,16.0,19.0,,5.0,,,,45.0,70.0,7.2,6.0,0.280963,0,,,1.0,3.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,josip.sutalo,2.0,1.0,,,,,,,,,,,,,,,
12448268,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,D,15,15,False,93.0,88.0,2.0,,0.0,43.0,46.0,45.0,47.0,1.0,4.0,,,,90.0,99.0,8.0,6.0,0.0493632,1,,,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,0.6071,0.9909,,,,,1.0,,,,,,,,,,,,,,,,
12448268,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,1153079,EUR,1141689600,D,4,4,False,101.0,93.0,2.0,1.0,2.0,29.0,30.0,64.0,74.0,,5.0,,,,90.0,114.0,8.7,15.0,0.806896,0,,3.0,5.0,3.0,,,,,2.0,1.0,1.0,,1.0,,,,3.0,,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,
12448268,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173,1158,M,1001945,EUR,1057363200,M,28,28,False,45.0,42.0,1.0,,0.0,8.0,9.0,34.0,37.0,,4.0,,,,60.0,51.0,7.1,6.0,0.236184,0,,1.0,,2.0,,,,,2.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
12448268,home,AFC Ajax,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6342,M,42694,EUR,645580800,M,6,6,False,63.0,59.0,2.0,2.0,0.0,18.0,20.0,42.0,47.0,,6.0,,,,60.0,74.0,7.6,8.0,0.418128,2,,4.0,1.0,2.0,,1.0,,1.0,2.0,,1.0,,,,0.1241,0.0902,2.0,,,jordanhenderson,,1.0,,,,,1.0,True,1.0,1.0,,,,,,,
12448268,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,959806,EUR,1021507200,M,8,8,False,70.0,61.0,2.0,1.0,0.0,11.0,14.0,51.0,59.0,,3.0,,,,90.0,84.0,8.3,16.0,0.346577,2,,3.0,5.0,3.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,0.1011,0.1094,4.0,,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,
12448268,home,AFC Ajax,Bertrand Traoré,bertrand-traore,B. Traoré,F,25,180,34487,M,218160,EUR,810345600,F,20,20,False,32.0,26.0,,,1.0,3.0,3.0,24.0,33.0,,1.0,,,,66.0,56.0,8.2,17.0,0.239592,3,,4.0,7.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.5159,0.8582,2.0,,,bertrandtraore10,1.0,1.0,,,8.0,2.0,,,1.0,1.0,,,,,,,
12448268,home,AFC Ajax,Chuba Akpom,chuba-akpom,C. Akpom,F,29,186,1664,M,190867,EUR,813196800,F,10,10,False,20.0,17.0,,,1.0,1.0,1.0,16.0,19.0,1.0,,,,,90.0,38.0,9.0,8.0,0.0882385,6,,,2.0,7.0,2.0,3.0,1.0,,1.0,1.0,5.0,3.0,,1.0,0.9064,0.9348,1.0,,,,3.0,,2.0,,,,1.0,,,1.0,1.0,,,,,,
