match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_fouls,player_lastName,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_keyPass,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_totalOffside
14064446,home,RC Lens,Anthony Bermont,Anthony Bermont,anthony-bermont,A. Bermont,M,26,187,215,M,1545297,EUR,1107993600,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,home,RC Lens,Fode Sylla,,sylla-fode,F. Sylla,M,18,189,523,M,1426222,EUR,1145145600,M,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,home,RC Lens,Abdallah Sima,,abdallah-sima,A.Sima,F,19,188,2455,M,1029018,EUR,992736000,F,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,away,Nice,Yehvann Diouf,,yehvann-diouf,Y. Diouf,G,80,188,2968,M,845183,EUR,942710400,G,80,80,False,31.0,25.0,9.0,3.0,0.0,25.0,28.0,,3.0,,12.0,2.0,4.0,,,90.0,44.0,6.7,6.0,8.452e-05,46.633502461355,9.0,-24.36,0.42,0.2233,0,-1.0369,0.01,0.03,-0.07,0.08,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14064446,away,Nice,Jonathan Clauss,,jonathan-clauss,J. Clauss,M,92,178,2004,M,821728,EUR,717379200,D,92,92,False,60.0,50.0,7.0,4.0,0.0,30.0,34.0,20.0,26.0,1.0,3.0,,,,,90.0,94.0,7.0,18.0,0.099196,231.33535498031,24.0,-169.785,10.815,,1,,0.15,0.05,-0.21,,8.0,,,7.0,,4.0,4.0,,,,,1.0,3.0,2.0,1.0,0.0411,-0.11,,,1.0,,,,3.0,,,1.0,,,,,
14064446,away,Nice,Antoine Mendy,,mendy-antoine,A. Mendy,D,5,186,6281,M,1120615,EUR,1085529600,D,33,33,False,79.0,73.0,6.0,2.0,0.0,61.0,63.0,12.0,16.0,3.0,9.0,,,,,90.0,95.0,6.5,8.0,0.00238173,107.53406435569,20.0,-45.255,2.94,,0,,0.02,0.08,-0.14,,,1.0,5.0,6.0,,1.0,,3.0,,2.0,,2.0,2.0,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,
14064446,away,Nice,Kojo Peprah Oppong,,peprah-oppong-kojo,K. P. Oppong,D,37,185,1391,M,1473092,EUR,1086307200,D,37,37,False,50.0,48.0,2.0,1.0,0.0,42.0,42.0,6.0,8.0,5.0,5.0,,,,,70.0,59.0,6.0,3.0,0.00294307,141.59956204259,22.0,-67.305,4.305,,0,,0.01,0.11,-0.27,,,3.0,7.0,4.0,,2.0,1.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
14064446,away,Nice,Melvin Bard,,melvin-bard,M. Bard,D,26,173,502,M,906075,EUR,973468800,D,26,26,False,61.0,52.0,4.0,1.0,0.0,32.0,37.0,20.0,24.0,1.0,8.0,,,,,90.0,88.0,7.0,16.0,0.00844018,122.95157288123,16.0,-52.08,8.82,,0,,0.15,0.13,-0.14,,1.0,4.0,2.0,7.0,1.0,1.0,,,,,,4.0,3.0,1.0,1.0,,,3.0,,,,,True,,,,,,,,,
14064446,away,Nice,Hicham Boudaoui,,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,985923,EUR,938044800,M,6,6,False,25.0,17.0,3.0,1.0,0.0,9.0,12.0,8.0,13.0,,3.0,,,,,70.0,41.0,6.4,13.0,0.0149467,85.312070153658,12.0,-17.535,10.29,,2,,-0.28,0.12,-0.15,,3.0,,2.0,6.0,1.0,,,,,,,,2.0,1.0,2.0,0.5349,-0.57,,4.0,,2.0,0.7266,,2.0,1.0,1.0,,,,hicham_boudaoui,,1.0
14064446,away,Nice,Charles Vanhoutte,,charles-vanhoutte,C. Vanhoutte,M,24,182,622,M,928033,EUR,905904000,M,24,24,False,38.0,32.0,6.0,3.0,0.0,17.0,18.0,15.0,20.0,,1.0,,,,,45.0,49.0,6.8,7.0,0.0333426,84.388490607924,14.0,-21.0,4.83,,0,,0.07,0.08,-0.13,,,1.0,2.0,6.0,1.0,2.0,2.0,2.0,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,
