match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_clearanceOffLine,stat_outfielderBlock,captain,stat_interceptionWon,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_penaltyWon,stat_penaltyConceded,stat_goodHighClaim,stat_totalOffside
10388338,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,33.0,31.0,3.0,1.0,30.0,32.0,1.0,1.0,1.0,6.0,4.0,1.0,5.0,90.0,43.0,7.2,2.0,0.0,0.0,0.00072971,0,-0.0228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388338,home,Borussia Dortmund,Marius Wolf,marius-wolf,M. Wolf,M,27,187,537,M,,254119,EUR,801532800,D,17,17,False,53.0,45.0,3.0,2.0,22.0,25.0,24.0,29.0,,6.0,,,,90.0,71.0,6.6,13.0,0.0214,0.0,0.0725927,1,,1.0,1.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10388338,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,False,83.0,78.0,5.0,4.0,56.0,56.0,22.0,27.0,2.0,5.0,,,,90.0,90.0,7.3,5.0,0.0943,0.0,0.0192627,3,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10388338,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,62.0,55.0,5.0,3.0,45.0,46.0,10.0,16.0,,3.0,,,,59.0,65.0,6.8,7.0,0.0,0.0,0.007622,0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,True,1.0,,,,,,,,,,,,
10388338,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,35.0,27.0,2.0,,20.0,27.0,7.0,9.0,,6.0,,,,59.0,47.0,6.1,13.0,0.0,0.0,0.0049484,0,,1.0,,1.0,5.0,1.0,3.0,1.0,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,
10388338,home,Borussia Dortmund,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020811,M,JudeBell,991011,EUR,1056844800,M,22,22,False,54.0,49.0,7.0,6.0,22.0,22.0,28.0,34.0,2.0,4.0,,,,90.0,83.0,7.8,10.0,1.2311,1.0381,0.0469303,6,,2.0,1.0,1.0,7.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,,,1.0,1.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,
10388338,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,False,49.0,46.0,3.0,2.0,32.0,32.0,14.0,18.0,1.0,9.0,,,,90.0,65.0,7.3,6.0,0.042,0.0,0.0308649,3,,1.0,,,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,2.0,,,1.0,1.0,,2.0,,,1.0,,,1.0,,,,,,,,
10388338,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,M,21,21,False,26.0,22.0,,,6.0,8.0,18.0,24.0,,1.0,,,,69.0,51.0,9.3,11.0,1.0842,2.1617,0.830782,7,,6.0,2.0,,4.0,7.0,8.0,5.0,1.0,1.0,,,1.0,,3.0,,,,1.0,,,,,,1.0,4.0,2.0,1.0,2.0,2.0,1.0,,,,
10388338,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,19,19,False,36.0,31.0,4.0,4.0,10.0,11.0,22.0,31.0,1.0,2.0,,,,68.0,52.0,7.6,11.0,0.0766,0.0,0.131855,1,,6.0,1.0,,1.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,
10388338,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,M,27,27,False,24.0,22.0,,,8.0,8.0,14.0,20.0,1.0,3.0,,,,90.0,54.0,6.8,13.0,0.0784,0.0427,0.0674597,2,,4.0,,,7.0,10.0,6.0,3.0,1.0,1.0,,,5.0,,4.0,,,1.0,,,,,,4.0,,1.0,,,,,,,,,
