match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_shotOffTarget,stat_fouls,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_wasFouled
10382049,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,44.0,34.0,29.0,19.0,1.0,22.0,23.0,12.0,21.0,1.0,1.0,1.0,17.0,3.0,5.0,6.0,1.0,1.0,90.0,65.0,9.0,10.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
10382049,home,Sparta Rotterdam,Shurandy Sambo,shurandy-sambo,S. Sambo,D,12,174,235,M,916926,EUR,998179200,D,2,2,False,41.0,34.0,7.0,1.0,,20.0,23.0,14.0,19.0,,2.0,1.0,1.0,,,,,,90.0,66.0,5.9,15.0,,0,1.0,8.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
10382049,home,Sparta Rotterdam,Bart Vriends,bart-vriends,B. Vriends,D,3,188,217,M,41495,EUR,673747200,D,3,3,False,47.0,43.0,6.0,3.0,,33.0,33.0,10.0,14.0,,8.0,2.0,6.0,,,,,,90.0,60.0,7.5,5.0,,0,,1.0,1.0,,,,,,,1.0,True,1.0,1.0,2.0,,,,,,,,,,,
10382049,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,4,4,False,49.0,41.0,6.0,4.0,,30.0,35.0,11.0,15.0,1.0,4.0,3.0,1.0,,,,,,76.0,58.0,7.6,9.0,2.0,0,1.0,2.0,6.0,,,,,1.0,1.0,,,2.0,5.0,,,,,,,,,,,,
10382049,home,Sparta Rotterdam,Mica Pinto,mica-pinto,Mica,D,5,176,157,M,785815,EUR,739152000,D,5,5,False,61.0,54.0,7.0,5.0,1.0,28.0,31.0,26.0,30.0,1.0,2.0,1.0,8.0,,,,,,90.0,80.0,7.9,9.0,2.0,0,,1.0,3.0,,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,
10382049,home,Sparta Rotterdam,Arno Verschueren,arno-verschueren,A. Verschueren,M,32,182,168,M,578344,EUR,870652800,M,10,10,False,23.0,16.0,4.0,1.0,,5.0,6.0,11.0,17.0,,,,2.0,,,,,,65.0,29.0,6.5,10.0,2.0,1,,5.0,1.0,1.0,,1.0,,,,2.0,,2.0,1.0,,,,1.0,1.0,,,,,,,
10382049,home,Sparta Rotterdam,Jonathan de Guzmán,jonathan-de-guzman,J. d. Guzmán,M,13,173,79,M,13028,EUR,558489600,M,6,6,False,56.0,49.0,10.0,6.0,,23.0,25.0,27.0,32.0,,1.0,1.0,8.0,,,,,,73.0,67.0,6.9,11.0,2.0,0,1.0,5.0,3.0,1.0,,4.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,
10382049,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,8,8,False,34.0,29.0,2.0,,,13.0,14.0,16.0,22.0,,,2.0,4.0,,,,,,90.0,54.0,6.5,13.0,1.0,2,2.0,6.0,3.0,1.0,4.0,1.0,,3.0,,1.0,,,,,,,,,,1.0,1.0,,,,
10382049,home,Sparta Rotterdam,Younes Namli,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,F,7,7,False,34.0,29.0,5.0,4.0,,14.0,15.0,15.0,21.0,,,,3.0,,,,,,66.0,52.0,7.0,12.0,,2,2.0,8.0,5.0,1.0,4.0,2.0,1.0,4.0,2.0,,,2.0,,,,,,,,2.0,,,,,
10382049,home,Sparta Rotterdam,Tobias Lauritsen,tobias-lauritsen,T. Lauritsen,F,9,192,737,M,796943,EUR,872899200,F,9,9,False,23.0,12.0,,,,5.0,9.0,7.0,14.0,,1.0,,3.0,,,,,,90.0,40.0,8.1,16.0,,5,,12.0,8.0,1.0,,4.0,2.0,,,2.0,,8.0,6.0,,,,,1.0,,3.0,2.0,1.0,2.0,,
