match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_shotOffTarget,stat_clearanceOffLine,stat_totalOffside,stat_totalContest,stat_errorLeadToAGoal,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed
12056900,home,1. FC Saarbrücken,Tim Schreiber,,,tim-schreiber,T. Schreiber,G,1,191,113,M,980615,EUR,1019606400,G,1,1,False,30.0,17.0,29.0,16.0,2.0,5.0,15.0,25.0,1.0,4.0,3.0,3.0,1.0,90.0,34.0,7.1,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Bjarne Thoelke,,,bjarne-thoelke,B. Thoelke,D,,190,9,M,123642,EUR,702950400,D,16,16,False,23.0,14.0,4.0,1.0,9.0,12.0,5.0,11.0,8.0,6.0,,,,90.0,43.0,7.4,11.0,0,4.0,6.0,4.0,11.0,2.0,5.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Manuel Zeitz,,,manuel-zeitz,M. Zeitz,M,8,180,12,M,84223,EUR,649468800,D,8,8,False,18.0,14.0,3.0,1.0,10.0,11.0,4.0,7.0,7.0,4.0,,,,90.0,39.0,7.1,4.0,1,8.0,4.0,9.0,8.0,2.0,1.0,1.0,,,,True,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Lukas Boeder,,,lukas-boeder,L. Boeder,D,29,184,39,M,295111,EUR,861321600,D,29,29,False,13.0,10.0,3.0,2.0,7.0,9.0,3.0,5.0,4.0,2.0,,,,90.0,23.0,7.3,4.0,2,,1.0,1.0,3.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Robin Becker,,,robin-becker,R. Becker,D,,182,8,M,788109,EUR,853545600,M,15,15,False,7.0,3.0,1.0,,1.0,1.0,2.0,6.0,3.0,2.0,,,,74.0,26.0,6.6,5.0,1,,,2.0,3.0,,,,,1.0,,,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Luca Kerber,,,luca-kerber,L. Kerber,M,20,180,119,M,1097453,EUR,1015718400,M,33,33,False,16.0,7.0,4.0,,4.0,7.0,3.0,9.0,3.0,4.0,,,,90.0,38.0,6.7,16.0,1,,1.0,4.0,4.0,1.0,2.0,1.0,4.0,,1.0,,2.0,,2.0,1.0,,1.0,,,2.0,,,,,,,,,
12056900,home,1. FC Saarbrücken,Patrick Sontheimer,,,patrick-sontheimer,P. Sontheimer,M,6,167,17,M,856077,EUR,899424000,M,6,6,False,19.0,17.0,4.0,2.0,9.0,10.0,8.0,10.0,2.0,5.0,,,,67.0,26.0,6.6,3.0,1,,,2.0,,1.0,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Kasim Rabihic,,,kasim-rabihic,K. Rabihic,M,10,177,30,M,271067,EUR,730512000,M,10,10,False,12.0,8.0,1.0,1.0,4.0,5.0,4.0,7.0,,1.0,,,,45.0,14.0,6.6,4.0,1,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Marcel Gaus,,,marcel-gaus,M. Gaus,M,,180,23,M,48508,EUR,618019200,M,19,19,False,23.0,15.0,2.0,1.0,6.0,10.0,9.0,15.0,2.0,7.0,,,,90.0,45.0,6.3,15.0,0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,2.0,,,,,1.0,,,,,,,,
12056900,home,1. FC Saarbrücken,Amine Naïfi,Amine Naifi,,amine-naifi,A. Naïfi,M,25,183,64,M,1502033,EUR,945561600,F,25,25,False,12.0,10.0,1.0,1.0,4.0,4.0,6.0,9.0,,1.0,,,,74.0,28.0,7.0,12.0,2,1.0,1.0,7.0,3.0,,,,4.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,4.0,,1.0,1.0,1.0,1.0,,,,
12056900,home,1. FC Saarbrücken,Kai Brünker,,,kai-brunker,K. Brünker,F,9,189,71,M,802325,EUR,771206400,F,9,9,False,18.0,8.0,,,2.0,2.0,6.0,16.0,2.0,,,,,90.0,31.0,7.4,16.0,1,3.0,7.0,8.0,10.0,,1.0,1.0,3.0,2.0,1.0,,,,,2.0,,,,,2.0,,1.0,,1.0,1.0,,,,
12056900,home,1. FC Saarbrücken,Julian Günther-Schmidt,,,julian-gunther-schmidt,J. Günther-Schmidt,M,10,183,24,M,169071,EUR,779414400,F,20,20,True,12.0,11.0,1.0,,8.0,8.0,3.0,6.0,,1.0,,,,45.0,16.0,6.5,4.0,0,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Tim Civeja,,,civeja-tim,T. Civeja,M,23,180,110,M,989957,EUR,1010102400,M,23,23,True,6.0,6.0,1.0,1.0,2.0,2.0,4.0,5.0,,1.0,,,,23.0,12.0,6.8,2.0,0,,,1.0,2.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,2.0,,,2.0,,,,,,
12056900,home,1. FC Saarbrücken,Dominik Becker,,,dominik-becker,D. Becker,D,,188,10,M,877833,EUR,947376000,D,17,17,True,7.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,,2.0,,,,16.0,14.0,6.7,3.0,0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
12056900,home,1. FC Saarbrücken,Fabio Di Michele Sanchez,,,fabio-di-michele-sanchez,F. D. M. Sanchez,M,22,180,55,M,1128642,EUR,1047600000,D,21,21,True,7.0,5.0,1.0,,2.0,3.0,3.0,5.0,,,,,,16.0,8.0,7.1,3.0,0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,
