match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_shotOffTarget,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,player_sofascoreId,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated
12116988,home,Botafogo,Gatito Fernández,gatito-fernandez,R. Fernández,G,25,191,1203,M,840027,EUR,575596800,G,1,1,False,True,29.0,18.0,19.0,8.0,13.0,19.0,5.0,10.0,2.0,6.0,1.0,3.0,3.0,2.0,90.0,39.0,7.4,12.0,0.0005824,0,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116988,home,Botafogo,Mateo Ponte,mateo-ponte,M. Ponte,D,4,183,1429,M,1099163,EUR,1053734400,D,4,4,False,,32.0,27.0,1.0,1.0,17.0,19.0,10.0,14.0,5.0,7.0,,,,,90.0,57.0,7.7,11.0,0.0173633,1,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0568,,,,,,,,,,,,,,,,,,
12116988,home,Botafogo,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,3,3,False,,52.0,43.0,8.0,6.0,33.0,37.0,10.0,15.0,11.0,2.0,,,,,90.0,68.0,7.7,9.0,0.00665046,1,,,2.0,4.0,5.0,,,,1.0,,2.0,,,2.0,0.1158,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12116988,home,Botafogo,Bastos,bastos,Bastos,D,15,184,3202,M,215956,EUR,670032000,D,15,15,False,,58.0,51.0,11.0,5.0,38.0,41.0,13.0,17.0,11.0,4.0,,,,,90.0,75.0,7.6,7.0,0.00693784,1,,,3.0,3.0,7.0,,,,,,,1.0,,,0.1078,4.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,
12116988,home,Botafogo,Hugo,hugo,Hugo,D,16,175,534,M,1018915,EUR,1000944000,D,16,16,False,,46.0,40.0,3.0,1.0,20.0,20.0,23.0,30.0,2.0,5.0,,,,,90.0,64.0,7.2,11.0,0.112627,0,,4.0,3.0,5.0,2.0,,1.0,1.0,,,,,3.0,,,,1.0,,,2.0,,,,3.0,2.0,,,,,,,,
12116988,home,Botafogo,Luiz Henrique,luiz-henrique,L. Henrique,M,11,182,12999,M,1035995,EUR,978393600,M,7,7,False,,27.0,23.0,2.0,1.0,7.0,7.0,16.0,22.0,,3.0,,,,,63.0,39.0,7.1,10.0,0.0909163,2,,2.0,3.0,5.0,1.0,1.0,1.0,,,,,1.0,2.0,,0.0591,,1.0,1.0,,1.0,2.0,Luiz Henrique,,,,luizhenrique_07,1.0,,,,,,
12116988,home,Botafogo,Gregore,gregore,Gregore,M,26,181,1634,M,840276,EUR,762566400,M,26,26,False,,58.0,54.0,3.0,1.0,32.0,34.0,22.0,24.0,,9.0,,,,,80.0,70.0,7.1,7.0,0.00909569,0,,,2.0,6.0,8.0,2.0,,,,,1.0,1.0,1.0,2.0,,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,
12116988,home,Botafogo,Tchê Tchê,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,,60.0,54.0,11.0,7.0,26.0,26.0,30.0,37.0,1.0,7.0,,,,,90.0,71.0,7.3,7.0,0.141988,1,,3.0,1.0,3.0,3.0,,,,,,,,,,0.0479,,1.0,1.0,2.0,2.0,1.0,,,2.0,2.0,,,,,,,,
12116988,home,Botafogo,Jeffinho,jeffinho,Jeffinho,M,47,177,1438,M,1016948,EUR,946512000,M,47,47,False,,27.0,20.0,2.0,2.0,7.0,7.0,14.0,21.0,,2.0,,,,,64.0,50.0,6.8,15.0,0.0260957,3,,1.0,1.0,8.0,4.0,3.0,4.0,1.0,1.0,,,1.0,2.0,1.0,0.2869,,1.0,,2.0,3.0,,,,1.0,,,,2.0,,,,,
12116988,home,Botafogo,Júnior Santos,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,F,11,11,False,,26.0,19.0,1.0,,3.0,5.0,17.0,24.0,,5.0,,,,,80.0,41.0,6.8,13.0,0.132826,0,,3.0,6.0,8.0,4.0,1.0,2.0,2.0,,,,,2.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,
