match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,player_firstName,player_lastName,captain,stat_duelLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded,stat_errorLeadToAShot
11391444,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,29.0,24.0,13.0,8.0,21.0,22.0,3.0,7.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,38.0,7.3,5.0,0.00056372,0,0.0537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391444,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,27,27,False,59.0,47.0,19.0,10.0,23.0,25.0,25.0,36.0,6.0,4.0,,,,,,,90.0,84.0,7.5,16.0,0.0637001,0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391444,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,56.0,46.0,19.0,10.0,35.0,39.0,11.0,17.0,3.0,5.0,,,,,,,90.0,68.0,7.5,11.0,0.00670408,1,,,,,2.0,,2.0,2.0,1.0,,,True,1.0,1.0,1.0,2.0,1.0,0.021,,,,,,,,,,,,,,,,,
11391444,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,75.0,68.0,10.0,6.0,52.0,55.0,16.0,20.0,1.0,7.0,,,,,,,90.0,85.0,7.3,9.0,0.00830828,0,,,,1.0,4.0,,2.0,1.0,,,,,4.0,,1.0,,1.0,,3.0,1.0,1.0,2.0,,,,,,,,,,,,,
11391444,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180,637,M,1129382,EUR,1020643200,D,2,2,False,69.0,58.0,11.0,5.0,32.0,36.0,26.0,36.0,2.0,4.0,,,,,,,90.0,99.0,7.0,19.0,0.0129699,2,,3.0,,1.0,7.0,,,,,,,,7.0,1.0,2.0,2.0,1.0,0.0946,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
11391444,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,39.0,32.0,3.0,3.0,13.0,14.0,21.0,27.0,1.0,4.0,,,,,,,78.0,59.0,7.6,10.0,0.120636,0,,2.0,2.0,,7.0,,,1.0,3.0,,,,6.0,,1.0,2.0,1.0,,1.0,,,5.0,2.0,2.0,,2.0,1.0,,,,,,,,
11391444,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,80.0,71.0,15.0,13.0,48.0,54.0,23.0,27.0,,13.0,,,,,,,90.0,99.0,7.5,14.0,0.0270559,0,,1.0,,2.0,10.0,,,,,,,,6.0,,1.0,3.0,1.0,,1.0,2.0,1.0,4.0,1.0,2.0,,3.0,,,,,,,,,
11391444,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,41.0,38.0,3.0,3.0,21.0,21.0,17.0,20.0,,9.0,,,,,,,67.0,44.0,6.6,5.0,0.0206736,0,,,,1.0,1.0,,,,1.0,,,,5.0,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,
11391444,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,F,10,10,False,40.0,30.0,3.0,2.0,10.0,10.0,20.0,34.0,1.0,2.0,,,,,,,67.0,68.0,8.8,21.0,0.0567292,3,,4.0,,2.0,10.0,,,2.0,1.0,,,,7.0,,3.0,1.0,1.0,0.8638,2.0,7.0,5.0,2.0,2.0,,,1.0,,3.0,2.0,1.3191,,,,,
11391444,home,Stade Brestois,Steve Mounié,steve-mounie,S. Mounié,F,9,190,6052,M,345035,EUR,780796800,F,9,9,False,18.0,15.0,1.0,,5.0,5.0,10.0,13.0,1.0,2.0,,,,,,,85.0,32.0,6.9,10.0,0.00627829,2,,,,5.0,7.0,,,,1.0,,,,7.0,1.0,4.0,2.0,,0.0776,4.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,
