match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_totalCross,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wasFouled,stat_blockedScoringAttempt,stat_hitWoodwork,player_sofascoreId,stat_totalOffside,stat_goals,stat_lastManTackle,stat_bigChanceCreated,stat_bigChanceMissed
14062194,home,SV Werder Bremen,Mio Backhaus,Mio Backhaus,,mio-backhaus,M. Backhaus,G,30,194,1073,M,1083390,EUR,1082073600,G,30,30,False,33.0,29.0,8.0,4.0,0.0,27.0,27.0,2.0,6.0,8.0,1.0,1.0,90.0,38.0,6.7,4.0,0.00184202,119.81348636164,15.0,49.216925513301,0.1515,0,-0.453,0.08,0.01,-0.01,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062194,home,SV Werder Bremen,Julián Malatini,Julian Malatini,,julian-malatini,J. Malatini,D,22,191,563,M,1087043,EUR,991267200,D,22,22,False,59.0,52.0,4.0,2.0,0.0,36.0,38.0,16.0,21.0,5.0,,,75.0,69.0,6.4,8.0,0.00824225,161.77831909768,23.0,81.415567639326,,0,,0.02,0.08,-0.16,,2.0,4.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,16.876565610142,37.07566830148,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14062194,home,SV Werder Bremen,Marco Friedl,,,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,97.0,84.0,15.0,6.0,0.0,44.0,46.0,40.0,51.0,7.0,,,90.0,119.0,7.4,15.0,0.0490507,341.16588172776,40.0,166.99153473023,,1,,0.28,0.23,0.25,,1.0,1.0,5.0,9.0,3.0,3.0,2.0,1.0,,17.753426271283,59.240969112517,3.0,True,1.0,2.0,1.0,1.0,0.037,1.0,-0.19,,,,,,,,,,,,,,,,
14062194,home,SV Werder Bremen,Karim Coulibaly,,,karim-coulibaly,K. Coulibaly,D,31,191,703,M,1797852,EUR,1179878400,D,31,31,False,67.0,59.0,6.0,4.0,0.0,30.0,32.0,29.0,35.0,5.0,,,90.0,81.0,6.6,10.0,0.0518981,149.55867775029,18.0,58.915450767111,,1,,0.26,0.1,-0.13,,1.0,3.0,1.0,6.0,,,,1.0,,21.276358718926,21.455920301865,1.0,,1.0,,1.0,,0.0831,,-0.32,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
14062194,home,SV Werder Bremen,Yukinari Sugawara,,,yukinari-sugawara,Y. Sugawara,D,3,179,2828,M,905347,EUR,962150400,M,3,3,False,29.0,24.0,4.0,,0.0,12.0,13.0,12.0,16.0,1.0,,,64.0,41.0,6.3,9.0,0.0156658,84.711308077254,14.0,47.028719444837,,1,,0.03,0.13,-0.08,,1.0,2.0,1.0,1.0,,,,3.0,1.0,,,,,,,,,0.0347,,-0.13,,,,1.0,1.0,1.0,0.0847,,,,,,,,,
14062194,home,SV Werder Bremen,Jens Stage,,,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,False,52.0,42.0,9.0,7.0,0.0,17.0,19.0,25.0,33.0,2.0,,,90.0,64.0,7.0,13.0,0.198184,80.144468019453,13.0,26.920399326803,,0,,0.04,-0.4,-0.04,,3.0,5.0,9.0,1.0,,1.0,1.0,1.0,,,,,,,4.0,,,,2.0,,,,,3.0,1.0,,,3.0,,,,,,,,
14062194,home,SV Werder Bremen,Senne Lynen,,,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,14,14,False,76.0,62.0,7.0,2.0,0.0,33.0,37.0,29.0,39.0,6.0,,,90.0,92.0,6.4,20.0,0.0882155,172.10542252915,20.0,62.017897695214,,3,,0.14,0.14,-0.12,,4.0,9.0,4.0,2.0,2.0,,,3.0,1.0,21.877970905821,42.461876106136,2.0,,1.0,3.0,1.0,,0.0791,1.0,-0.37,,2.0,2.0,,,,,1.0,2.0,1.0,,,,,,
14062194,home,SV Werder Bremen,Olivier Deman,,,deman-olivier,O. Deman,D,2,181,445,M,960114,EUR,954979200,M,2,2,False,45.0,36.0,4.0,3.0,1.0,13.0,13.0,23.0,32.0,6.0,,,90.0,82.0,7.1,19.0,0.446653,81.057104253902,13.0,6.0665915159044,,2,,0.43,0.05,0.17,,2.0,9.0,7.0,1.0,1.0,6.0,5.0,2.0,5.0,9.4698304483418,10.675322009195,1.0,,8.0,1.0,,,0.1904,4.0,0.06,3.0,,1.0,1.0,,1.0,0.336,,1.0,,,,,,,
14062194,home,SV Werder Bremen,Romano Schmid,,,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,F,20,20,False,60.0,49.0,3.0,3.0,0.0,12.0,13.0,37.0,47.0,7.0,,,90.0,91.0,7.1,25.0,0.247021,231.71492523483,30.0,50.915221359612,,1,,0.36,0.29,-0.06,,,7.0,6.0,,,1.0,,2.0,1.0,15.44918170995,39.394340447228,2.0,,8.0,,,,0.0498,3.0,-0.27,2.0,1.0,2.0,5.0,2.0,,,3.0,1.0,,,,,,,
14062194,home,SV Werder Bremen,Samuel Mbangula,Samuel,Mbangula,samuel-mbangula,S. Mbangula,M,7,180,4363,M,1100836,EUR,1074211200,F,7,7,False,42.0,35.0,1.0,,0.0,5.0,7.0,30.0,35.0,6.0,,,89.0,66.0,7.7,14.0,0.154561,230.80966568188,25.0,98.71748711277,,1,,0.29,0.34,-0.02,,2.0,3.0,11.0,,,2.0,1.0,2.0,,35.47964888851,80.175404390714,3.0,,3.0,,,,0.0736,3.0,0.01,,,1.0,7.0,7.0,,,2.0,1.0,,Samu,,,,,
