match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,player_firstName,player_lastName,stat_bigChanceCreated,stat_keyPass,stat_totalCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,captain,stat_goalAssist,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
11409098,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,29.0,22.0,17.0,10.0,18.0,20.0,4.0,9.0,1.0,3.0,1.0,2.0,2.0,1.0,90.0,36.0,7.4,8.0,0.00051188,30.972002675573,6.0,5.355,3.15,0,0.5288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409098,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,D,8,8,False,39.0,31.0,7.0,2.0,18.0,19.0,13.0,20.0,3.0,6.0,,,,,74.0,53.0,6.9,10.0,0.0283538,121.04283681331,12.0,60.9,25.095,0,,3.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,43.022775536743,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11409098,home,Benfica,Tomás Araújo,tomas-araujo,T. Araújo,D,44,186,2711,M,,983542,EUR,1021507200,D,44,44,False,58.0,53.0,2.0,2.0,38.0,42.0,15.0,16.0,3.0,9.0,,,,,88.0,68.0,7.0,8.0,0.00874595,196.41664064728,25.0,137.76,22.365,1,,2.0,4.0,,,,,1.0,1.0,,1.0,13.947952143594,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0586,,,,,,,,,,,,,,,,,
11409098,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,52.0,46.0,8.0,5.0,31.0,35.0,15.0,17.0,3.0,3.0,,,,,90.0,62.0,7.5,6.0,0.00667321,165.21155507411,20.0,119.385,17.85,0,,3.0,7.0,,,,,4.0,3.0,1.0,,,,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
11409098,home,Benfica,Morato,morato,F. Morato,D,4,190,2248,M,,985086,EUR,993859200,D,5,5,False,35.0,32.0,5.0,4.0,19.0,21.0,13.0,14.0,1.0,3.0,,,,,90.0,53.0,7.3,6.0,0.0637707,56.735489466599,5.0,38.955,16.17,0,,5.0,4.0,1.0,1.0,,,2.0,,,2.0,,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,
11409098,home,Benfica,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,81.0,73.0,6.0,5.0,38.0,41.0,35.0,41.0,1.0,17.0,,,,,90.0,107.0,8.1,14.0,0.0322765,201.86065729657,24.0,125.265,23.52,2,,9.0,11.0,2.0,2.0,4.0,2.0,7.0,6.0,2.0,2.0,49.444694648574,2.0,1.0,,,,3.0,1.0,0.1291,,,,1.0,1.0,1.0,1.0,0.0766,,,,,,,,,
11409098,home,Benfica,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175,12817,M,orkunkokcu,907461,EUR,978048000,M,10,10,False,55.0,47.0,3.0,3.0,21.0,23.0,27.0,34.0,,6.0,,,,,70.0,69.0,7.5,12.0,0.175664,131.22974986001,21.0,47.775,13.44,2,,6.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,13.661123819071,1.0,1.0,1.0,,,1.0,1.0,0.062,,,,2.0,2.0,2.0,,0.1179,1.0,,,,,,,,
11409098,home,Benfica,João Mário,joao-mario,J. Mário,M,10,179,3804,M,JoaoMario,97001,EUR,727401600,M,20,20,False,48.0,36.0,3.0,,8.0,11.0,28.0,40.0,,7.0,,,,,90.0,64.0,6.8,21.0,0.0959001,146.96838609659,19.0,22.785,21.42,1,,9.0,5.0,3.0,2.0,3.0,1.0,1.0,,2.0,2.0,21.89916747276,1.0,,1.0,,,1.0,2.0,0.0176,,,,2.0,3.0,1.0,,0.0406,,True,,,,,,,
11409098,home,Benfica,Rafa Silva,rafa-silva,R. Silva,M,27,170,16782,M,Rafa_Silva,252577,EUR,737596800,M,27,27,False,47.0,39.0,1.0,,9.0,10.0,30.0,37.0,,1.0,,,,,90.0,57.0,9.0,12.0,0.397896,257.43387533546,17.0,194.04,38.01,2,,5.0,2.0,1.0,1.0,3.0,1.0,,,1.0,,193.21925802925,8.0,1.0,,1.0,,,,0.3917,,,3.0,6.0,,1.0,,0.3521,,,2.0,1.0,1.0,2.0,,,
11409098,home,Benfica,Tiago Gouveia,tiago-gouveia,T. Gouveia,F,47,176,1493,M,,976410,EUR,992822400,M,47,47,False,24.0,23.0,,,7.0,7.0,16.0,18.0,,5.0,,,,,70.0,37.0,6.9,8.0,0.0186445,156.43801687297,12.0,15.435,18.48,2,,8.0,4.0,,2.0,3.0,1.0,1.0,1.0,2.0,4.0,56.894220328638,3.0,,,,,,1.0,0.1293,,,,,1.0,1.0,1.0,0.2205,,,,,,,,,
