match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,player_sofascoreId,captain,stat_interceptionWon,stat_clearanceOffLine,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt
12773665,home,Bayer 04 Leverkusen,Matěj Kovář,,,matej-kovar,M. Kovář,G,32,196,2046,M,927366,EUR,958521600,G,17,17,False,30.0,27.0,5.0,2.0,0.0,27.0,30.0,1.0,2.0,2.0,8.0,1.0,3.0,1.0,4.0,2.0,90.0,43.0,8.1,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12773665,home,Bayer 04 Leverkusen,Nordi Mukiele,,,nordi-mukiele,N. Mukiele,D,20,185,6333,M,780014,EUR,878342400,D,23,23,False,95.0,85.0,2.0,2.0,0.0,35.0,44.0,1.0,3.0,3.0,6.0,,,,,,90.0,111.0,7.4,11.0,0,50.0,51.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12773665,home,Bayer 04 Leverkusen,Jonathan Tah,,,jonathan-tah,J. Tah,D,4,194,9464,M,227672,EUR,823996800,D,4,4,False,88.0,83.0,2.0,1.0,0.0,58.0,60.0,1.0,1.0,5.0,6.0,,,,,,90.0,96.0,7.3,5.0,0,25.0,28.0,1.0,1.0,,1.0,,,,jonatah,True,2.0,,,,,,,,,,,,,,,
12773665,home,Bayer 04 Leverkusen,Edmond Tapsoba,,,edmond-tapsoba,E. Tapsoba,D,12,193,33854,M,883262,EUR,917913600,D,12,12,False,104.0,99.0,3.0,1.0,0.0,62.0,63.0,,2.0,3.0,4.0,,,,,,90.0,113.0,7.9,6.0,0,37.0,41.0,,3.0,,1.0,2.0,2.0,3.0,edmondtapsoba,,1.0,1.0,1.0,,,,,,,,,,,,,
12773665,home,Bayer 04 Leverkusen,Arthur,Arthur,,arthur,Arthur,D,13,173,2974,M,1174761,EUR,1047859200,M,13,13,False,43.0,34.0,4.0,2.0,0.0,15.0,18.0,3.0,10.0,2.0,6.0,2.0,,,,,87.0,68.0,7.0,21.0,1,19.0,27.0,1.0,8.0,,,2.0,2.0,2.0,,,1.0,,,2.0,2.0,6.0,3.0,1.0,4.0,,,,,,,
12773665,home,Bayer 04 Leverkusen,Exequiel Palacios,,,exequiel-palacios,E. Palacios,M,25,177,12686,M,822600,EUR,907545600,M,25,25,False,104.0,98.0,3.0,1.0,0.0,44.0,45.0,,3.0,,2.0,,,,,,90.0,112.0,6.9,8.0,0,54.0,59.0,1.0,5.0,1.0,,3.0,1.0,2.0,exepalaciosok,,,,,,1.0,,,,1.0,,,,,,,
12773665,home,Bayer 04 Leverkusen,Granit Xhaka,,,granit-xhaka,G. Xhaka,M,34,185,15693,M,117777,EUR,717552000,M,34,34,False,89.0,82.0,3.0,1.0,0.0,33.0,37.0,1.0,3.0,4.0,2.0,1.0,,,,,69.0,98.0,7.5,7.0,1,50.0,53.0,,,,,,,,Granit_Xhaka,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,
12773665,home,Bayer 04 Leverkusen,Aleix García,,,aleix-garcia,A. García,M,24,173,4596,M,796047,EUR,867456000,M,24,24,False,87.0,82.0,7.0,7.0,0.0,42.0,43.0,1.0,2.0,1.0,6.0,,,,,,90.0,95.0,7.9,9.0,1,41.0,46.0,2.0,5.0,,,1.0,1.0,2.0,AlexGarcia97,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,
12773665,home,Bayer 04 Leverkusen,Nathan Tella,,,nathan-tella,N. Tella,M,23,173,3092,M,920379,EUR,931132800,M,19,19,False,28.0,26.0,1.0,,1.0,10.0,11.0,1.0,6.0,1.0,6.0,3.0,,,,,69.0,40.0,7.5,5.0,0,17.0,19.0,,3.0,1.0,,2.0,2.0,1.0,,,1.0,,1.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,,
12773665,home,Bayer 04 Leverkusen,Jonas Hofmann,,,jonas-hofmann,J. Hofmann,F,7,176,2113,M,142390,EUR,711072000,F,7,7,False,59.0,52.0,5.0,5.0,0.0,17.0,18.0,,2.0,,2.0,1.0,,,,,79.0,65.0,7.6,8.0,0,36.0,43.0,,,,,1.0,1.0,,,,,,1.0,2.0,,,,,,1.0,,,,,,
12773665,home,Bayer 04 Leverkusen,Patrik Schick,,,patrik-schick,P. Schick,F,14,191,10646,M,280609,EUR,822441600,F,14,14,False,13.0,9.0,,,0.0,2.0,2.0,3.0,5.0,1.0,1.0,,,,,,79.0,25.0,8.8,9.0,4,7.0,11.0,,3.0,,,2.0,2.0,,p_shicky,,,,,,2.0,1.0,,,1.0,,4.0,2.0,,1.0,,
