match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_goals,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_accurateCross,player_firstName,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,player_lastName,stat_bigChanceMissed,stat_hitWoodwork,stat_wasFouled,stat_totalOffside,stat_bigChanceCreated,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12117263,home,Criciúma,Gustavo,gustavo,Gustavo,G,1,186,199,M,124766,EUR,731721600,G,1,1,False,27.0,17.0,17.0,7.0,0.0,13.0,17.0,4.0,10.0,8.0,3.0,90.0,35.0,7.1,10.0,0.00091279,0,0.0894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117263,home,Criciúma,Dudu,dudu,Dudu,D,53,175,147,M,859083,EUR,864950400,D,20,20,False,12.0,11.0,,,0.0,2.0,2.0,9.0,11.0,1.0,,32.0,23.0,6.7,5.0,0.0192049,1,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0311,0.5847,,,,,,,,,,,,,,,,,,,,,,,,,
12117263,home,Criciúma,Rodrigo Fagundes,rodrigo-fagundes,R. Fagundes,D,3,187,155,M,886773,EUR,542419200,D,3,3,False,40.0,35.0,5.0,2.0,0.0,24.0,25.0,11.0,15.0,4.0,,90.0,54.0,7.8,8.0,0.00595033,1,,,6.0,5.0,2.0,,1.0,5.0,2.0,1.0,0.1879,0.2709,True,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12117263,home,Criciúma,Tobias Figueiredo,tobias-figueiredo,T. Figueiredo,D,4,188,200,M,96999,EUR,760147200,D,29,29,False,32.0,28.0,2.0,1.0,0.0,25.0,26.0,3.0,6.0,6.0,,90.0,40.0,7.2,4.0,0.00111302,0,,,1.0,4.0,,,,3.0,1.0,,,,,1.0,3.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12117263,home,Criciúma,Marcelo Hermes,marcelo-hermes,M. Hermes,D,22,177,288,M,783490,EUR,791596800,D,22,22,False,32.0,21.0,11.0,2.0,0.0,8.0,12.0,15.0,27.0,6.0,,90.0,60.0,7.4,18.0,0.0813616,0,,7.0,2.0,3.0,,,,5.0,3.0,2.0,,,,,,,,3.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12117263,home,Criciúma,Newton,newton,Newton,M,28,188,888,M,1463909,EUR,952819200,M,8,8,False,48.0,39.0,4.0,2.0,0.0,23.0,25.0,16.0,24.0,7.0,,90.0,66.0,6.9,15.0,0.0240492,3,,1.0,5.0,5.0,2.0,1.0,,4.0,1.0,3.0,0.0632,,,2.0,3.0,,,1.0,,1.0,,,,Newton,1.0,2.0,1.0,,,,,,,,,,
12117263,home,Criciúma,Barreto,barreto,Barreto,M,5,182,107,M,599688,EUR,818553600,M,88,88,False,19.0,15.0,2.0,1.0,0.0,5.0,5.0,10.0,14.0,1.0,,45.0,26.0,6.7,5.0,0.0124696,1,,,3.0,2.0,,2.0,,2.0,1.0,,0.01,,,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,
12117263,home,Criciúma,Allano,allano,Allano,M,29,182,510,M,796925,EUR,798681600,M,2,2,False,28.0,23.0,,,1.0,4.0,4.0,19.0,27.0,11.0,,90.0,62.0,7.5,17.0,0.231787,4,,3.0,9.0,11.0,3.0,7.0,1.0,1.0,3.0,1.0,0.501,0.4502,,,1.0,1.0,,,3.0,1.0,2.0,,,,3.0,2.0,1.0,,1.0,1.0,4.0,1.0,,,,,
12117263,home,Criciúma,Matheusinho,matheusinho,Matheusinho,M,98,164,482,M,822523,EUR,887155200,M,17,17,False,28.0,22.0,1.0,,1.0,4.0,5.0,20.0,26.0,3.0,,68.0,42.0,7.2,11.0,0.365636,1,,3.0,7.0,4.0,1.0,5.0,1.0,1.0,2.0,,0.1109,0.087,,1.0,,2.0,,,2.0,,1.0,,2.0,,2.0,,,,,,,,1.0,,,,
12117263,home,Criciúma,Fellipe Mateus,fellipe-mateus,F. Mateus,M,7,178,153,M,865321,EUR,666316800,M,7,7,False,35.0,30.0,2.0,2.0,0.0,13.0,14.0,17.0,22.0,3.0,,82.0,48.0,7.6,9.0,0.0282789,1,,1.0,5.0,3.0,1.0,,1.0,,1.0,2.0,0.0729,0.4699,,1.0,1.0,,1.0,3.0,,3.0,1.0,,,,,,,,,,1.0,,,,,,
