match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_outfielderBlock,stat_totalOffside,stat_totalContest,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_challengeLost,stat_fouls,player_sofascoreId,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_hitWoodwork,stat_savedShotsFromInsideTheBox
11406723,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193,635,M,98059,EUR,729907200,G,16,16,False,27.0,15.0,19.0,8.0,0.0,8.0,10.0,7.0,17.0,2.0,1.0,1.0,86.0,29.0,6.7,12.0,0.00277453,0,0.0391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406723,home,Genoa,Giorgio Cittadini,giorgio-cittadini,G. Cittadini,D,2,184,117,M,1001847,EUR,1019088000,D,23,23,False,14.0,9.0,2.0,2.0,0.0,8.0,11.0,1.0,3.0,3.0,,,77.0,26.0,7.1,8.0,0.00058375,0,,2.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11406723,home,Genoa,Alessandro Vogliacco,alessandro-vogliacco,A. Vogliacco,D,4,186,344,M,807295,EUR,905731200,D,14,14,False,21.0,17.0,2.0,,0.0,14.0,14.0,3.0,7.0,3.0,,,90.0,25.0,6.8,5.0,0.00103832,0,,3.0,,3.0,,,1.0,1.0,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11406723,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,23.0,19.0,5.0,4.0,0.0,14.0,15.0,5.0,8.0,2.0,,,90.0,37.0,7.6,7.0,0.00670546,2,,1.0,4.0,2.0,7.0,,4.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,0.0503,1.0,,,,,,,,,,,,,,,,,,
11406723,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,199,M,184421,EUR,726883200,M,20,20,False,13.0,6.0,3.0,3.0,0.0,2.0,3.0,4.0,11.0,4.0,,,63.0,31.0,6.9,13.0,0.0300589,1,,,1.0,1.0,5.0,,1.0,,3.0,2.0,2.0,1.0,,1.0,,,1.0,0.0196,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11406723,home,Genoa,Morten Thorsby,morten-thorsby,M. Thorsby,M,2,189,697,M,280991,EUR,831254400,M,2,2,False,16.0,15.0,,,0.0,5.0,5.0,10.0,11.0,4.0,,,90.0,23.0,6.9,2.0,0.0233482,1,,8.0,5.0,10.0,7.0,,,,2.0,,1.0,,,,,,1.0,0.0267,1.0,,,,1.0,1.0,,,,,,,,,,,,,
11406723,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,195850,EUR,736473600,M,17,17,False,17.0,14.0,5.0,4.0,0.0,7.0,8.0,7.0,9.0,4.0,,,63.0,32.0,7.4,6.0,0.00286963,2,,,,4.0,4.0,2.0,1.0,1.0,4.0,2.0,,,,,,1.0,,0.1911,,,,,,1.0,malinovskyi18,1.0,1.0,1.0,0.1989,,,,,,,,
11406723,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,22.0,20.0,,,0.0,9.0,10.0,11.0,12.0,6.0,,,90.0,35.0,7.1,5.0,0.0136633,0,,2.0,,3.0,2.0,,1.0,4.0,2.0,2.0,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
11406723,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,M,3,3,False,18.0,14.0,2.0,2.0,1.0,3.0,5.0,13.0,15.0,3.0,,,90.0,34.0,7.5,5.0,0.0777613,0,,,1.0,4.0,6.0,1.0,1.0,2.0,4.0,3.0,,1.0,,,,,,,3.0,,,2.0,,3.0,,,,,,2.0,,,,,,,
11406723,home,Genoa,Vitinha,vitinha,Vitinha,F,9,183,2248,M,1093695,EUR,953078400,F,9,9,False,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,2.0,,,77.0,18.0,7.4,5.0,0.00017719,4,,3.0,,7.0,5.0,,,,,,2.0,4.0,,,,2.0,2.0,0.5797,,,,,1.0,2.0,,1.0,1.0,1.0,0.8772,,1.0,,,,,,
