match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_keyPass,player_jerseyNumber,captain,stat_challengeLost,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_outfielderBlock,stat_bigChanceCreated,stat_penaltyWon
11309388,home,Chicago Fire,Spencer Richey,,,spencer-richey,S. Richey,G,185,18,M,845679,EUR,707184000,G,18,18,False,23.0,21.0,5.0,3.0,21.0,22.0,1.0,6.0,1.0,1.0,1.0,2.0,90.0,30.0,5.7,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11309388,home,Chicago Fire,Arnaud Souquet,,,arnaud-souquet,A. Souquet,D,174,45,M,93570,EUR,697852800,D,2,2,False,20.0,19.0,,,14.0,14.0,6.0,3.0,,,,,45.0,31.0,7.1,2.0,1,5.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11309388,home,Chicago Fire,Rafael Czichos,,,rafael-czichos,R. Czichos,D,188,61,M,120302,EUR,642643200,D,5,5,False,92.0,87.0,16.0,15.0,59.0,61.0,31.0,3.0,,,,,90.0,102.0,6.6,5.0,0,28.0,2.0,2.0,4.0,3.0,,,,,5.0,1.0,1.0,,,,,1.0,,33,True,1.0,,,,,,,,,,,
11309388,home,Chicago Fire,Mauricio Pineda,,,mauricio-pineda,M. Pineda,M,185,58,M,1017171,EUR,877046400,D,22,22,False,88.0,78.0,10.0,8.0,51.0,57.0,31.0,3.0,,,,,90.0,92.0,6.1,11.0,0,27.0,,2.0,3.0,3.0,,,,,,1.0,1.0,1.0,,,,1.0,,22,,1.0,1.0,,,,,,,,,,
11309388,home,Chicago Fire,Maren Haile-Selassie,,,maren-haile-selassie,M. Haile-Selassie,M,176,179,M,888735,EUR,921283200,M,7,7,False,28.0,24.0,,,9.0,10.0,24.0,2.0,,,,,90.0,44.0,6.5,11.0,2,18.0,,,6.0,1.0,2.0,,1.0,,,,,,1.0,,1.0,2.0,3.0,7,,1.0,1.0,6.0,3.0,1.0,,,,,,,
11309388,home,Chicago Fire,Federico Navarro,,,navarro-federico,F. Navarro,M,171,144,M,963280,EUR,952560000,M,31,31,False,30.0,26.0,2.0,2.0,13.0,15.0,15.0,4.0,,,,,67.0,34.0,6.3,5.0,0,13.0,,,2.0,2.0,,,,,,1.0,,,1.0,,2.0,1.0,,31,,1.0,,,,,,,,,,,
11309388,home,Chicago Fire,Gastón Giménez,,,gaston-gimenez,G. Giménez,M,180,157,M,789415,EUR,680572800,M,30,30,False,28.0,23.0,2.0,2.0,16.0,17.0,11.0,1.0,,,,,74.0,34.0,6.6,7.0,2,7.0,,,1.0,,,,,,1.0,1.0,,,2.0,,,1.0,,30,,,,,,1.0,1.0,,,,,,
11309388,home,Chicago Fire,Miguel Navarro,Miguel,Navarro,miguel-navarro,M. Navarro,D,175,857,M,946472,EUR,919987200,M,6,6,False,49.0,40.0,6.0,5.0,21.0,22.0,31.0,5.0,,,,,90.0,74.0,7.4,14.0,1,21.0,,,1.0,6.0,1.0,1.0,1.0,,1.0,,2.0,1.0,3.0,,3.0,1.0,3.0,16,,,,4.0,2.0,,,1.0,,,,,
11309388,home,Chicago Fire,Xherdan Shaqiri,,,xherdan-shaqiri,X. Shaqiri,M,169,6845,M,65953,EUR,687052800,F,10,10,False,39.0,32.0,4.0,3.0,9.0,11.0,39.0,4.0,,,,,90.0,56.0,7.0,20.0,0,26.0,,,4.0,1.0,1.0,,,,,,,,,,1.0,2.0,2.0,10,,,2.0,11.0,3.0,,,,shaqirixherdan,1.0,,,
11309388,home,Chicago Fire,Brian Gutierrez,,,brian-gutierrez,B. Gutierrez,M,178,882,M,1023088,EUR,1055808000,F,17,17,False,31.0,23.0,2.0,1.0,10.0,11.0,20.0,,,,,,90.0,39.0,6.6,11.0,2,13.0,1.0,2.0,3.0,3.0,,,1.0,,,1.0,,,1.0,,1.0,2.0,,11,,,,,,,1.0,,,,,,
11309388,home,Chicago Fire,Kei Kamara,,,kei-kamara,K. Kamara,F,188,844,M,48978,EUR,462844800,F,23,23,False,25.0,21.0,,,9.0,12.0,13.0,1.0,,,,,90.0,35.0,7.1,5.0,4,12.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,2.0,1.0,,,,,,,3.0,,1.0,,,,,
