match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_hitWoodwork,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,captain,stat_bigChanceCreated,stat_bigChanceMissed
12513994,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,32.0,22.0,11.0,2.0,0.0,21.0,25.0,1.0,7.0,11.0,1.0,3.0,4.0,3.0,3.0,90.0,42.0,7.3,10.0,0.00036599,0,0.6451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513994,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,36.0,33.0,,,0.0,16.0,16.0,20.0,29.0,4.0,,,,,,80.0,55.0,6.8,10.0,0.17933,0,,9.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12513994,home,Sporting Braga,Robson Bambu,robson-bambu,R. Bambu,D,3,184,362,M,923186,EUR,879292800,D,3,3,False,74.0,64.0,7.0,1.0,0.0,38.0,39.0,26.0,35.0,4.0,,,,,,90.0,88.0,7.3,11.0,0.0154993,1,,,,1.0,3.0,6.0,,,,,,,2.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0615,,,,,,,,,,
12513994,home,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,788,M,997173,EUR,1048636800,D,26,26,False,65.0,62.0,1.0,,0.0,49.0,50.0,13.0,15.0,6.0,,,,,,90.0,73.0,6.7,3.0,0.00541184,0,,,,2.0,6.0,5.0,2.0,,,,,,1.0,,,1.0,,,3.0,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,
12513994,home,Sporting Braga,Adrián Marín,adrian-marin,A. Marín,D,21,181,96,M,547242,EUR,852768000,D,19,19,False,68.0,59.0,5.0,4.0,1.0,29.0,30.0,30.0,39.0,7.0,,,,,,90.0,90.0,7.8,10.0,0.0295041,0,,1.0,,,4.0,6.0,2.0,,1.0,2.0,,,2.0,,,,,6.0,3.0,1.0,,2.0,,,,,,,,,,,,
12513994,home,Sporting Braga,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,M,6,6,False,58.0,48.0,8.0,5.0,0.0,16.0,18.0,32.0,41.0,4.0,,,,,,90.0,70.0,7.1,13.0,0.03548,1,,1.0,,,5.0,7.0,3.0,2.0,,,,,2.0,,,1.0,,,4.0,2.0,,2.0,,0.0339,1.0,1.0,,1.0,,,,,,
12513994,home,Sporting Braga,André Horta,andre-horta,A. Horta,M,6,174,845,M,775699,EUR,847324800,M,10,10,False,63.0,55.0,3.0,2.0,1.0,23.0,24.0,32.0,40.0,2.0,,,,,,63.0,72.0,7.5,11.0,0.460196,2,,1.0,,,3.0,4.0,1.0,,,1.0,,,,1.0,,,,,3.0,2.0,,1.0,,0.0517,1.0,1.0,,1.0,1.0,0.0971,,,,
12513994,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,16,16,False,32.0,25.0,4.0,3.0,0.0,6.0,7.0,22.0,29.0,3.0,,,,,,80.0,53.0,9.3,12.0,0.302141,6,,4.0,3.0,,2.0,4.0,,1.0,2.0,3.0,,,,1.0,2.0,,,,,,,1.0,,0.7279,2.0,2.0,,2.0,2.0,0.8452,2.0,,,
12513994,home,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,52.0,46.0,,,0.0,7.0,7.0,41.0,50.0,5.0,,,,,,90.0,70.0,8.0,12.0,0.390433,3,,5.0,2.0,,2.0,4.0,1.0,3.0,1.0,7.0,,,,,2.0,,,1.0,3.0,2.0,,1.0,1.0,0.3757,,,,1.0,,,,True,1.0,
12513994,home,Sporting Braga,Gabriel Martínez,gabriel-martinez,G. Martínez,M,77,185,489,M,1134430,EUR,1043193600,M,77,77,False,53.0,47.0,3.0,3.0,1.0,10.0,11.0,37.0,42.0,5.0,,,,,,90.0,70.0,8.9,13.0,0.357209,3,,,,,5.0,5.0,2.0,2.0,1.0,1.0,Gabriel Martínez,,,2.0,,,,1.0,2.0,2.0,,,2.0,0.2224,3.0,2.0,1.0,2.0,1.0,0.3322,1.0,,1.0,1.0
12513994,home,Sporting Braga,Roberto Fernández,roberto-fernandez,R. Fernández,F,9,186,2068,M,1392592,EUR,1025654400,F,90,90,False,14.0,10.0,1.0,1.0,0.0,4.0,7.0,6.0,7.0,,,,,,,71.0,26.0,6.2,10.0,0.0149341,1,,,,2.0,7.0,3.0,2.0,3.0,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,1.0,0.084,1.0,,,,,,,,,
12513994,home,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,F,11,11,True,8.0,8.0,,,0.0,2.0,2.0,6.0,8.0,3.0,,,,,,27.0,16.0,6.9,5.0,0.0133348,2,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,0.1206,,,,1.0,1.0,0.189,,,,
