match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_accurateCross,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_goalAssist,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_lastManTackle,stat_errorLeadToAGoal,stat_bigChanceCreated
11450121,home,Pendikspor,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194.0,88,M,1066726,EUR,987120000,G,1,1,False,28.0,19.0,15.0,6.0,14.0,14.0,5.0,14.0,1.0,8.0,2.0,5.0,1.0,90.0,38.0,7.5,9.0,0.00333413,0,1.4934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450121,home,Pendikspor,Serkan Asan,,,serkan-asan,S. Asan,D,61,170.0,62,M,952726,EUR,925257600,D,61,61,False,29.0,21.0,7.0,4.0,12.0,14.0,9.0,16.0,3.0,6.0,,,,90.0,52.0,7.3,15.0,0.0338945,0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11450121,home,Pendikspor,Alpaslan Öztürk,,,alpaslan-ozturk,A. Öztürk,D,33,184.0,46,M,148857,EUR,742780800,D,33,33,False,32.0,26.0,7.0,2.0,18.0,20.0,8.0,12.0,9.0,1.0,,,,90.0,49.0,6.9,6.0,0.00696614,1,,,3.0,3.0,,,,,1.0,,,,,2.0,3.0,1.0,2.0,0.0307,,,,,,,,,,,,,,,,
11450121,home,Pendikspor,Joher Khadim Rassoul,Joher,Khadim Rassoul,joher-khadim-rassoul,J. K. Rassoul,D,89,187.0,111,M,800344,EUR,820368000,D,14,14,False,35.0,27.0,6.0,2.0,26.0,28.0,1.0,7.0,4.0,4.0,,,,90.0,45.0,6.7,8.0,0.00052194,1,,,2.0,3.0,1.0,,,,1.0,3.0,2.0,,,,,1.0,1.0,0.0327,,,,,,,,,,,,,,,,
11450121,home,Pendikspor,Nuno Sequeira,,,nuno-sequeira,N. Sequeira,D,6,184.0,51,M,170117,EUR,651024000,D,6,6,False,35.0,27.0,11.0,8.0,11.0,14.0,19.0,28.0,2.0,10.0,,,,90.0,68.0,7.6,16.0,0.043143,0,,7.0,3.0,7.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,3.0,2.0,,,,,,,,,,,,,,
11450121,home,Pendikspor,Gökcan Kaya,,,gokcan-kaya,G. Kaya,M,58,180.0,19,M,342437,EUR,807753600,M,58,58,False,27.0,24.0,7.0,5.0,13.0,14.0,12.0,14.0,2.0,2.0,,,,90.0,40.0,7.0,5.0,0.0387715,1,,1.0,3.0,4.0,1.0,1.0,1.0,,3.0,2.0,1.0,,1.0,,1.0,,,0.0833,1.0,,2.0,1.0,,,,,,,,,,,,
11450121,home,Pendikspor,Fredrik Midtsjø,,,fredrik-midtsjo,F. Midtsjø,M,,176.0,251,M,98198,EUR,745027200,M,18,18,False,23.0,21.0,3.0,3.0,9.0,10.0,12.0,14.0,,3.0,,,,77.0,34.0,6.4,7.0,0.014153,0,,1.0,13.0,3.0,7.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,,1.0,,4.0,,,,2.0,,,,,,,,,,,,,
11450121,home,Pendikspor,Halil Akbunar,,,halil-akbunar,H. Akbunar,M,77,170.0,140,M,217782,EUR,752803200,M,11,11,False,21.0,16.0,2.0,1.0,9.0,10.0,8.0,14.0,1.0,9.0,,,,72.0,45.0,6.2,12.0,0.074868,3,,3.0,12.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,4.0,0.4398,1.0,,1.0,,True,2.0,1.0,0.314,,,,,,,,
11450121,home,Pendikspor,Abdoulay Diaby,,,abdoulay-diaby,A. Diaby,F,23,173.0,494,M,115718,EUR,674784000,M,21,21,False,19.0,14.0,1.0,1.0,4.0,5.0,11.0,16.0,,1.0,,,,62.0,31.0,7.8,8.0,0.0462995,3,,2.0,4.0,4.0,,,,,1.0,4.0,3.0,1.0,2.0,1.0,,1.0,2.0,0.2326,1.0,,1.0,1.0,,1.0,,0.1119,1.0,,,,,,,
11450121,home,Pendikspor,Umut Nayir,,,mehmet-umut-nayir,U. Nayir,F,18,191.0,738,M,284767,EUR,741225600,F,17,17,False,31.0,22.0,1.0,1.0,5.0,7.0,18.0,26.0,,5.0,,,,77.0,46.0,7.2,19.0,0.0179555,1,,2.0,9.0,5.0,1.0,2.0,,,,1.0,1.0,4.0,1.0,3.0,3.0,,1.0,0.0459,1.0,1.0,2.0,,,1.0,,0.3625,1.0,,,,,,,
