match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,from,injury,playerName,reason,rescinded
11352360,FT,1.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11352360,,1.0,2.0,,90,1.0,,1,,,goal,175090985.0,False,regular,799041.0,Tomáš Souček,,,,,,
11352360,,,,,90,0.0,,1,,,injuryTime,,,,,,7.0,,,,,
11352360,,1.0,1.0,,86,,,5,,,goal,175090832.0,False,ownGoal,856719.0,Dara O'Shea,,owngoal,,,,
11352360,,,,,85,,,6,,,substitution,122235052.0,True,regular,,,,,False,,,
11352360,,,,,81,,,10,,,substitution,122234951.0,True,regular,,,,,False,,,
11352360,,,,,72,,,19,,,substitution,122234774.0,True,regular,,,,,False,,,
11352360,,,,,66,,,25,,,card,121031451.0,False,yellow,138024.0,Vladimír Coufal,,,,Vladimír Coufal,Handball,False
11352360,,,,,63,,,28,,,substitution,122234641.0,False,regular,,,,,False,,,
11352360,,,,,62,,,29,,,substitution,122234640.0,False,regular,,,,,False,,,
11352360,,1.0,0.0,,49,,,42,,,goal,175087808.0,True,penalty,26989.0,Jay Rodriguez,,penalty,,,,
11352360,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11352360,,,,,45,0.0,,1,,,injuryTime,,,,,,1.0,,,,,
11352360,,,,,39,,,7,,,card,121031147.0,False,yellow,877102.0,Nayef Aguerd,,,,Nayef Aguerd,Argument,False
11352360,,,,,39,,,7,,,card,121031146.0,False,yellow,847151.0,Edson Álvarez,,,,Edson Álvarez,Argument,False
11352360,,,,,32,,,14,,,card,121031111.0,True,yellow,927175.0,Jordan Beyer,,,,Jordan Beyer,Foul,False
