match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_hitWoodwork
12499524,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,31.0,22.0,15.0,6.0,0.0,17.0,18.0,5.0,13.0,2.0,10.0,1.0,1.0,1.0,1.0,90.0,43.0,7.1,10.0,0.0218455,0,0.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499524,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,38.0,27.0,8.0,2.0,0.0,20.0,24.0,7.0,14.0,4.0,3.0,,,,,90.0,51.0,7.0,11.0,0.00425613,0,,,,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499524,home,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,62.0,55.0,12.0,9.0,0.0,41.0,44.0,14.0,18.0,3.0,2.0,,,,,90.0,68.0,7.0,8.0,0.0112174,0,,,,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499524,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,57.0,44.0,8.0,5.0,0.0,23.0,28.0,21.0,29.0,3.0,2.0,,,,,90.0,79.0,7.3,17.0,0.0325384,1,,,,1.0,2.0,4.0,7.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0182,,,,,,,,,,,,,,
12499524,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,29.0,22.0,6.0,2.0,0.0,10.0,12.0,12.0,19.0,1.0,3.0,,,,,90.0,46.0,6.7,11.0,0.01561,0,,,,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
12499524,home,1. FC Union Berlin,Lucas Tousart,tousart-lucas,L. Tousart,M,24,185,445,M,787889,EUR,862272000,M,29,29,False,13.0,8.0,1.0,,0.0,4.0,6.0,4.0,8.0,1.0,3.0,,,,,67.0,25.0,7.2,7.0,0.0104117,3,,,,2.0,3.0,4.0,5.0,1.0,,,,1.0,,,2.0,2.0,1.0,,1.0,,0.2024,1.0,2.0,0.2243,,,,,,,,,,,
12499524,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,35.0,25.0,4.0,,0.0,13.0,19.0,12.0,17.0,4.0,4.0,,,,,90.0,48.0,7.1,11.0,0.0167378,0,,,,,,1.0,4.0,,1.0,1.0,3.0,1.0,,,,,,,2.0,,,1.0,,,True,,,,,,,,,,
12499524,home,1. FC Union Berlin,Tom Rothe,rothe-tom,T. Rothe,M,15,192,809,M,1210666,EUR,1099008000,M,15,15,False,28.0,17.0,4.0,2.0,0.0,12.0,15.0,5.0,16.0,,4.0,,,,,89.0,51.0,6.9,18.0,0.00182662,0,,,,4.0,2.0,8.0,8.0,2.0,5.0,2.0,,3.0,,,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,1.0,,,,,,,,,
12499524,home,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,F,16,16,False,17.0,10.0,,,0.0,2.0,4.0,8.0,18.0,,1.0,,,,,78.0,34.0,7.4,19.0,0.377354,1,,,,1.0,1.0,5.0,5.0,,,,2.0,,2.0,3.0,3.0,2.0,,,,3.0,0.0525,5.0,1.0,0.1201,,,1.0,1.0,,,,,,,
12499524,home,1. FC Union Berlin,Yorbe Vertessen,yorbe-vertessen,Y. Vertessen,F,11,176,940,M,909958,EUR,978912000,F,7,7,False,18.0,15.0,1.0,,0.0,3.0,5.0,15.0,21.0,,1.0,,,,,67.0,38.0,7.1,14.0,0.205571,1,,,,,,4.0,2.0,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,,,3.0,0.009,8.0,,,,,,,3.0,,,,,,
