match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_interceptionWon,captain,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_clearanceOffLine,stat_goalAssist,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
11409066,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,13.0,12.0,5.0,4.0,11.0,11.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,90.0,16.0,6.9,1.0,9.623e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409066,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,D,8,8,False,56.0,48.0,2.0,1.0,18.0,21.0,30.0,35.0,2.0,8.0,,,,90.0,74.0,7.4,12.0,0.132627,0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11409066,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,42.0,40.0,3.0,2.0,26.0,26.0,14.0,17.0,3.0,4.0,,,,90.0,52.0,7.3,4.0,0.011369,0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11409066,home,Benfica,Nicolás Otamendi,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,Notamendi30,74915,EUR,571622400,D,30,30,False,60.0,53.0,7.0,5.0,27.0,27.0,26.0,33.0,5.0,5.0,,,,90.0,81.0,8.2,8.0,0.136613,2,,3.0,9.0,,3.0,1.0,1.0,2.0,1.0,,,,3.0,True,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1411,0.0704,,,,,,,,,,,
11409066,home,Benfica,Morato,morato,F. Morato,D,4,190,2248,M,,985086,EUR,993859200,D,5,5,False,40.0,35.0,1.0,1.0,14.0,15.0,23.0,30.0,1.0,6.0,,,,90.0,68.0,8.5,12.0,0.299567,1,2.0,6.0,9.0,,5.0,4.0,3.0,,2.0,,,5.0,2.0,,1.0,3.0,3.0,2.0,1.0,,1.0,1.0,0.063,,2.0,2.0,1.0,1.0,,,,,,,
11409066,home,Benfica,Florentino Luís,florentino-luis,F. Luís,M,16,184,3615,M,,855845,EUR,935020800,M,61,61,False,44.0,38.0,4.0,2.0,10.0,12.0,28.0,32.0,1.0,2.0,,,,69.0,55.0,6.9,9.0,0.0205595,0,2.0,8.0,6.0,1.0,4.0,2.0,1.0,2.0,1.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11409066,home,Benfica,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175,12817,M,orkunkokcu,907461,EUR,978048000,M,10,10,False,67.0,58.0,5.0,3.0,20.0,20.0,39.0,50.0,,11.0,,,,85.0,77.0,7.4,15.0,0.130101,1,,6.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,,,3.0,,,,1.0,,,,1.0,,,0.0412,0.0291,1.0,,,,1.0,,,,,,
11409066,home,Benfica,Ángel Di María,angel-di-maria,Á. Di María,F,11,180,84815,M,ÁDiMaría,30027,EUR,571795200,M,11,11,False,39.0,32.0,5.0,3.0,7.0,8.0,28.0,46.0,,5.0,,,,89.0,84.0,8.5,30.0,0.943474,7,,12.0,4.0,2.0,3.0,2.0,1.0,2.0,5.0,,,15.0,1.0,,,1.0,7.0,,1.0,2.0,,1.0,0.1727,0.8507,3.0,1.0,,,1.0,4.0,1.0,1.0,,,
11409066,home,Benfica,Rafa Silva,rafa-silva,R. Silva,M,27,170,16782,M,Rafa_Silva,252577,EUR,737596800,M,27,27,False,29.0,24.0,2.0,2.0,4.0,5.0,20.0,26.0,,6.0,,,,89.0,49.0,6.7,13.0,0.240922,3,,7.0,8.0,3.0,2.0,,,,,,,2.0,,,1.0,1.0,6.0,3.0,2.0,1.0,,2.0,0.4311,0.5153,,,1.0,,,,,,,,
11409066,home,Benfica,João Mário,joao-mario,J. Mário,M,10,179,3804,M,JoaoMario,97001,EUR,727401600,M,20,20,False,43.0,38.0,3.0,2.0,7.0,7.0,33.0,40.0,,7.0,,,,90.0,63.0,7.5,12.0,0.251002,2,,2.0,3.0,,1.0,1.0,2.0,1.0,2.0,,,4.0,2.0,,,,2.0,,,2.0,,2.0,0.724,1.0756,2.0,,1.0,,,,,,,,
