match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_challengeLost,stat_wonContest,stat_goals,stat_outfielderBlock,stat_goalAssist,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_ownGoals,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_penaltyConceded,stat_blockedScoringAttempt
11408400,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,23.0,12.0,10.0,12.0,17.0,6.0,1.0,1.0,4.0,6.0,2.0,3.0,3.0,90.0,33.0,6.8,11.0,1.548e-05,0,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408400,home,Moreirense,Fabiano Souza,fabiano-silva,F. Souza,D,70,175,371,M,1130513,EUR,952992000,D,2,2,False,36.0,27.0,5.0,17.0,20.0,18.0,2.0,4.0,4.0,4.0,,,,90.0,62.0,6.8,16.0,0.0244905,0,,4.0,10.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408400,home,Moreirense,Carlos Ponck,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,14,14,False,55.0,44.0,11.0,35.0,42.0,13.0,5.0,9.0,2.0,1.0,,,,90.0,66.0,6.9,12.0,0.00473107,3,,4.0,9.0,,,1.0,,1.0,3.0,2.0,1.0,,,True,1.0,2.0,1.0,1.0,1.0,0.1332,0.2318,,,,,,,,,,,,,,,,,,,,
11408400,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,50.0,40.0,11.0,33.0,37.0,13.0,,2.0,6.0,3.0,,,,90.0,61.0,6.3,13.0,0.00423888,0,,2.0,7.0,,1.0,1.0,,,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
11408400,home,Moreirense,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180,173,M,931743,EUR,924652800,D,23,23,False,46.0,38.0,6.0,22.0,26.0,25.0,2.0,4.0,2.0,5.0,,,,90.0,84.0,6.6,24.0,0.0408876,0,,1.0,17.0,5.0,3.0,6.0,1.0,3.0,2.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11408400,home,Moreirense,André Castro,andre-castro,A. Castro,M,,179,107,M,41652,EUR,575942400,M,8,8,False,46.0,34.0,8.0,24.0,27.0,20.0,2.0,5.0,1.0,3.0,,,,78.0,60.0,7.3,16.0,0.0871348,1,,3.0,10.0,1.0,,4.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,,2.0,0.0183,0.2176,,,,2.0,1.0,1.0,,,,,,,,,,,,,,
11408400,home,Moreirense,Rúben Ramos Ismael,ruben-ramos-ismael,Ismael,M,16,184,179,M,1469058,EUR,922320000,M,6,6,False,67.0,57.0,5.0,42.0,46.0,21.0,1.0,4.0,,8.0,,,,90.0,73.0,6.7,11.0,0.214612,0,,3.0,15.0,,1.0,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,
11408400,home,Moreirense,Gonçalo Franco,goncalo-franco,G. Franco,M,17,176,243,M,984866,EUR,974419200,M,88,88,False,42.0,33.0,3.0,17.0,19.0,23.0,1.0,7.0,2.0,6.0,,,,90.0,65.0,7.4,14.0,0.035909,1,,1.0,16.0,,3.0,10.0,1.0,3.0,4.0,2.0,2.0,,,,1.0,,,2.0,2.0,0.0191,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,
11408400,home,Moreirense,Kobamelo Kodisang,kobamelo-kodisang,K. Kodisang,M,13,169,215,M,822874,EUR,935798400,F,21,21,False,9.0,6.0,1.0,2.0,4.0,8.0,,3.0,1.0,2.0,,,,70.0,25.0,6.7,8.0,0.0432886,0,,,6.0,3.0,1.0,3.0,4.0,2.0,,,,,,,,,,2.0,1.0,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,
11408400,home,Moreirense,Vinicius Mingotti,vinicius-mingotti,Vinicius Mingotti,F,9,185,106,M,989407,EUR,947203200,F,32,32,False,12.0,8.0,,4.0,6.0,6.0,4.0,4.0,,1.0,,,,70.0,19.0,6.4,6.0,0.00183289,0,,,4.0,,8.0,12.0,1.0,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
