match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,player_sofascoreId,stat_dispossessed,stat_unsuccessfulTouch,stat_accurateCross,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_clearanceOffLine
12450972,home,AS Monaco,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191.0,1544,M,849114,EUR,942710400,G,1,1,False,24.0,17.0,12.0,5.0,0.0,15.0,17.0,2.0,7.0,5.0,2.0,3.0,90.0,31.0,6.6,7.0,0.0002996,0,-0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450972,home,AS Monaco,Vanderson,vanderson,Vanderson,D,2,173.0,6111,M,1090694,EUR,993081600,D,2,2,False,57.0,43.0,9.0,3.0,1.0,27.0,32.0,16.0,26.0,5.0,,,90.0,83.0,7.1,17.0,0.2067,2,,Vanderson,,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,0.1213,2.0,,,,,,,,,,,,,,,,,,,,,
12450972,home,AS Monaco,Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186.0,1925,M,281277,EUR,843264000,D,5,5,False,66.0,58.0,10.0,4.0,0.0,47.0,48.0,11.0,18.0,6.0,,,90.0,77.0,6.7,8.0,0.00455059,1,,,,,1.0,,1.0,1.0,,,,,5.0,1.0,,,,0.1676,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12450972,home,AS Monaco,Mohammed Salisu,mohammed-salisu,M. Salisu,D,22,188.0,5721,M,946158,EUR,924307200,D,22,22,False,50.0,41.0,5.0,,0.0,30.0,33.0,11.0,17.0,3.0,,,90.0,62.0,6.6,10.0,0.00494868,0,,,,,4.0,3.0,7.0,6.0,,,,,3.0,3.0,3.0,2.0,2.0,,,,,,salisu_sarki,1.0,,,,,,,,,,,,,,,,
12450972,home,AS Monaco,Christian Mawissa,christian-mawissa,C. Mawissa,D,13,184.0,895,M,1407848,EUR,1113782400,D,13,13,False,25.0,19.0,2.0,1.0,0.0,12.0,15.0,7.0,11.0,1.0,,,74.0,43.0,6.6,12.0,0.00314313,0,,,,1.0,,4.0,3.0,8.0,,2.0,1.0,,2.0,1.0,3.0,3.0,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,
12450972,home,AS Monaco,Lamine Camara,camara-lamine,L. Camara,M,15,174.0,20442,M,1389846,EUR,1072915200,M,15,15,False,36.0,24.0,2.0,,1.0,15.0,19.0,10.0,23.0,8.0,,,81.0,53.0,6.9,17.0,0.0805471,1,,Lamine Camara,,6.0,2.0,1.0,6.0,4.0,3.0,,,,3.0,,1.0,,1.0,0.045,2.0,1.0,,2.0,lamine_camara_5,,,1.0,,,,,,,,,,,,,,
12450972,home,AS Monaco,Denis Zakaria,denis-zakaria,D. Zakaria,M,6,191.0,3221,M,770677,EUR,848448000,M,6,6,False,20.0,20.0,1.0,1.0,0.0,9.0,9.0,11.0,11.0,5.0,,,58.0,34.0,7.2,2.0,0.0312569,1,,,,,,,1.0,5.0,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,0.0469,1.0,,,1.0,,1.0,1.0,,True,,,,,,,,,,,,,
12450972,home,AS Monaco,Maghnes Akliouche,maghnes-akliouche,M. Akliouche,M,11,183.0,5917,M,1130939,EUR,1014595200,M,11,11,False,49.0,39.0,3.0,1.0,1.0,10.0,11.0,29.0,38.0,2.0,,,90.0,72.0,9.4,18.0,0.486155,4,,,,,1.0,,7.0,9.0,,3.0,2.0,,,,3.0,2.0,2.0,0.6268,4.0,2.0,,4.0,,3.0,4.0,,,3.0,2.0,1.0,0.642,,,,,,,,,
12450972,home,AS Monaco,Takumi Minamino,takumi-minamino,T. Minamino,M,18,174.0,8866,M,155818,EUR,790214400,M,18,18,False,22.0,19.0,2.0,2.0,0.0,6.0,6.0,13.0,16.0,2.0,,,74.0,33.0,6.5,5.0,0.145903,3,,,,,1.0,2.0,1.0,4.0,,,,,,1.0,,,1.0,0.9627,,,,2.0,Minamino,,2.0,,,,3.0,,0.9479,2.0,,,,,,,,
12450972,home,AS Monaco,Aleksandr Golovin,aleksandr-golovin,A. Golovin,M,10,180.0,8439,M,318963,EUR,833414400,M,10,10,False,31.0,26.0,7.0,5.0,0.0,9.0,10.0,17.0,23.0,6.0,,,81.0,46.0,6.9,14.0,0.0777639,3,,,,2.0,,,7.0,2.0,2.0,1.0,,,,,2.0,1.0,1.0,0.9285,,2.0,,,alex_golovin17,3.0,3.0,,,,1.0,1.0,0.9625,1.0,1.0,1.0,,,,,,
12450972,home,AS Monaco,Mika Biereth,mika-biereth,M. Biereth,F,14,187.0,5335,M,1083007,EUR,1044662400,F,14,14,False,23.0,16.0,,,0.0,5.0,6.0,11.0,19.0,5.0,,,90.0,43.0,7.6,13.0,0.532562,4,,Mika Biereth,,2.0,6.0,2.0,9.0,6.0,,1.0,,1.0,,1.0,,,1.0,0.6908,3.0,,,4.0,,2.0,1.0,,,2.0,3.0,1.0,0.8636,2.0,,,,,,,,
12450972,home,AS Monaco,Soungoutou Magassa,soungoutou-magassa,S. Magassa,M,27,188.0,1742,M,1170560,EUR,1065571200,M,88,88,True,9.0,6.0,1.0,,0.0,3.0,4.0,4.0,6.0,2.0,,,32.0,20.0,6.9,5.0,0.0562314,0,,Soungoutou Magassa,,1.0,2.0,,2.0,2.0,,,,,2.0,1.0,2.0,2.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12450972,home,AS Monaco,Krépin Diatta,krepin-diatta,K. Diatta,M,27,173.0,13115,M,873534,EUR,919900800,M,27,27,True,8.0,5.0,2.0,1.0,0.0,3.0,4.0,2.0,4.0,2.0,,,16.0,18.0,6.8,6.0,0.00582449,0,,,,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,krepindiatta,,2.0,,,,,,,,,,,,,,,
12450972,home,AS Monaco,Lucas Michal,lucas-michal,L. Michal,F,19,167.0,619,M,1154647,EUR,1119398400,F,41,41,True,6.0,5.0,,,0.0,,,5.0,7.0,2.0,,,16.0,14.0,6.3,3.0,0.0197185,1,,Lucas Michal,,1.0,1.0,,4.0,2.0,1.0,2.0,1.0,,,1.0,,,1.0,0.1599,,,,1.0,,,,,,,1.0,,0.2049,1.0,,,,,,,,
12450972,home,AS Monaco,Jordan Teze,jordan-teze,J. Teze,D,4,183.0,1060,M,825846,EUR,938649600,D,4,4,True,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,,,9.0,9.0,7.3,1.0,0.177928,0,,,,,,,1.0,2.0,1.0,,,,2.0,,2.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
