match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_sofascoreId,stat_aerialWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_outfielderBlock,stat_penaltyConceded,stat_totalCross,stat_dispossessed,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_errorLeadToAGoal,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_goals
14773705,home,Neom SC,Luís Maximiano,,,luis-maximiano,L. Maximiano,G,81,190.0,766,M,845797,EUR,915494400,G,81,81,False,22.0,19.0,10.0,7.0,0.0,15.0,16.0,4.0,6.0,1.0,4.0,2.0,1.0,2.0,90.0,27.0,7.6,3.0,0.00054716,3.2995278450106,1.0,1.05,1.05,0.898,0,0.5246,-0.05,-0.01,-0.37,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773705,home,Neom SC,Khalifah Al-Dawsari,,,khalifah-al-dawsari,K. Al-Dawsari,D,4,176.0,460,M,931837,EUR,915235200,D,4,4,False,21.0,18.0,,,0.0,13.0,14.0,5.0,7.0,1.0,3.0,,,,61.0,38.0,5.4,6.0,0.00151233,76.328222110403,7.0,22.365,29.715,,0,,0.02,-0.1,-0.34,,4.0,2.0,1.0,2.0,1.0,2.0,1.0,32.18923113403,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773705,home,Neom SC,Ahmed Hegazy,,,ahmed-hegazy,A. Hegazy,D,26,194.0,4623,M,159653,EUR,664761600,D,26,26,False,35.0,25.0,12.0,4.0,0.0,18.0,24.0,7.0,11.0,9.0,,,,,81.0,50.0,6.0,12.0,0.00199199,134.41612511433,15.0,63.21,14.7,,1,,0.04,0.05,-0.44,,,1.0,,,1.0,,,,,ahmedhegazy6,1.0,1.0,1.0,0.1127,0.02,,,,,,,,,,,,,,,,,,,,,,,
14773705,home,Neom SC,Nathan Zeze,Nathan Zeze,,zeze-nathan,N. Zeze,D,44,190.0,843,M,1154687,EUR,1119052800,D,44,44,False,37.0,30.0,4.0,1.0,0.0,27.0,30.0,3.0,7.0,5.0,3.0,,,,90.0,44.0,5.1,7.0,0.00248872,170.09619450038,18.0,97.23,18.585,,0,,0.1,0.06,-0.77,,5.0,,,,,,3.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14773705,home,Neom SC,Faris Abdi,,,abdi-faris,A. Faris,D,25,180.0,62,M,983833,EUR,926208000,D,25,25,False,26.0,23.0,2.0,1.0,0.0,13.0,15.0,10.0,11.0,2.0,3.0,,,,90.0,49.0,5.6,13.0,0.00293525,69.168481566258,8.0,21.105,19.635,,0,,-0.11,0.08,-0.6,,8.0,4.0,2.0,3.0,1.0,1.0,,19.686858789558,1.0,,1.0,,,,,1.0,,,4.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14773705,home,Neom SC,Salman Al-Faraj,,,salman-al-faraj,S. Al-Faraj,M,7,180.0,489,M,148858,EUR,617932800,M,7,7,False,29.0,25.0,,,0.0,18.0,19.0,7.0,10.0,,3.0,,,,72.0,42.0,7.1,9.0,0.337761,105.36398172587,12.0,32.34,14.07,,1,,0.42,0.27,-0.14,,1.0,4.0,,2.0,1.0,2.0,,,,,,1.0,1.0,0.1232,-0.12,,,,2.0,1.0,2.0,,,2.0,True,1.0,1.0,,,,,,,,,,,
14773705,home,Neom SC,Amadou Koné,,,kone-amadou,A. Kone,M,72,178.0,751,M,1586875,EUR,1116028800,M,72,72,False,44.0,41.0,6.0,6.0,0.0,20.0,22.0,21.0,22.0,,7.0,,,,90.0,68.0,7.2,7.0,0.00820501,251.6856801647,30.0,67.83,22.26,,3,,0.12,0.21,-0.47,,2.0,15.0,1.0,1.0,3.0,7.0,,24.264087372081,1.0,,4.0,1.0,2.0,0.3612,-0.59,1.0,,,,,1.0,3.0,2.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,
14773705,home,Neom SC,Mohammed Al-Burayk,,,mohammed-al-burayk,M. Al-Burayk,D,2,173.0,281,M,804096,EUR,716515200,M,2,2,False,21.0,17.0,2.0,,0.0,7.0,9.0,10.0,12.0,,2.0,,,,80.0,32.0,6.2,8.0,0.00293579,34.033310341183,6.0,6.405,10.71,,0,,-0.02,0.02,-0.25,,4.0,3.0,2.0,,3.0,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,
14773705,home,Neom SC,Saimon Bouabre,Saïmon Bouabré,,bouabre-saimon,S. Bouabré,M,70,174.0,1537,M,1426581,EUR,1149120000,M,22,22,False,17.0,13.0,,,0.0,5.0,8.0,8.0,9.0,,2.0,,,,81.0,32.0,6.6,8.0,0.0173839,55.178915034551,7.0,29.295,15.645,,2,,-0.03,0.04,-0.13,,4.0,7.0,,4.0,2.0,1.0,1.0,18.173924424846,1.0,,,,,0.018,-0.08,1.0,,,,1.0,3.0,3.0,3.0,,,,,,2.0,,,,,,,,,
14773705,home,Neom SC,Luciano Rodríguez,,,luciano-rodriguez,L. Rodríguez,F,17,179.0,4244,M,1099361,EUR,1058313600,M,19,19,False,15.0,12.0,2.0,1.0,0.0,2.0,2.0,10.0,13.0,1.0,2.0,,,,90.0,28.0,6.3,11.0,0.0202821,180.0596645704,14.0,116.76,34.65,,0,,0.09,0.21,-0.17,,5.0,2.0,,1.0,2.0,2.0,2.0,101.02504587295,4.0,,,,,,,,,,3.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,
