match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_challengeLost,stat_blockedScoringAttempt,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_bigChanceMissed,player_sofascoreId,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14035955,home,RSC Anderlecht,Colin Coosemans,,,colin-coosemans,C. Coosemans,G,26,185,265,M,122399,EUR,712800000,G,26,26,False,True,26.0,13.0,18.0,5.0,0.0,11.0,16.0,2.0,10.0,2.0,2.0,1.0,12.0,2.0,1.0,1.0,1.0,90.0,37.0,6.9,13.0,0.00048441,27.825833340826,6.0,11.655,5.145,0.0224,0,0.1011,0.06,-0.06,0.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035955,home,RSC Anderlecht,Ilay Camara,Ilay Camara,,camara-ilay,I. Camara,M,7,174,4171,M,1397747,EUR,1042848000,D,7,7,False,,27.0,20.0,5.0,1.0,0.0,11.0,11.0,9.0,16.0,,5.0,4.0,7.0,,,,,64.0,55.0,6.6,14.0,0.0082319,95.868151623637,10.0,28.035,18.06,,0,,-0.08,-0.59,0.17,,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14035955,home,RSC Anderlecht,Killian Sardella,,,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,,35.0,27.0,7.0,3.0,0.0,19.0,23.0,8.0,12.0,4.0,4.0,9.0,4.0,,,,,90.0,54.0,7.9,11.0,0.00410001,64.857244559596,11.0,32.76,7.14,,0,,0.05,0.07,1.0,,,1.0,2.0,,,,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,
14035955,home,RSC Anderlecht,Marco Kana,,,marco-kana,M. Kana,D,55,183,383,M,964759,EUR,1028764800,D,55,55,False,,32.0,30.0,2.0,1.0,0.0,26.0,28.0,4.0,4.0,1.0,2.0,2.0,3.0,,,,,55.0,37.0,6.9,4.0,0.00247866,97.988158245836,7.0,64.155,47.04,,0,,0.06,0.21,0.14,,,1.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
14035955,home,RSC Anderlecht,Ludwig Augustinsson,,,ludwig-augustinsson,L. Augustinsson,D,6,181,394,M,138546,EUR,766886400,D,6,6,False,,44.0,29.0,11.0,2.0,1.0,16.0,22.0,13.0,22.0,,2.0,10.0,2.0,,,,,90.0,85.0,6.9,25.0,0.16147,187.33419372132,17.0,132.615,28.245,,1,,0.34,0.08,0.13,,4.0,4.0,8.0,1.0,,2.0,1.0,,,1.0,,2.0,2.0,2.0,1.0,2.0,0.0167,3.0,-0.09,,,,,,,,,
14035955,home,RSC Anderlecht,Enric Llansana,,,enric-llansana,E. Llansana,M,24,183,329,M,916951,EUR,987033600,M,24,24,False,,27.0,17.0,3.0,1.0,0.0,8.0,12.0,9.0,15.0,,2.0,,4.0,,,,,64.0,33.0,6.6,10.0,0.00692825,64.437235005702,3.0,53.13,34.86,,1,,-0.21,0.09,0.17,,,,,,,2.0,,,,,,1.0,,,1.0,2.0,0.0279,,-0.22,,,,,,,,,
14035955,home,RSC Anderlecht,Nathan De Cat,Nathan De Cat,,nathan-de-cat,N. D. Cat,M,74,192,1673,M,1637689,EUR,1216425600,M,74,74,False,,25.0,18.0,3.0,2.0,0.0,5.0,9.0,13.0,16.0,3.0,7.0,6.0,4.0,,,,,90.0,46.0,7.1,12.0,0.00928845,46.876118755666,8.0,28.14,11.235,,1,,0.25,0.08,0.22,,,,3.0,,,3.0,5.0,1.0,2.0,,,2.0,,1.0,,2.0,0.0808,1.0,-0.36,1.0,,,,,,,,
14035955,home,RSC Anderlecht,Adriano Bertaccini,,,adriano-bertaccini,A. Bertaccini,F,91,173,746,M,867250,EUR,966124800,M,91,91,False,,25.0,20.0,2.0,1.0,0.0,8.0,9.0,12.0,16.0,,3.0,,6.0,,,,,90.0,44.0,6.4,18.0,0.0708385,176.66757227446,18.0,49.14,22.26,,0,,0.2,0.14,-0.05,,1.0,1.0,9.0,6.0,1.0,1.0,5.0,1.0,,2.0,,,,1.0,,1.0,,,,,1.0,,,,,,,
14035955,home,RSC Anderlecht,Thorgan Hazard,,,thorgan-hazard,T. Hazard,F,11,174,3646,M,94286,EUR,733363200,M,11,11,False,,36.0,24.0,2.0,2.0,0.0,15.0,19.0,9.0,17.0,1.0,9.0,3.0,6.0,,,,,90.0,61.0,7.1,22.0,0.00965861,224.66592740777,14.0,182.28,53.865,,0,,-0.27,0.51,0.13,,7.0,3.0,9.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,,,,2.0,,3.0,,1.0,,,,THazard,1.0,,,,,
14035955,home,RSC Anderlecht,Nilson Angulo,Nilson Angulo,,nilson-angulo,N. Angulo,F,10,182,4530,M,1116571,EUR,1055980800,M,19,19,False,,19.0,15.0,,,0.0,5.0,7.0,10.0,12.0,,9.0,2.0,4.0,,,,,83.0,46.0,7.9,16.0,0.0271174,72.152945001962,9.0,11.445,9.45,,1,,0.09,0.12,-0.08,,2.0,,12.0,11.0,5.0,2.0,2.0,2.0,1.0,2.0,,,,3.0,,2.0,0.0719,1.0,0.55,,,,,1.0,1.0,0.7987,,
