match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,player_sofascoreId,stat_goals
10382122,home,SC Cambuur,João Virgínia,João,Virgínia,joao-virginia,J. Virgínia,G,12,191,817,M,930666,EUR,939513600,G,1,1,False,39.0,26.0,32.0,19.0,17.0,21.0,9.0,18.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,90.0,56.0,6.8,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382122,home,SC Cambuur,Doke Schmidt,Doke,Schmidt,doke-schmidt,D. Schmidt,D,15,177,10,M,163571,EUR,702604800,D,5,5,False,35.0,25.0,8.0,2.0,17.0,23.0,8.0,12.0,,5.0,3.0,5.0,1.0,,,,,,,90.0,53.0,5.7,11.0,0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
10382122,home,SC Cambuur,Marco Tol,,,marco-tol,M. Tol,D,3,188,40,M,860162,EUR,893462400,D,15,15,False,40.0,34.0,8.0,6.0,23.0,27.0,11.0,13.0,1.0,1.0,5.0,2.0,,,,,,,,90.0,52.0,7.6,6.0,1,4.0,,,3.0,3.0,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,
10382122,home,SC Cambuur,Leon Bergsma,,,leon-bergsma,L. Bergsma,D,21,185,33,M,795134,EUR,854150400,D,4,4,False,48.0,42.0,9.0,6.0,31.0,32.0,11.0,16.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,90.0,55.0,6.8,6.0,0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10382122,home,SC Cambuur,Alex Bangura,,,alex-bangura,A. Bangura,D,24,183,149,M,967178,EUR,931824000,D,16,16,False,32.0,26.0,4.0,1.0,15.0,16.0,11.0,16.0,,3.0,7.0,8.0,1.0,1.0,,,,,,89.0,60.0,7.2,9.0,0,,,1.0,4.0,2.0,,2.0,,,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10382122,home,SC Cambuur,Mitchell Paulissen,,,mitchell-paulissen,M. Paulissen,M,6,183,32,M,192290,EUR,735350400,M,10,10,False,36.0,22.0,3.0,1.0,10.0,12.0,14.0,32.0,1.0,4.0,4.0,4.0,,,,,,,,90.0,56.0,6.9,25.0,0,2.0,,1.0,,,,2.0,,,1.0,,4.0,2.0,8.0,2.0,1.0,1.0,,,,,,,,,,
10382122,home,SC Cambuur,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181,102,M,893748,EUR,887760000,M,6,6,False,28.0,18.0,4.0,1.0,9.0,11.0,9.0,18.0,,2.0,6.0,2.0,5.0,2.0,,,,,,63.0,42.0,6.9,15.0,1,,1.0,1.0,2.0,,,,,,1.0,,3.0,,1.0,,,,1.0,,,,,,,,,
10382122,home,SC Cambuur,Daniel van Kaam,,,daniel-van-kaam,D. v. Kaam,M,8,175,86,M,876257,EUR,961718400,M,21,21,False,21.0,18.0,2.0,1.0,6.0,7.0,12.0,14.0,2.0,3.0,6.0,3.0,1.0,1.0,,,,,,90.0,32.0,6.8,5.0,1,3.0,,,,2.0,,1.0,,,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,
10382122,home,SC Cambuur,Silvester van der Water,Silvester,van der Water,silvester-van-der-water,S. v. d. Water,M,,184,93,M,807145,EUR,844041600,F,11,11,False,16.0,9.0,3.0,1.0,5.0,5.0,5.0,14.0,3.0,7.0,9.0,6.0,6.0,5.0,,,,,,78.0,38.0,7.2,12.0,2,,1.0,,2.0,,,2.0,,1.0,2.0,,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
10382122,home,SC Cambuur,Roberts Uldriķis,,,roberts-uldrikis,R. Uldriķis,F,28,198,415,M,883327,EUR,891561600,F,28,28,False,16.0,9.0,1.0,1.0,5.0,7.0,4.0,9.0,2.0,3.0,7.0,1.0,,,,,,,,78.0,30.0,6.8,11.0,2,5.0,,1.0,,,,,1.0,,2.0,,3.0,,,,,,1.0,,,,True,,,,,
