match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_wasFouled,stat_totalOffside,captain,stat_goals,stat_goalAssist
10389725,home,Olympique de Marseille,Pau López,pau-lopez,P. López,G,25,189,1242,M,548848,EUR,787276800,G,16,16,False,11.0,10.0,3.0,2.0,8.0,9.0,2.0,2.0,6.0,1.0,2.0,5.0,90.0,21.0,6.1,1.0,0.0,0.0,0.00032518,0,-0.1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389725,home,Olympique de Marseille,Chancel Mbemba,chancel-mbemba,C. Mbemba,D,18,182,34725,M,238612,EUR,776304000,D,99,99,False,47.0,39.0,3.0,1.0,18.0,22.0,22.0,27.0,5.0,,,,70.0,60.0,6.5,11.0,0.0,0.0,0.0479311,0,,chancel22,2.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389725,home,Olympique de Marseille,Samuel Gigot,samuel-gigot,S. Gigot,D,2,187,808,M,339231,EUR,750384000,D,4,4,False,56.0,46.0,3.0,,23.0,27.0,23.0,29.0,5.0,,,,90.0,76.0,6.6,11.0,0.2261,0.0,0.0363629,2,,,,,3.0,5.0,7.0,1.0,1.0,5.0,4.0,2.0,,,2.0,1.0,2.0,6.0,1.0,,,,,,,,,,,,,,
10389725,home,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188,7165,M,928236,EUR,917308800,D,5,5,False,59.0,48.0,5.0,2.0,19.0,23.0,29.0,36.0,5.0,,,,90.0,65.0,6.1,12.0,0.0,0.0,0.0202043,0,,leobalerdi5,,,2.0,5.0,3.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,
10389725,home,Olympique de Marseille,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,821728,EUR,717379200,M,7,7,False,40.0,27.0,2.0,1.0,7.0,9.0,25.0,41.0,1.0,,,,90.0,79.0,7.4,26.0,0.329,0.1283,0.488881,3,,,10.0,5.0,,7.0,3.0,2.0,3.0,,1.0,1.0,5.0,4.0,1.0,,1.0,,2.0,,,1.0,2.0,2.0,1.0,,,,,,,,
10389725,home,Olympique de Marseille,Valentin Rongier,valentin-rongier,V. Rongier,M,21,172,1149,M,581314,EUR,786758400,M,21,21,False,54.0,49.0,5.0,5.0,14.0,16.0,35.0,38.0,10.0,,,,70.0,60.0,7.0,5.0,0.0,0.0,0.0687893,0,,,,,3.0,2.0,6.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,
10389725,home,Olympique de Marseille,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7016,M,852404,EUR,924048000,M,6,6,False,57.0,55.0,6.0,6.0,16.0,16.0,39.0,41.0,5.0,,,,82.0,63.0,7.0,3.0,0.2339,0.0,0.0337276,3,,MatteoGuendouzi,,,1.0,,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,2.0,,,,,,
10389725,home,Olympique de Marseille,Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4853,M,944973,EUR,948844800,M,30,30,False,42.0,36.0,1.0,1.0,11.0,12.0,27.0,37.0,7.0,,,,90.0,75.0,6.1,22.0,0.1623,0.0,0.1928,2,,nuno_tavares71,7.0,2.0,1.0,9.0,3.0,2.0,3.0,,,,5.0,2.0,,,2.0,,1.0,,,5.0,2.0,,,,,,,,,,
10389725,home,Olympique de Marseille,Cengiz Ünder,cengiz-under,C. Ünder,F,11,173,4735,M,758876,EUR,868838400,F,17,17,False,32.0,24.0,1.0,,3.0,5.0,24.0,33.0,5.0,,,,90.0,54.0,7.0,18.0,0.2101,0.1954,0.605298,3,,cengizunder,6.0,3.0,,5.0,2.0,2.0,,1.0,1.0,1.0,4.0,2.0,,,,1.0,1.0,,,2.0,,1.0,,,2.0,1.0,1.0,1.0,,,
10389725,home,Olympique de Marseille,Dimitri Payet,dimitri-payet,D. Payet,M,10,175,8276,M,14216,EUR,543974400,F,10,10,False,23.0,13.0,1.0,1.0,2.0,5.0,12.0,21.0,4.0,,,,45.0,30.0,7.0,13.0,0.0696,0.0,0.188497,2,,payet27,3.0,1.0,,3.0,1.0,,,,,,,3.0,1.0,,,,1.0,,,1.0,,,,,2.0,,1.0,,True,,
