match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_fouls,player_lastName,stat_bigChanceCreated,stat_outfielderBlock,stat_errorLeadToAShot,stat_totalOffside,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId
14053621,home,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203.0,437,M,339339,EUR,765676800,G,44,44,False,30.0,26.0,8.0,4.0,0.0,26.0,29.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,3.0,90.0,44.0,7.8,4.0,0.00012873,0.8147,0,-0.5098,0.0,0.02,-0.12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053621,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174.0,210,M,1150061,EUR,1077321600,D,45,45,False,58.0,47.0,13.0,8.0,0.0,26.0,29.0,29.0,3.0,15.0,,11.0,,,,90.0,91.0,7.6,23.0,0.153086,,1,,0.32,0.19,-0.12,,Oliver Braude,21.0,4.0,2.0,1.0,7.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,8.0,8.0,3.0,3.0,0.3707,2.0,-0.52,,,,,,,,,,,,
14053621,home,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,4,191.0,85,M,847072,EUR,886118400,D,4,4,False,71.0,59.0,10.0,4.0,0.0,45.0,47.0,24.0,1.0,2.0,6.0,2.0,,,,90.0,89.0,6.1,15.0,0.0447337,,1,,0.12,0.13,-0.29,,,14.0,,,2.0,5.0,,2.0,,,,,2.0,,,1.0,1.0,0.0651,,-0.19,1.0,2.0,,,,,,,,,,
14053621,home,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,17,186.0,225,M,1121247,EUR,1090627200,D,17,17,False,77.0,66.0,9.0,4.0,0.0,50.0,52.0,25.0,,1.0,6.0,6.0,,,,90.0,89.0,6.2,12.0,0.0109072,,0,,0.07,0.14,-0.25,,,16.0,,,2.0,4.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
14053621,home,SC Heerenveen,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178.0,228,M,1064426,EUR,988934400,D,19,19,False,46.0,39.0,3.0,2.0,0.0,20.0,21.0,25.0,3.0,7.0,1.0,4.0,,,,81.0,71.0,7.3,15.0,0.605443,,0,,0.48,0.21,-0.18,,,19.0,5.0,2.0,1.0,5.0,,,7.0,4.0,,,3.0,,,2.0,,,3.0,,,1.0,,2.0,,,,,,,,
14053621,home,SC Heerenveen,Marcus Linday,marcus-linday,M. Linday,M,16,186.0,209,M,1627623,EUR,1054512000,M,16,16,False,12.0,8.0,,,0.0,5.0,6.0,6.0,1.0,6.0,,4.0,,,,45.0,31.0,6.6,9.0,0.00116839,,1,,-0.17,0.06,-0.03,,Marcus Linday,3.0,,,1.0,4.0,,2.0,1.0,,,1.0,3.0,2.0,2.0,,3.0,0.0477,,0.01,,,,,,,,,,,,
14053621,home,SC Heerenveen,Joris van Overeem,joris-van-overeem,J. v. Overeem,M,6,181.0,105,M,138842,EUR,770428800,M,6,6,False,60.0,50.0,6.0,4.0,1.0,17.0,19.0,41.0,1.0,6.0,1.0,9.0,,,,90.0,75.0,7.8,12.0,0.422606,,1,,0.77,0.23,-0.14,,,33.0,,,,9.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,0.0283,2.0,-0.12,,6.0,,,1.0,1.0,,,,,,
14053621,home,SC Heerenveen,Maxence Rivera,rivera-maxence,M. Rivera,M,7,168.0,135,M,1014408,EUR,1022716800,M,7,7,False,19.0,18.0,,,0.0,1.0,1.0,18.0,1.0,3.0,,1.0,,,,81.0,39.0,6.8,17.0,0.237457,,0,,0.33,0.38,-0.07,,,17.0,7.0,,,4.0,,1.0,4.0,1.0,,,,,,5.0,1.0,,2.0,,,,,,,,1.0,,,,,
14053621,home,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,8,180.0,144,M,794014,EUR,894153600,M,8,8,False,30.0,25.0,3.0,3.0,0.0,9.0,12.0,18.0,1.0,4.0,,2.0,,,,90.0,44.0,6.0,8.0,0.0214281,,5,,0.07,-0.6,-0.16,,,16.0,1.0,,3.0,4.0,1.0,,,,2.0,2.0,,1.0,,1.0,2.0,0.7845,,-0.73,3.0,,,,,,,True,,,,
14053621,home,SC Heerenveen,Ringo Meerveld,ringo-meerveld,R. Meerveld,M,10,177.0,421,M,992018,EUR,1040428800,M,10,10,False,17.0,13.0,1.0,,0.0,6.0,7.0,10.0,,6.0,,3.0,,,,75.0,39.0,6.9,8.0,0.0661344,,3,,0.18,0.24,-0.07,,,7.0,3.0,2.0,2.0,3.0,,,6.0,5.0,,,,,,1.0,1.0,0.0902,,-0.15,2.0,,,,,,,,1.0,0.0184,,
