match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_hitWoodwork,stat_totalOffside,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_goalAssist
11877073,home,Shrewsbury Town,Marko Maroši,Marko,Maroši,marko-marosi,M. Maroši,G,33,190.0,48,M,359402,EUR,751334400.0,G,1,1,False,36.0,14.0,34.0,13.0,3.0,5.0,11.0,31.0,2.0,3.0,4.0,12.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,90.0,48.0,7.5,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11877073,home,Shrewsbury Town,Morgan Feeney,,,morgan-feeney,M. Feeney,D,5,190.0,23,M,839715,EUR,918432000.0,D,5,5,False,30.0,14.0,11.0,2.0,5.0,10.0,9.0,21.0,3.0,4.0,7.0,5.0,1.0,,,,,,,89.0,46.0,6.7,19.0,0,1.0,5.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11877073,home,Shrewsbury Town,Chey Dunkley,,,chey-dunkley,C. Dunkley,D,22,188.0,43,M,257983,EUR,697939200.0,D,22,22,False,26.0,15.0,7.0,3.0,9.0,16.0,6.0,10.0,7.0,9.0,9.0,9.0,1.0,,,,,,,90.0,45.0,7.1,13.0,2,,5.0,7.0,,1.0,True,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
11877073,home,Shrewsbury Town,Joseph Anderson,,,anderson-joseph,J. Anderson,D,22,188.0,117,M,993434,EUR,981417600.0,D,4,4,False,19.0,10.0,10.0,3.0,5.0,6.0,6.0,17.0,,1.0,4.0,5.0,1.0,,,,,,,78.0,37.0,6.8,16.0,0,4.0,1.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
11877073,home,Shrewsbury Town,Elliott Bennett,,,elliott-bennett,E. Bennett,M,,175.0,7,M,27773,EUR,598406400.0,M,17,17,False,27.0,16.0,11.0,3.0,4.0,6.0,12.0,30.0,1.0,3.0,2.0,5.0,1.0,,,,,,,90.0,62.0,6.7,27.0,0,9.0,1.0,3.0,3.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11877073,home,Shrewsbury Town,Taylor Perry,,,taylor-perry,T. Perry,M,14,180.0,32,M,988967,EUR,995155200.0,M,14,14,False,18.0,12.0,2.0,,3.0,3.0,9.0,17.0,2.0,4.0,2.0,2.0,1.0,,,,,,,90.0,33.0,6.3,11.0,4,2.0,4.0,11.0,,2.0,,,1.0,,3.0,,,2.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,
11877073,home,Shrewsbury Town,Nohan Kenneh,,,nohan-kenneh,N. Kenneh,M,42,190.0,154,M,1020747,EUR,1042156800.0,M,42,42,False,24.0,11.0,4.0,,4.0,8.0,7.0,16.0,1.0,6.0,,4.0,2.0,,,,,,,90.0,34.0,6.4,15.0,0,,4.0,9.0,2.0,2.0,,,,,,,,5.0,,,,,,3.0,2.0,,,,,,
11877073,home,Shrewsbury Town,Malvind Benning,,,malvind-benning,M. Benning,D,3,178.0,25,M,212080,EUR,752198400.0,M,3,3,False,14.0,13.0,,,2.0,2.0,11.0,13.0,1.0,4.0,,1.0,,,,,,,,68.0,24.0,7.2,4.0,1,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,2.0,1.0,1.0,,,,,
11877073,home,Shrewsbury Town,Tunmise Sobowale,,,sobowale-tunmise,T. Sobowale,D,19,190.0,42,M,941192,EUR,921801600.0,F,15,15,False,11.0,7.0,2.0,1.0,2.0,3.0,5.0,9.0,2.0,6.0,,4.0,3.0,,,,,,,68.0,32.0,6.1,16.0,1,1.0,2.0,7.0,1.0,7.0,,,4.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,
11877073,home,Shrewsbury Town,Jordan Shipley,Jordan,Shipley,jordan-shipley,J. Shipley,M,26,183.0,32,M,842101,EUR,875232000.0,F,26,26,False,20.0,14.0,1.0,,3.0,3.0,13.0,22.0,2.0,3.0,6.0,4.0,,,,,,,,90.0,41.0,6.8,15.0,1,5.0,3.0,7.0,,1.0,,1.0,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,
