match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_keyPass,player_firstName,player_lastName,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_dispossessed,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_shotOffTarget,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,captain,stat_goalAssist,stat_bigChanceMissed,stat_goodHighClaim,stat_hitWoodwork
10408303,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,41.0,29.0,18.0,7.0,27.0,30.0,2.0,11.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,50.0,7.0,12.0,0.0,0.0,0.00030519,0,-0.4131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408303,home,Real Sociedad,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174,530,M,866810,EUR,839116800,D,18,18,False,39.0,36.0,,,19.0,21.0,17.0,18.0,2.0,,2.0,1.0,,,,,,90.0,52.0,6.1,7.0,0.0,0.0,0.0103319,0,,2.0,7.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10408303,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,65.0,60.0,10.0,9.0,46.0,50.0,14.0,15.0,5.0,3.0,9.0,1.0,1.0,,,,,90.0,73.0,7.4,5.0,0.0,0.0,0.0239901,0,,1.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408303,home,Real Sociedad,Jon Pacheco,jon-pacheco,J. Pacheco,D,5,184,537,M,934383,EUR,978912000,D,20,20,False,55.0,48.0,7.0,5.0,37.0,40.0,11.0,15.0,5.0,7.0,5.0,1.0,,,,,,90.0,67.0,6.9,8.0,0.0,0.0,0.00300308,0,,,3.0,1.0,,,1.0,2.0,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,
10408303,home,Real Sociedad,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,15,15,False,33.0,28.0,3.0,2.0,17.0,19.0,11.0,17.0,5.0,2.0,3.0,3.0,2.0,,,,,90.0,56.0,6.7,13.0,0.0,0.0,0.00786811,0,,1.0,3.0,1.0,,,1.0,,2.0,,,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,
10408303,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,3,3,False,48.0,44.0,4.0,2.0,28.0,28.0,16.0,20.0,1.0,1.0,7.0,,,,,,,61.0,54.0,7.1,4.0,0.0694,0.0,0.100594,1,,1.0,2.0,,,,,1.0,,,1.0,,,,1.0,,,,martin_zubimendi,1.0,1.0,,,,,,,,,
10408303,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,30.0,20.0,1.0,1.0,6.0,8.0,14.0,23.0,6.0,,5.0,1.0,,,,,,72.0,49.0,7.1,16.0,0.2063,0.0,0.0661815,4,,1.0,5.0,2.0,4.0,3.0,3.0,,,,2.0,,,1.0,2.0,1.0,1.0,1.0,KuboTake,,1.0,3.0,,,,,,,,
10408303,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,58.0,48.0,1.0,1.0,17.0,17.0,33.0,48.0,13.0,,5.0,6.0,4.0,,,,,90.0,86.0,8.5,18.0,0.2565,0.4671,0.20557,3,,,5.0,,4.0,1.0,,2.0,1.0,,5.0,,,,5.0,7.0,,,,,1.0,1.0,2.0,1.0,1.0,,,,,
10408303,home,Real Sociedad,Asier Illarramendi,asier-illarramendi,Illarramendi,M,5,179,350,M,113593,EUR,636595200,M,4,4,False,41.0,37.0,3.0,2.0,21.0,22.0,16.0,19.0,6.0,,7.0,1.0,,,,,,61.0,50.0,6.8,8.0,0.0157,0.0,0.0120086,1,,1.0,5.0,3.0,2.0,2.0,3.0,,3.0,,1.0,Asier,Illarramendi,,,,1.0,,,,,1.0,,,,True,,,,
10408303,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,22.0,15.0,2.0,1.0,3.0,4.0,12.0,19.0,5.0,,5.0,,,,,,,62.0,40.0,6.4,15.0,0.2012,0.1467,0.0517018,2,,4.0,9.0,,5.0,2.0,2.0,,2.0,,1.0,,,,1.0,1.0,2.0,,,,,1.0,,1.0,,,1.0,1.0,,
