match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialLost,stat_wasFouled,stat_totalOffside,player_firstName,player_lastName,stat_fouls,stat_accurateCross,stat_blockedScoringAttempt,stat_wonContest,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_goalAssist,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11399509,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,62.0,56.0,11.0,5.0,52.0,52.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,5.0,90.0,70.0,7.5,6.0,0.00555781,0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399509,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,46.0,38.0,6.0,4.0,24.0,27.0,14.0,20.0,1.0,3.0,7.0,1.0,1.0,5.0,,,90.0,76.0,6.8,18.0,0.0265016,2,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,0.3155,0.4006,3.0,,,,,,,,,,,,,,,,,
11399509,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,68.0,60.0,1.0,,48.0,52.0,12.0,16.0,3.0,,5.0,,3.0,3.0,,,71.0,76.0,6.8,8.0,0.00641891,0,,,,,,,,,2.0,2.0,1.0,,,,,True,,,,,,,,,,,,,,,,
11399509,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,108.0,97.0,7.0,1.0,86.0,89.0,11.0,19.0,2.0,3.0,3.0,1.0,3.0,7.0,,,90.0,118.0,6.4,12.0,0.0162313,1,,,1.0,,,1.0,,1.0,,1.0,1.0,,0.0105,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11399509,home,Feyenoord,Quilindschy Hartman,quilindschy-hartman,Q. Hartman,D,3,183,1253,M,1392044,EUR,1005696000,D,5,5,False,27.0,21.0,6.0,2.0,12.0,14.0,9.0,15.0,,1.0,1.0,,,3.0,,,45.0,34.0,6.5,10.0,0.0106783,0,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
11399509,home,Feyenoord,Mats Wieffer,mats-wieffer,M. Wieffer,M,27,188,2174,M,959628,EUR,942710400,M,20,20,False,34.0,27.0,1.0,1.0,12.0,14.0,16.0,22.0,3.0,12.0,7.0,3.0,1.0,10.0,,,90.0,60.0,6.9,14.0,0.061676,2,,2.0,1.0,1.0,,1.0,,,4.0,4.0,2.0,4.0,0.2535,,1.0,,2.0,,,,,5.0,1.0,1.0,,,,,,,,
11399509,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,30.0,23.0,1.0,,9.0,12.0,14.0,19.0,,10.0,6.0,2.0,,5.0,,,90.0,49.0,6.7,19.0,0.176066,0,,1.0,1.0,6.0,,,,,,3.0,2.0,3.0,,,2.0,,,2.0,,,,2.0,,,1.0,1.0,,,,,,
11399509,home,Feyenoord,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,6,6,False,57.0,48.0,4.0,1.0,31.0,34.0,17.0,24.0,,4.0,2.0,2.0,1.0,4.0,,,71.0,67.0,6.4,12.0,0.0104703,0,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,rramizz_,,,,,
11399509,home,Feyenoord,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1733,M,857480,EUR,913939200,F,10,10,False,25.0,20.0,2.0,,7.0,7.0,14.0,22.0,,6.0,6.0,1.0,,8.0,,,77.0,47.0,7.0,15.0,0.0573359,0,,4.0,2.0,5.0,,,,,,2.0,2.0,1.0,,,2.0,,1.0,1.0,,,,,1.0,,3.0,,,,,,,
11399509,home,Feyenoord,Santiago Giménez,santiago-gimenez,S. Giménez,F,7,182,32499,M,892141,EUR,987552000,F,29,29,False,7.0,4.0,,,1.0,1.0,3.0,6.0,2.0,11.0,6.0,,,4.0,,,90.0,36.0,7.4,16.0,0.00093575,5,,,2.0,6.0,1.0,3.0,2.0,,,,,4.0,0.5988,0.1388,,,4.0,3.0,2.0,,,,,,1.0,,sant.gimenez,1.0,,,,
