match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,captain,stat_goalAssist,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves
10382098,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,801,M,2622,EUR,437097600,G,22,22,False,16.0,15.0,2.0,1.0,15.0,16.0,1.0,7.0,1.0,1.0,90.0,22.0,6.4,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,15,15,False,67.0,59.0,3.0,2.0,16.0,19.0,1.0,3.0,,,90.0,83.0,6.9,14.0,3,43.0,51.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Jurriën Timber,jurrien-timber,J. Timber,D,12,179,21701,M,958959,EUR,992736000,D,2,2,False,89.0,80.0,1.0,,33.0,34.0,1.0,8.0,,,82.0,104.0,7.1,14.0,1,47.0,56.0,1.0,2.0,6.0,3.0,9.0,1.0,,2.0,2.0,3.0,,,,jurrientimber,2.0,1.0,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8671,M,861972,EUR,946598400,D,3,3,False,87.0,81.0,2.0,2.0,42.0,45.0,,12.0,,,90.0,106.0,7.6,9.0,0,40.0,45.0,3.0,3.0,2.0,4.0,10.0,,,4.0,3.0,1.0,4.0,,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,
10382098,home,AFC Ajax,Daley Blind,daley-blind,D. Blind,D,17,180,2817,M,44864,EUR,636940800,D,17,17,False,114.0,94.0,16.0,5.0,19.0,21.0,,8.0,,,90.0,145.0,7.2,30.0,1,78.0,102.0,9.0,3.0,1.0,7.0,4.0,1.0,,2.0,,,1.0,,3.0,,1.0,,,,3.0,1.0,,2.0,2.0,,,,,,,,,
10382098,home,AFC Ajax,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,755,M,186719,EUR,807753600,M,21,21,False,75.0,68.0,6.0,6.0,18.0,20.0,,6.0,,,63.0,82.0,7.0,9.0,0,50.0,56.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,
10382098,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,959806,EUR,1021507200,M,8,8,False,86.0,76.0,3.0,2.0,17.0,17.0,,4.0,,,90.0,107.0,7.5,19.0,4,59.0,72.0,3.0,,1.0,5.0,7.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,,2.0,2.0,,,,1.0,,,3.0,1.0,1.0,,,,,,,
10382098,home,AFC Ajax,Lucas Ocampos,lucas-ocampos,L. Ocampos,M,29,187,3422,M,155702,EUR,773884800,M,11,11,False,36.0,32.0,,,7.0,8.0,,3.0,,,63.0,44.0,6.8,7.0,2,25.0,29.0,1.0,1.0,,5.0,2.0,2.0,,1.0,,1.0,1.0,2.0,1.0,Locampos15,1.0,,,,,1.0,,,,,,,,,,,,
10382098,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179,1575,M,97410,EUR,730252800,M,6,6,False,50.0,43.0,3.0,3.0,8.0,8.0,,7.0,,,82.0,57.0,7.6,8.0,1,35.0,42.0,,5.0,,6.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,
10382098,home,AFC Ajax,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12245,M,38560,EUR,595987200,M,10,10,False,58.0,44.0,3.0,1.0,5.0,7.0,,6.0,,,90.0,97.0,8.3,31.0,5,44.0,69.0,18.0,,,3.0,7.0,1.0,2.0,1.0,,1.0,2.0,,4.0,dusantadic,4.0,4.0,,,5.0,,,,3.0,1.0,2.0,,,True,1.0,1.0,,
10382098,home,AFC Ajax,Brian Brobbey,brobbey-brian,B. Brobbey,F,9,180,7090,M,910048,EUR,1012521600,F,9,9,False,20.0,15.0,,,4.0,4.0,,2.0,,,83.0,31.0,6.5,10.0,2,11.0,16.0,,2.0,2.0,5.0,3.0,,,,,3.0,1.0,1.0,3.0,brianbrobbeyy,,,,,,,,,2.0,,2.0,,1.0,,,1.0,,
10382098,home,AFC Ajax,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178,5149,M,361798,EUR,876268800,F,7,7,True,14.0,14.0,,,2.0,2.0,,2.0,,,27.0,23.0,7.0,4.0,1,12.0,14.0,2.0,,,1.0,2.0,,,1.0,,1.0,,,,StevenBergwijn,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,
10382098,home,AFC Ajax,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10882,M,847151,EUR,877651200,M,4,4,True,31.0,28.0,1.0,1.0,7.0,8.0,1.0,4.0,,,27.0,39.0,6.9,4.0,2,21.0,23.0,,1.0,4.0,2.0,4.0,2.0,,,,,,,,EdsonAlvarez19,,,,,,,,1.0,1.0,,,,,,,,,
10382098,home,AFC Ajax,Lorenzo Lucca,lorenzo-lucca,L. Lucca,F,20,201,5041,M,962364,EUR,968544000,F,18,18,True,10.0,6.0,1.0,1.0,1.0,1.0,,1.0,,,8.0,13.0,6.8,6.0,1,5.0,9.0,,,4.0,1.0,4.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Steven Berghuis,steven-berghuis,S. Berghuis,F,23,182,1909,M,100386,EUR,693100800,F,23,23,True,10.0,6.0,2.0,2.0,,,,,,,8.0,13.0,6.9,4.0,0,7.0,11.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
10382098,home,AFC Ajax,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89569,M,905163,EUR,965174400,M,20,20,True,8.0,4.0,1.0,,,,,1.0,,,14.0,10.0,6.5,5.0,0,4.0,9.0,1.0,1.0,,1.0,,,,,,,,,,Kudus,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Maarten Stekelenburg,maarten-stekelenburg,M. Stekelenburg,G,21,197,199,,1941,EUR,401500800,G,1,1,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Jay Gorter,jay-gorter,J. Gorter,G,1,190,472,M,981603,EUR,959644800,G,16,16,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Lisandro Magallán,lisandro-magallan,L. Magallán,D,16,185,275,M,248125,EUR,749088000,D,29,29,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,D,25,25,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Youri Regeer,youri-regeer,Y. Regeer,M,6,177,742,M,996940,EUR,1061164800,M,26,26,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382098,home,AFC Ajax,Francisco Conceição,francisco-conceicao,F. Conceição,F,7,170,19979,M,979222,EUR,1039824000,F,35,35,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,FConceicao_7,,,,,,,,,,,,,,,,,,
10382098,away,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,38.0,21.0,28.0,11.0,12.0,13.0,,10.0,,,90.0,47.0,7.6,17.0,0,9.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0
10382098,away,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,18.0,7.0,6.0,1.0,5.0,11.0,7.0,5.0,,,90.0,36.0,6.4,13.0,0,2.0,8.0,1.0,1.0,1.0,3.0,2.0,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,
