match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_jerseyNumber,player_gender,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_unsuccessfulTouch,stat_aerialWon,stat_totalContest,stat_wonContest,stat_keyPass,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_bigChanceCreated,captain,stat_totalOffside,player_lastName,stat_challengeLost
13444518,home,Flatirons SC,Nolan Munson,nolan-munson,N. Munson,D,,1,2078125,EUR,1161820800,D,15,15,True,,,,,,,,,,,,,,,,,,0,Nolan Munson,15,M,,,,,,,,,,,,,,,,,,,,,,,,,,
13444518,home,Flatirons SC,Nicholas Marmolejo,nicholas-marmolejo,N. Marmolejo,M,,0,2078126,EUR,1137974400,M,24,24,True,,,,,,,,,,,,,,,,,,0,Nicholas Marmolejo,24,M,,,,,,,,,,,,,,,,,,,,,,,,,,
13444518,away,Union Omaha SC,Cole Jensen,jensen-cole,C. Jensen,G,196.0,184,1470482,EUR,980121600,G,36,36,False,19.0,17.0,7.0,5.0,0.0,13.0,15.0,4.0,4.0,7.0,,,1.0,90.0,27.0,6.7,2.0,0,Cole Jensen,36,M,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13444518,away,Union Omaha SC,Joe Gallardo,joe-gallardo,J. Gallardo,M,171.0,15,818393,EUR,883612800,D,7,7,False,22.0,14.0,6.0,3.0,0.0,5.0,8.0,9.0,14.0,3.0,,,,90.0,54.0,7.3,21.0,1,,7,M,5.0,1.0,1.0,,2.0,2.0,3.0,1.0,3.0,,,,1.0,5.0,,1.0,,1.0,7.0,3.0,,,,,,
13444518,away,Union Omaha SC,Marco Milanese,marco-milanese,M. Milanese,D,185.0,12,867259,EUR,901843200,D,5,5,False,42.0,34.0,8.0,3.0,0.0,18.0,21.0,16.0,21.0,3.0,,,,90.0,50.0,6.7,8.0,0,,,M,4.0,,,1.0,2.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,,,,,,True,,,
13444518,away,Union Omaha SC,Brent Kallman,brent-kallman,B. Kallman,D,188.0,9,823240,EUR,654998400,D,14,14,False,43.0,37.0,8.0,5.0,0.0,31.0,32.0,6.0,11.0,2.0,,,,90.0,52.0,6.7,6.0,0,,14,M,4.0,,,4.0,1.0,1.0,2.0,1.0,3.0,,,,2.0,,1.0,,,,,,,,,,,
13444518,away,Union Omaha SC,Anderson Holt,anderson-holt,A. Holt,D,191.0,5,1481839,EUR,1096156800,D,13,13,False,43.0,34.0,5.0,1.0,0.0,19.0,20.0,15.0,23.0,2.0,,,,90.0,49.0,6.6,9.0,0,Anderson Holt,13,M,3.0,,,5.0,,,,,2.0,,1.0,,2.0,,3.0,,,,,,,,,,,
13444518,away,Union Omaha SC,Charlie Ostrem,ostrem-charlie,C. Ostrem,M,172.0,8,1172535,EUR,939686400,D,20,20,False,31.0,23.0,3.0,1.0,0.0,12.0,17.0,11.0,14.0,7.0,,,,90.0,49.0,7.3,14.0,2,Charlie Ostrem,20,M,4.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,,,1.0,,,,,2.0,,1.0,,,,,
13444518,away,Union Omaha SC,Isidro Martinez,isidro-martinez,I. Martinez,M,173.0,5,935840,EUR,858384000,M,30,30,False,23.0,16.0,6.0,4.0,0.0,4.0,5.0,12.0,18.0,3.0,,,,64.0,34.0,6.4,14.0,0,,30,M,2.0,,,1.0,2.0,1.0,,1.0,6.0,1.0,1.0,,1.0,3.0,,1.0,,,1.0,,,,,,,2.0
13444518,away,Union Omaha SC,Max Schneider,max-schneider,M. Schneider,M,191.0,10,1198237,EUR,964742400,M,23,23,False,31.0,22.0,5.0,4.0,0.0,10.0,11.0,12.0,20.0,8.0,,,,90.0,43.0,6.7,14.0,0,Max Schneider,23,M,5.0,,,,1.0,1.0,3.0,1.0,8.0,,1.0,,7.0,2.0,1.0,1.0,,1.0,3.0,1.0,,,,1.0,,
13444518,away,Union Omaha SC,Josué Gómez,josue-gomez,J. Gómez,F,175.0,15,885351,EUR,777686400,M,21,21,False,21.0,18.0,1.0,1.0,0.0,8.0,9.0,10.0,12.0,1.0,,,,89.0,38.0,6.8,14.0,1,,21,M,3.0,1.0,1.0,,1.0,1.0,,1.0,9.0,4.0,1.0,,2.0,3.0,2.0,2.0,,,1.0,,,,,1.0,,
13444518,away,Union Omaha SC,Kemy Amiche,kemy-amiche,K. Amiche,M,175.0,8,1462245,EUR,976406400,F,95,95,False,18.0,16.0,1.0,1.0,0.0,6.0,7.0,10.0,11.0,1.0,,,,45.0,23.0,6.4,6.0,1,Kemy Amiche,,M,,,,,,,,,5.0,1.0,,,,,,3.0,,1.0,,,1.0,,,,,1.0
13444518,away,Union Omaha SC,Mehdi Ouamri,mehdi-ouamri,M. Ouamri,F,185.0,52,987855,EUR,933552000,F,9,9,False,9.0,7.0,1.0,,0.0,,,7.0,9.0,3.0,,,,45.0,13.0,6.6,4.0,0,,13,M,1.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,
13444518,away,Union Omaha SC,Mark Bronnik,mark-bronnik,M. Bronnik,M,185.0,5,1820845,EUR,1162944000,M,18,18,True,8.0,6.0,,,0.0,1.0,1.0,5.0,7.0,1.0,,,,45.0,11.0,6.3,4.0,0,Mark Bronnik,18,M,,,,,,,,1.0,3.0,,,,1.0,2.0,,,,,,,,,,,,1.0
13444518,away,Union Omaha SC,Prosper Kassim,prosper-kassim,P. Kassim,M,176.0,27,793332,EUR,850608000,M,10,10,True,14.0,9.0,2.0,,0.0,2.0,3.0,7.0,11.0,2.0,,,,45.0,22.0,6.5,9.0,0,,10,M,,,,1.0,,,,,,,,,,3.0,,,,,1.0,,,,,,,
13444518,away,Union Omaha SC,Brandon Knapp,brandon-knapp,B. Knapp,M,180.0,1,1820846,EUR,956102400,M,15,15,True,7.0,5.0,1.0,,0.0,2.0,3.0,3.0,4.0,1.0,,,,26.0,7.0,6.3,2.0,0,Brandon Knapp,15,M,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0
13444518,away,Union Omaha SC,Ryen Jiba,ryen-jiba,R. Jiba,D,183.0,4,1186746,EUR,988502400,D,27,27,True,1.0,,,,0.0,,,,1.0,,,,,1.0,2.0,,2.0,0,Ryen Jiba,27,M,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
13444518,away,Union Omaha SC,Russell Shealy,russell-shealy,R. Shealy,G,185.0,1,1513695,EUR,938304000,G,12,12,True,,,,,,,,,,,,,,,,,,0,Russell Shealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13444518,away,Union Omaha SC,Josh Ramsey,josh-ramsey,J. Ramsey,D,183.0,5,1025288,EUR,1029974400,D,19,19,True,,,,,,,,,,,,,,,,,,0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
13444518,away,Union Omaha SC,Dion Jeremy Acoff,acoff-dion-jeremy,D. J. Acoff,M,175.0,2,839980,EUR,685584000,D,26,26,True,,,,,,,,,,,,,,,,,,0,,26,M,,,,,,,,,,,,,,,,,,,,,,,,,,
