match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_blockedScoringAttempt,stat_dispossessed,stat_wasFouled,captain,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_aerialLost,stat_bigChanceMissed,stat_goals,stat_goalAssist,player_sofascoreId,stat_savedShotsFromInsideTheBox
10389778,home,Angers,Paul Bernardoni,,,paul-bernardoni,P. Bernardoni,G,40,190.0,166,M,361314,EUR,861321600,G,1,1,False,8.0,4.0,5.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,90.0,17.0,6.3,4.0,0.0,0.0,0.00057453,0,-0.4731,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389778,home,Angers,Abdoulaye Bamba,,,abdoulaye-bamba,A. Bamba,D,25,182.0,172,M,121180,EUR,641001600,D,25,25,False,19.0,18.0,,,2.0,2.0,17.0,21.0,,,2.0,2.0,,,,,,90.0,32.0,6.8,6.0,0.0,0.0,0.092209,0,,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
10389778,home,Angers,Yan Valery,,,yan-valery,Y. Valery,D,22,186.0,2305,M,826202,EUR,919641600,D,94,94,False,48.0,44.0,2.0,,13.0,14.0,34.0,43.0,3.0,,1.0,5.0,,,,,,90.0,71.0,7.6,12.0,0.0257,0.0,0.231182,1,,9.0,3.0,,6.0,1.0,5.0,4.0,,,3.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10389778,home,Angers,Cédric Hountondji,,,cedric-hountondji,C. Hountondji,D,4,195.0,551,M,342911,EUR,758937600,D,22,22,False,23.0,22.0,1.0,,18.0,18.0,4.0,5.0,,,4.0,6.0,,,,,,90.0,37.0,6.7,2.0,0.1132,0.0,0.00173631,1,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,
10389778,home,Angers,Ousmane Camara,Ousmane Camara,,ousmane-camara,O. Camara,D,4,197.0,1730,M,1049538,EUR,1046908800,D,29,29,False,32.0,30.0,2.0,2.0,20.0,22.0,10.0,10.0,1.0,,,5.0,,,,,,69.0,38.0,6.4,3.0,0.0,0.0,0.00265648,0,,,,,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
10389778,home,Angers,Justin-Noel Kalumba,,,kalumba-justin-noel,J. Kalumba,M,30,182.0,201,M,1484974,EUR,1103932800,D,17,17,False,29.0,26.0,,,8.0,9.0,18.0,24.0,3.0,1.0,,6.0,,,,,,90.0,55.0,6.7,14.0,0.0,0.0,0.0196005,0,,4.0,,,8.0,1.0,1.0,1.0,1.0,,1.0,4.0,4.0,,,,,2.0,3.0,,,,,,,,,
10389778,home,Angers,Himad Abdelli,,,himad-abdelli,H. Abdelli,M,8,185.0,7344,M,945830,EUR,942796800,M,10,10,False,90.0,86.0,6.0,5.0,25.0,27.0,63.0,68.0,6.0,3.0,,15.0,,,,,,90.0,119.0,7.9,12.0,0.0706,0.0439,0.308899,2,,5.0,2.0,1.0,9.0,3.0,4.0,2.0,2.0,,2.0,4.0,3.0,1.0,,1.0,,1.0,1.0,True,1.0,,,,,,,
10389778,home,Angers,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191.0,1300,M,859021,EUR,947635200,M,2,2,False,68.0,63.0,6.0,5.0,15.0,18.0,48.0,51.0,4.0,2.0,,3.0,,,,,,90.0,81.0,7.5,8.0,0.1505,0.0271,0.217408,3,,1.0,,,3.0,2.0,1.0,,,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,
10389778,home,Angers,Adrien Hunou,,,adrien-hunou,A. Hunou,M,23,176.0,98,M,283083,EUR,758937600,M,23,23,False,42.0,39.0,,,18.0,19.0,21.0,24.0,4.0,2.0,,5.0,,,,,,90.0,61.0,6.5,8.0,0.1802,0.0,0.0247721,2,,1.0,,,1.0,1.0,,,4.0,1.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,
10389778,home,Angers,Ibrahima Niane,,,ibrahima-niane,I. Niane,F,,187.0,431,M,880775,EUR,921110400,F,7,7,False,14.0,12.0,,,5.0,6.0,7.0,8.0,7.0,,2.0,1.0,,,,,,69.0,27.0,6.6,7.0,0.3933,0.3341,0.0454256,2,,,,1.0,3.0,,1.0,1.0,3.0,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,5.0,1.0,,,,
