match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_aerialWon,stat_dispossessed,player_firstName,player_lastName,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_goalAssist,stat_goals
10390043,home,Paris Saint-Germain,Hugo Ekitiké,hugo-ekitike,H. Ekitiké,F,22,190,97012,M,hekitike,1048422,EUR,1024531200,F,44,44,True,14.0,13.0,,,1.0,1.0,12.0,13.0,2.0,,,34.0,21.0,6.9,2.0,0.215,0.0,0.0444159,2,,,1.0,1.0,3.0,,3.0,3.0,,,,,,,,Hugo Ekitiké,,,,,1.0,,,1.0,,1.0,,1.0,,,,,
10390043,home,Paris Saint-Germain,Alexandre Letellier,alexandre-letellier,A. Letellier,G,,193,328,M,,126879,EUR,660873600,G,90,90,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Sergio Rico,sergio-rico,S. Rico,G,1,195,718,M,,211064,EUR,746841600,G,16,16,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Nehemiah Fernandez,fernandez-nehemiah,N. Fernandez,D,4,182,105,M,,1129333,EUR,1102723200,D,38,38,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Hugo Lamy,hugo-lamy,H. Lamy,D,,175,18,M,,1153098,EUR,1074211200,D,39,39,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Ismael Gharbi,gharbi-ismael,I. Gharbi,M,11,173,7580,M,,1113488,EUR,1081555200,M,35,35,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Ilyes Housni,ilyes-housni,I. Housni,F,,172,1907,M,,1154632,EUR,1116028800,F,37,37,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,Ilyes Housni,,,,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,,27029,EUR,480816000,G,30,30,False,37.0,24.0,20.0,7.0,22.0,25.0,2.0,12.0,17.0,7.0,8.0,90.0,58.0,9.0,13.0,0.0,0.0,0.00086165,0,0.8975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
10390043,away,Stade Rennais,Djed Spence,djed-spence,D. Spence,D,24,184,4534,M,,945798,EUR,965779200,D,90,90,False,32.0,30.0,1.0,,12.0,12.0,18.0,20.0,2.0,,,78.0,48.0,6.9,5.0,0.0804,0.4752,0.027712,1,,,,3.0,8.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,2.0,1.0,3.0,,5.0,,,,,,,1.0,,,
10390043,away,Stade Rennais,Warmed Omari,omari-warmed,W. Omari,D,17,185,538,M,,999030,EUR,956448000,D,23,23,False,27.0,25.0,1.0,1.0,21.0,23.0,4.0,4.0,2.0,,,90.0,33.0,7.1,3.0,0.0,0.0,0.0029635,0,,,,,1.0,,,,,1.0,,,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,
