match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,stat_bigChanceMissed,captain,stat_totalOffside,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist
11396272,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,28.0,19.0,15.0,6.0,15.0,17.0,4.0,11.0,11.0,3.0,5.0,90.0,40.0,7.1,9.0,0.0007072,0,-0.7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396272,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,28.0,22.0,2.0,1.0,15.0,18.0,7.0,10.0,1.0,,,90.0,40.0,6.7,6.0,0.00698376,0,,,,2.0,3.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396272,home,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,47.0,37.0,8.0,3.0,27.0,29.0,10.0,18.0,4.0,,,90.0,54.0,6.6,10.0,0.0432706,1,,,,3.0,3.0,4.0,,1.0,,2.0,2.0,1.0,0.0252,,,,,,,,,,,,,,,,,,,,,,,,
11396272,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,43.0,34.0,5.0,1.0,28.0,32.0,6.0,11.0,6.0,,,81.0,62.0,7.0,12.0,0.0849451,2,,,,3.0,7.0,2.0,,3.0,2.0,1.0,3.0,1.0,0.0369,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11396272,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3077,M,791642,EUR,808531200,M,18,18,False,26.0,17.0,7.0,2.0,12.0,14.0,5.0,15.0,4.0,,,90.0,45.0,6.0,17.0,0.0112755,0,,,,,2.0,2.0,,3.0,,,3.0,,,2.0,,1.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11396272,home,1. FC Union Berlin,Lucas Tousart,tousart-lucas,L. Tousart,M,24,185,445,M,787889,EUR,862272000,M,29,29,False,17.0,9.0,2.0,1.0,4.0,10.0,5.0,7.0,2.0,,,61.0,30.0,6.7,10.0,0.00739333,1,,,,2.0,4.0,2.0,,2.0,,2.0,5.0,,0.1043,,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,,
11396272,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,23.0,15.0,6.0,2.0,9.0,12.0,6.0,12.0,8.0,,,69.0,35.0,6.7,11.0,0.00147695,0,,,,1.0,7.0,1.0,,,,4.0,7.0,,,1.0,,6.0,3.0,,1.0,1.0,1.0,,,,,True,1.0,,,,,,,,,,
11396272,home,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,42.0,29.0,2.0,,12.0,17.0,18.0,27.0,5.0,,,90.0,67.0,6.9,22.0,0.137081,2,,,,1.0,8.0,,,,1.0,3.0,10.0,1.0,0.1511,4.0,,3.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,,,,1.0,1.0,1.0,0.229,2.0,,,,,,
11396272,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,M,26,26,False,13.0,8.0,2.0,1.0,4.0,5.0,5.0,11.0,4.0,,,69.0,35.0,7.1,11.0,0.142562,1,,,,,6.0,1.0,,1.0,1.0,,,1.0,0.0282,,,4.0,3.0,3.0,,3.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,
11396272,home,1. FC Union Berlin,Kevin Volland,kevin-volland,K. Volland,F,31,179,1031,M,117373,EUR,712454400,F,10,10,False,25.0,14.0,1.0,,6.0,8.0,11.0,25.0,7.0,,,90.0,45.0,6.7,21.0,0.104835,3,,Kevin,Volland,1.0,1.0,,,2.0,,2.0,6.0,1.0,0.5173,2.0,,,,3.0,1.0,8.0,1.0,,,,1.0,,2.0,3.0,2.0,0.2412,2.0,1.0,,,,,
