match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_aerialWon,stat_shotOffTarget,stat_wonTackle,stat_challengeLost,stat_keyPass,stat_goalAssist,stat_errorLeadToAShot,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,player_firstName,player_lastName,stat_bigChanceMissed,stat_wasFouled,stat_blockedScoringAttempt,stat_outfielderBlock,player_sofascoreId
10408454,home,Celta Vigo,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188,1571,M,47339,EUR,574473600,G,1,1,False,19.0,14.0,10.0,5.0,11.0,11.0,3.0,8.0,1.0,7.0,2.0,4.0,4.0,90.0,32.0,8.0,5.0,0.0,0.0,0.00058768,0,0.6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408454,home,Celta Vigo,Hugo Mallo,hugo-mallo,H. Mallo,D,,174,280,M,83506,EUR,677548800,D,2,2,False,36.0,26.0,8.0,2.0,15.0,18.0,12.0,23.0,2.0,5.0,,,,70.0,67.0,6.8,20.0,0.0,0.0,0.14785,0,,True,5.0,1.0,3.0,8.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,
10408454,home,Celta Vigo,Joseph Aidoo,joseph-aidoo,J. Aidoo,D,4,184,857,M,796320,EUR,812332800,D,15,15,False,43.0,37.0,4.0,2.0,27.0,32.0,10.0,11.0,4.0,9.0,,,,90.0,54.0,7.2,6.0,0.0167,0.0,0.00676084,1,,,,,3.0,3.0,3.0,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10408454,home,Celta Vigo,Unai Núñez,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,4,4,False,47.0,42.0,13.0,8.0,28.0,30.0,14.0,17.0,5.0,7.0,,,,90.0,56.0,6.9,6.0,0.0,0.0,0.00890989,0,,,,,,2.0,,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
10408454,home,Celta Vigo,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,825133,EUR,785203200,D,17,17,False,32.0,27.0,5.0,2.0,13.0,15.0,15.0,20.0,,4.0,,,,90.0,54.0,6.5,14.0,0.0113,0.0,0.0632254,1,,,3.0,1.0,,9.0,2.0,2.0,,2.0,2.0,4.0,,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,
10408454,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,770,M,835484,EUR,918000000,M,8,8,False,41.0,38.0,2.0,1.0,21.0,22.0,17.0,19.0,,4.0,,,,90.0,50.0,6.8,3.0,0.0183,0.0,0.0108361,1,,,,,1.0,3.0,,,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,
10408454,home,Celta Vigo,Augusto Solari,augusto-solari,A. Solari,M,23,176,135,M,291279,EUR,694396800,M,21,21,False,21.0,14.0,1.0,,4.0,5.0,10.0,16.0,,3.0,,,,55.0,32.0,6.6,10.0,0.0,0.0,0.00734429,0,,,,,,5.0,2.0,,2.0,1.0,1.0,3.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,
10408454,home,Celta Vigo,Gabri Veiga,gabri-veiga,G. Veiga,M,10,184,5203,M,1010505,EUR,1022457600,M,28,28,False,32.0,27.0,,,11.0,11.0,16.0,23.0,,1.0,,,,70.0,46.0,7.5,10.0,0.0268,0.3407,0.00972121,1,,,2.0,,,4.0,8.0,6.0,1.0,3.0,,1.0,,2.0,,1.0,,,,,,3.0,1.0,1.0,,,,,,,
10408454,home,Celta Vigo,Óscar Rodríguez,oscar-rodriguez,Ó. Rodríguez,M,14,174,618,M,794948,EUR,898992000,M,5,5,False,33.0,28.0,3.0,1.0,10.0,10.0,20.0,27.0,1.0,6.0,,,,90.0,51.0,7.1,12.0,0.484,1.037,0.120729,3,,,4.0,2.0,,3.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,3.0,,,,1.0,1.0,,,
10408454,home,Celta Vigo,Carles Pérez,carles-perez,C. Pérez,M,7,172,1038,M,794950,EUR,887587200,F,7,7,False,11.0,11.0,,,3.0,3.0,8.0,8.0,,3.0,,,,75.0,22.0,6.4,5.0,0.085,0.0,0.0227107,1,,,,,4.0,12.0,1.0,3.0,,,3.0,5.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,
