match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,captain,player_sofascoreId,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
11407365,home,Cagliari,Boris Radunović,boris-radunovic,B. Radunović,G,22,193.0,193,M,795926,EUR,833068800,G,1,1,False,31.0,26.0,16.0,11.0,18.0,19.0,8.0,12.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,40.0,7.4,5.0,0.0,0.0,0.00318057,0,0.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407365,home,Cagliari,Mateusz Wieteska,mateusz-wieteska,M. Wieteska,D,4,187.0,1515,M,286087,EUR,855619200,D,23,23,False,55.0,46.0,5.0,1.0,34.0,35.0,12.0,20.0,7.0,,9.0,1.0,,,,90.0,73.0,7.1,11.0,0.0,0.0,0.00445499,0,,1.0,2.0,4.0,6.0,4.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
11407365,home,Cagliari,Alberto Dossena,dossena-alberto,A. Dossena,D,4,195.0,511,M,870211,EUR,908236800,D,4,4,False,30.0,24.0,6.0,2.0,19.0,20.0,5.0,10.0,5.0,,7.0,1.0,,,,90.0,41.0,6.9,6.0,0.1763,0.0,0.00249205,1,,3.0,3.0,4.0,8.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11407365,home,Cagliari,Pantelis Hatzidiakos,hatzidiakos-pantelis,P. Hatzidiakos,D,6,185.0,762,M,822163,EUR,853545600,D,17,17,False,19.0,13.0,4.0,,10.0,11.0,3.0,8.0,3.0,1.0,3.0,,,,,80.0,27.0,6.7,7.0,0.0,0.0,0.00030136,0,,3.0,1.0,5.0,2.0,1.0,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11407365,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183.0,617,M,927304,EUR,945820800,M,28,28,False,25.0,16.0,5.0,1.0,11.0,15.0,6.0,13.0,,,5.0,,,,,79.0,43.0,6.4,17.0,0.0202,0.0,0.352862,1,,,,3.0,,,,3.0,,1.0,1.0,,,,,2.0,,,3.0,1.0,1.0,1.0,,,,,,,,,
11407365,home,Cagliari,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186.0,535,M,920391,EUR,900720000,M,29,29,False,48.0,44.0,,,28.0,29.0,16.0,20.0,5.0,2.0,7.0,2.0,,,,90.0,64.0,7.1,8.0,0.0,0.0,0.0184672,0,,,,3.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,
11407365,home,Cagliari,Matteo Prati,matteo-prati,M. Prati,M,4,182.0,705,M,1111640,EUR,1072569600,M,16,16,False,26.0,21.0,3.0,1.0,10.0,11.0,12.0,17.0,3.0,1.0,7.0,1.0,,,,80.0,33.0,6.9,6.0,0.0,0.0,0.0345957,0,,,,,1.0,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
11407365,home,Cagliari,Alessandro Deiola,alessandro-deiola,A. Deiola,M,14,189.0,280,M,328109,EUR,807235200,M,14,14,False,28.0,21.0,7.0,3.0,6.0,9.0,15.0,20.0,3.0,,2.0,,,,,90.0,39.0,5.4,10.0,0.8857,0.0,0.0431999,5,,1.0,1.0,5.0,,2.0,,1.0,1.0,1.0,2.0,4.0,4.0,,,,,,1.0,,,1.0,1.0,,,,,,,,
11407365,home,Cagliari,Tommaso Augello,tommaso-augello,T. Augello,M,3,181.0,354,M,596736,EUR,778204800,M,27,27,False,20.0,12.0,3.0,,7.0,8.0,9.0,18.0,2.0,,2.0,1.0,,,,66.0,37.0,7.3,15.0,0.0,0.0,0.189806,0,,,1.0,2.0,,,,1.0,,3.0,1.0,,,,,1.0,,,6.0,4.0,2.0,,,,,,,,,,
11407365,home,Cagliari,Leonardo Pavoletti,leonardo-pavoletti,L. Pavoletti,F,30,188.0,554,M,132704,EUR,596505600,F,30,30,False,20.0,12.0,2.0,1.0,2.0,3.0,10.0,17.0,6.0,,1.0,,,,,60.0,30.0,6.6,15.0,0.0,0.0,0.0469669,0,,5.0,6.0,9.0,,,,5.0,3.0,,,,,,,,,,,,,,1.0,True,,,,,,,
