match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_lastManTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_totalContest,stat_wasFouled,stat_wonContest,stat_totalOffside,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,player_sofascoreId
11450115,home,Kasımpaşa,Ali Emre Yanar,ali-emre-yanar,A. E. Yanar,G,25,190.0,31,M,840297,EUR,895190400,G,25,25,False,28.0,22.0,7.0,2.0,20.0,23.0,2.0,5.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,1.0,90.0,39.0,6.9,6.0,0.00031757,0,0.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,184,M,155998,EUR,766368000,D,2,2,False,27.0,22.0,9.0,6.0,10.0,10.0,12.0,19.0,,6.0,3.0,3.0,,,,,90.0,48.0,6.7,10.0,0.00902817,0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Kenneth Omeruo,kenneth-omeruo,K. Omeruo,D,,185.0,571,M,158293,EUR,750816000,D,4,4,False,41.0,34.0,9.0,5.0,29.0,30.0,5.0,11.0,,2.0,4.0,3.0,,,,,90.0,54.0,6.8,10.0,0.00594446,2,,,2.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,True,1.0,1.0,1.0,1.0,0.1773,0.4999,,,,,,,,,,,,
11450115,home,Kasımpaşa,Jackson Porozo,jackson-porozo,J. Porozo,D,12,192.0,722,M,978518,EUR,965347200,D,23,23,False,52.0,40.0,12.0,3.0,35.0,39.0,5.0,13.0,1.0,7.0,7.0,4.0,,,,,90.0,77.0,6.9,17.0,0.00126164,0,,,6.0,,2.0,2.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,
11450115,home,Kasımpaşa,Yasin Özcan,yasin-ozcan,Y. Özcan,D,58,185.0,1802,M,1392102,EUR,1145491200,D,58,58,False,35.0,24.0,3.0,1.0,19.0,23.0,5.0,12.0,1.0,6.0,2.0,4.0,,,,,88.0,57.0,6.6,18.0,0.00520585,0,,,7.0,1.0,,,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,3.0,3.0,,1.0,,,,,,,,
11450115,home,Kasımpaşa,Gökhan Gül,gokhan-gul,G. Gül,M,17,180.0,107,M,797820,EUR,900633600,M,6,6,False,20.0,18.0,3.0,2.0,11.0,11.0,7.0,9.0,,4.0,,4.0,,,,,61.0,33.0,6.7,5.0,0.00656736,0,,,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
11450115,home,Kasımpaşa,Mamadou Fall,mamadou-fall,M. Fall,M,7,184.0,380,M,822228,EUR,694137600,M,7,7,False,10.0,6.0,,,2.0,4.0,4.0,8.0,1.0,6.0,1.0,2.0,,,,,90.0,26.0,6.5,12.0,0.00372877,0,,2.0,3.0,,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,
11450115,home,Kasımpaşa,Haris Hajradinović,haris-hajradinovic,H. Hajradinović,M,10,179.0,1215,M,254979,EUR,761529600,M,10,10,False,27.0,16.0,3.0,,7.0,9.0,14.0,24.0,,6.0,,6.0,,,,,90.0,53.0,7.9,18.0,0.418162,1,,6.0,8.0,1.0,,,,2.0,2.0,3.0,3.0,,,,,1.0,,,0.0123,0.1551,,3.0,5.0,1.0,1.0,4.0,1.0,5.0,1.0,,,
11450115,home,Kasımpaşa,Aytaç Kara,aytac-kara,A. Kara,M,35,188.0,161,M,128196,EUR,732844800,M,35,35,False,33.0,26.0,4.0,3.0,13.0,14.0,13.0,20.0,,2.0,3.0,10.0,,,,,90.0,49.0,7.2,12.0,0.0183863,0,,1.0,5.0,1.0,,,1.0,2.0,2.0,3.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,
11450115,home,Kasımpaşa,Oğulcan Çağlayan,ogulcan-caglayan,O. Çağlayan,F,17,188.0,194,M,387050,EUR,827452800,M,14,14,False,21.0,10.0,2.0,,6.0,9.0,4.0,12.0,,9.0,,3.0,,,,,75.0,38.0,5.9,23.0,0.0158193,1,,,5.0,,1.0,,,,,6.0,3.0,,,,,,1.0,,0.0219,,3.0,6.0,1.0,1.0,,1.0,,,,,,
11450115,home,Kasımpaşa,Nuno Da Costa,nuno-da-costa,N. Da Costa,F,10,184.0,1004,M,209374,EUR,666144000,F,18,18,False,19.0,9.0,1.0,1.0,3.0,5.0,6.0,14.0,2.0,5.0,3.0,3.0,,,,,90.0,39.0,7.7,16.0,0.0109883,3,,,10.0,,1.0,,,2.0,1.0,4.0,1.0,,,,,2.0,,,0.3387,0.7603,5.0,1.0,3.0,,1.0,,,,,1.0,1.0,
11450115,home,Kasımpaşa,Loret Sadiku,loret-sadiku,L. Sadiku,M,,180.0,55,M,143356,EUR,680659200,M,26,26,True,6.0,4.0,,,3.0,3.0,1.0,3.0,1.0,2.0,2.0,,,,,,29.0,12.0,6.6,3.0,0.00080854,0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
11450115,home,Kasımpaşa,Rochinha,rochinha,Rochinha,M,10,169.0,158,M,352874,EUR,799459200,F,15,15,True,2.0,2.0,,,,,2.0,2.0,,,,,,,,,15.0,6.0,6.8,1.0,0.0032296,0,,,3.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,
11450115,home,Kasımpaşa,Emre Gedik,emre-gedik,E. Gedik,D,19,,14,M,957792,EUR,930614400,D,16,16,True,2.0,,,,,2.0,,,,1.0,,,,,,,2.0,5.0,,4.0,,0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
11450115,home,Kasımpaşa,Melih Akyuz,akyuz-melih,M. Akyüz,G,98,204.0,7,M,1430686,EUR,1151452800,G,98,98,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Erol Karaman,karaman-erol,E. Karaman,G,,192.0,2,M,1544606,EUR,1161561600,G,75,75,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Taylan Utku Aydın,aydin-taylan-utku,T. U. Aydın,D,29,180.0,50,M,1498789,EUR,1139529600,D,29,29,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Selim Dilli,selim-dilli,S. Dilli,M,20,177.0,4,M,999296,EUR,896140800,M,20,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Trazie Thomas Zai,trazie-thomas-zai,T. T. Zai,M,,172.0,48,M,1083235,EUR,930787200,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Trazie Thomas Zai,,,,,,,,,,,,,,,,,,,,
11450115,home,Kasımpaşa,Sarp Yavrucu,yavrucu-sarp,S. Yavrucu,F,19,180.0,26,M,1173148,EUR,1111017600,F,19,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,away,Fatih Karagümrük,Salvatore Sirigu,salvatore-sirigu,S. Sirigu,G,,192.0,499,M,18954,EUR,537408000,G,31,31,False,40.0,32.0,11.0,4.0,28.0,32.0,4.0,8.0,,,,7.0,,1.0,3.0,,90.0,46.0,6.8,8.0,0.00272116,0,0.4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450115,away,Fatih Karagümrük,Nazım Sangaré,nazim-sangare,N. Sangaré,M,30,180.0,168,M,169425,EUR,770256000,D,30,30,False,26.0,18.0,6.0,2.0,11.0,13.0,9.0,15.0,3.0,5.0,1.0,4.0,,,,,90.0,58.0,7.2,12.0,0.103631,0,,2.0,8.0,1.0,1.0,,3.0,6.0,4.0,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,
11450115,away,Fatih Karagümrük,Davide Biraschi,davide-biraschi,D. Biraschi,D,4,182.0,102,M,233252,EUR,773107200,D,4,4,False,61.0,49.0,8.0,5.0,31.0,33.0,18.0,28.0,3.0,7.0,2.0,7.0,,,,,90.0,69.0,6.5,13.0,0.00848662,0,,,3.0,,,,,1.0,1.0,,3.0,,,,,,,,,,,1.0,2.0,,,,,,,,,
