match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_shotOffTarget,captain,stat_challengeLost,player_sofascoreId,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_punches,stat_outfielderBlock,stat_goals
13981505,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193,635,M,98059,EUR,729907200,G,1,1,False,12.0,7.0,6.0,1.0,0.0,7.0,8.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,90.0,21.0,6.6,6.0,3.464e-05,0.4907,0,-0.8614,0.01,0.01,-0.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981505,home,Genoa,Brooke Norton-Cuffy,brooke-norton-cuffy,B. Norton-Cuffy,D,15,181,1189,M,1087514,EUR,1073865600,D,15,15,False,40.0,34.0,3.0,1.0,0.0,17.0,20.0,20.0,3.0,1.0,1.0,3.0,1.0,,,,,,,90.0,65.0,6.6,15.0,0.0460492,,1,,0.28,0.19,-0.34,,,,17.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,0.0389,2.0,-0.15,,,,,,,,,,,,,,,
13981505,home,Genoa,Leo Østigård,leo-ostigard,L. Østigård,D,5,182,1809,M,879746,EUR,943747200,D,5,5,False,49.0,39.0,5.0,2.0,0.0,33.0,37.0,12.0,3.0,8.0,1.0,4.0,,,,,,,,90.0,64.0,6.1,11.0,0.00234732,,1,,-0.11,0.03,-0.28,,,,6.0,,,4.0,4.0,1.0,,,,,0.0738,,-0.19,2.0,1.0,,,,,,,,,,,,,
13981505,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,49.0,38.0,12.0,6.0,0.0,24.0,31.0,18.0,4.0,4.0,3.0,5.0,,1.0,,,,,,90.0,58.0,6.2,11.0,0.00617832,,0,,0.07,0.09,-0.33,,,,14.0,,,2.0,2.0,,,,,,,1.0,,3.0,,True,,,,,,,,,,,,
13981505,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,D,3,3,False,21.0,16.0,6.0,4.0,0.0,6.0,7.0,14.0,4.0,4.0,,2.0,,1.0,,,,,,63.0,47.0,6.1,15.0,0.085742,,1,,-0.1,0.11,-0.41,,,,10.0,4.0,1.0,,1.0,1.0,,,1.0,1.0,0.137,1.0,0.03,1.0,,,1.0,,,,,,,,,,,
13981505,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,195850,EUR,736473600,M,17,17,False,46.0,32.0,8.0,5.0,0.0,18.0,22.0,24.0,5.0,,1.0,8.0,4.0,1.0,,,,,,90.0,58.0,7.2,19.0,0.305943,,1,,0.71,0.07,-0.19,,,,14.0,1.0,1.0,2.0,3.0,1.0,,,,,0.0101,1.0,-0.04,2.0,1.0,,1.0,malinovskyi18,1.0,1.0,,,,,,,,
13981505,home,Genoa,Patrizio Masini,patrizio-masini,P. Masini,M,73,182,291,M,970998,EUR,980553600,M,73,73,False,47.0,32.0,7.0,2.0,0.0,14.0,20.0,27.0,9.0,,2.0,11.0,2.0,3.0,,,,,,90.0,77.0,7.3,20.0,0.0631224,,2,,0.04,0.13,-0.06,,,,18.0,1.0,,1.0,12.0,2.0,,,,3.0,0.0437,1.0,-0.18,3.0,2.0,,1.0,,,8.0,5.0,,,,,,,
13981505,home,Genoa,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182,433,M,933203,EUR,1015804800,M,77,77,False,23.0,17.0,,,0.0,6.0,8.0,15.0,4.0,,2.0,3.0,3.0,,,,,,,90.0,40.0,6.5,12.0,0.0113478,,1,,0.07,0.18,-0.14,,,,11.0,1.0,,1.0,5.0,,2.0,,1.0,2.0,0.0251,1.0,-0.11,1.0,,,1.0,,,2.0,1.0,,,,,,,
13981505,home,Genoa,Valentín Carboni,valentin-carboni,V. Carboni,M,21,185,7112,M,1153083,EUR,1109980800,M,23,23,False,22.0,16.0,3.0,3.0,0.0,4.0,6.0,16.0,4.0,1.0,,6.0,2.0,2.0,,,,,,63.0,35.0,7.1,12.0,0.138424,,1,,0.43,0.26,-0.09,,,,12.0,,,1.0,5.0,2.0,,,1.0,1.0,0.0686,1.0,-0.19,,,,,valencarboni,,3.0,2.0,,,,,,,
13981505,home,Genoa,Maxwel Cornet,maxwel-cornet,M. Cornet,F,70,179,1971,M,280439,EUR,843782400,M,70,70,False,11.0,7.0,1.0,,0.0,3.0,3.0,8.0,6.0,,,1.0,,3.0,,,,,,53.0,21.0,6.3,7.0,0.00763731,,1,,-0.03,0.06,-0.12,,,,4.0,1.0,,1.0,4.0,2.0,,,1.0,1.0,0.1591,1.0,0.02,3.0,,,,,,2.0,1.0,1.0,,,,,,
