match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_goalAssist,stat_blockedScoringAttempt,stat_errorLeadToAGoal,player_sofascoreId,stat_totalOffside
11450070,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,21.0,13.0,12.0,4.0,10.0,12.0,3.0,9.0,1.0,12.0,1.0,4.0,6.0,90.0,34.0,7.7,8.0,0.00345368,0,0.5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450070,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,36.0,30.0,9.0,5.0,18.0,19.0,12.0,19.0,3.0,5.0,,,,90.0,64.0,7.1,11.0,0.00866043,1,,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.019,,,,,,,,,,,,,,,,
11450070,home,Alanyaspor,Furkan Bayır,,,furkan-bayir,F. Bayır,D,23,188,77,M,1003161,EUR,950054400,D,4,4,False,29.0,24.0,9.0,5.0,18.0,19.0,6.0,10.0,5.0,4.0,,,,90.0,46.0,7.2,5.0,0.00082043,0,,,,1.0,3.0,4.0,,,,3.0,3.0,2.0,,,3.0,,1.0,,,,,,,,,,,,,,,
11450070,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,21.0,15.0,2.0,,14.0,19.0,1.0,2.0,7.0,3.0,,,,83.0,36.0,7.1,6.0,0.00031883,0,,,1.0,1.0,2.0,3.0,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,
11450070,home,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,False,38.0,30.0,10.0,8.0,19.0,24.0,12.0,16.0,7.0,4.0,,,,90.0,60.0,7.8,10.0,0.413163,0,,2.0,2.0,1.0,2.0,6.0,1.0,1.0,,1.0,3.0,1.0,,1.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,
11450070,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,21.0,18.0,1.0,1.0,12.0,14.0,6.0,7.0,4.0,2.0,,,,69.0,31.0,6.7,3.0,0.00350565,0,,,,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,,,,3.0,,2.0,,,,,,,,,,,,,,,
11450070,home,Alanyaspor,Leroy Fer,,,leroy-fer,L. Fer,M,8,188,136,M,31821,EUR,631497600,M,8,8,False,28.0,20.0,5.0,1.0,14.0,16.0,6.0,12.0,3.0,10.0,,,,90.0,46.0,6.6,13.0,0.00543262,0,,,,1.0,5.0,6.0,1.0,,,1.0,4.0,3.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,
11450070,home,Alanyaspor,Oğuz Aydın,,,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,M,11,11,False,15.0,9.0,,,3.0,5.0,6.0,14.0,,5.0,,,,69.0,32.0,8.3,14.0,0.0263861,4,,4.0,1.0,,4.0,2.0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.3458,,,,,1.0,1.0,1.0,2.0,2.0,0.3354,,,,,,
11450070,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,28.0,24.0,4.0,3.0,9.0,11.0,15.0,18.0,1.0,4.0,,,,84.0,43.0,7.5,9.0,0.0133594,1,,1.0,,1.0,5.0,6.0,3.0,3.0,,,,,2.0,2.0,1.0,0.7918,,,,1.0,2.0,2.0,,1.0,1.0,0.995,True,,,,,
11450070,home,Alanyaspor,Loide Augusto,Loide Augusto,,loide-augusto,L. Augusto,M,50,183,1033,M,1110708,EUR,951523200,M,27,27,False,10.0,8.0,,,6.0,8.0,2.0,3.0,,3.0,,,,42.0,20.0,6.6,8.0,0.00131617,0,,1.0,,,1.0,2.0,1.0,,,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
