match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_blockedScoringAttempt,stat_keyPass,captain,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_goalAssist,stat_goals
10570042,home,Watford,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197.0,2183,M,891656,EUR,935798400,G,35,35,False,16.0,13.0,5.0,2.0,12.0,14.0,1.0,2.0,1.0,8.0,3.0,3.0,90.0,28.0,6.5,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10570042,home,Watford,Mario Gaspar,,,mario-gaspar,M. Gaspar,D,,182.0,108,M,48751,EUR,659404800,D,3,3,False,48.0,36.0,2.0,,22.0,24.0,14.0,29.0,,1.0,,,90.0,69.0,6.5,21.0,1,5.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10570042,home,Watford,William Troost-Ekong,,,william-troost-ekong,W. Troost-Ekong,D,5,191.0,2266,M,338991,EUR,746841600,D,5,5,False,87.0,75.0,13.0,9.0,49.0,51.0,26.0,36.0,3.0,7.0,,,90.0,96.0,6.7,13.0,1,,,3.0,2.0,4.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10570042,home,Watford,Matthew Pollock,,,matthew-pollock,M. Pollock,D,6,190.0,154,M,959208,EUR,1001635200,D,32,32,False,69.0,60.0,7.0,2.0,43.0,47.0,17.0,22.0,2.0,3.0,,,81.0,79.0,6.7,9.0,1,,1.0,4.0,1.0,4.0,,,,,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,
10570042,home,Watford,Craig Cathcart,,,craig-cathcart,C. Cathcart,D,,188.0,50,M,22200,EUR,602726400,D,15,15,False,56.0,45.0,9.0,3.0,22.0,25.0,23.0,31.0,1.0,1.0,,,60.0,61.0,6.6,12.0,0,,,2.0,,3.0,,,,1.0,,,,,,,,,,True,1.0,,,,,,,,,,
10570042,home,Watford,Dan Gosling,,,dan-gosling,D. Gosling,D,32,183.0,32,,19343,EUR,633916800,M,16,16,False,45.0,38.0,4.0,3.0,24.0,24.0,14.0,21.0,,4.0,,,90.0,54.0,6.5,11.0,1,,2.0,1.0,6.0,3.0,3.0,1.0,,1.0,,,3.0,,,,1.0,1.0,,,,1.0,,,,,,,,,
10570042,home,Watford,Edo Kayembe,,,kayembe-edo,E. Kayembe,M,39,183.0,3895,M,917305,EUR,896832000,M,39,39,False,34.0,32.0,1.0,1.0,17.0,18.0,15.0,16.0,,5.0,,,45.0,42.0,6.7,5.0,0,,,,3.0,3.0,,3.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
10570042,home,Watford,Joseph Hungbo,,,hungbo-joseph,J. Hungbo,M,44,173.0,55,M,1013992,EUR,947894400,M,36,36,False,30.0,21.0,2.0,1.0,6.0,8.0,17.0,26.0,2.0,5.0,,,81.0,67.0,7.4,19.0,1,4.0,2.0,1.0,7.0,12.0,,1.0,,4.0,3.0,,5.0,2.0,,1.0,1.0,,1.0,,,5.0,4.0,2.0,2.0,1.0,,,,,
10570042,home,Watford,Yáser Asprilla,Yaser Asprilla,,yaser-asprilla,Y. Asprilla,M,22,176.0,9792,M,1092769,EUR,1069200000,M,18,18,False,37.0,25.0,3.0,3.0,9.0,13.0,16.0,25.0,,3.0,,,73.0,50.0,7.1,16.0,1,1.0,1.0,,4.0,5.0,2.0,,,2.0,2.0,,2.0,,,,,1.0,3.0,,,2.0,2.0,1.0,,,yaser_asprilla_10,,,,
10570042,home,Watford,Vakoun Bayo,,,bayo-vakoun-issouf,V. I. Bayo,F,15,184.0,3413,M,796455,EUR,852854400,F,19,19,False,21.0,19.0,1.0,1.0,3.0,3.0,16.0,18.0,,2.0,,,90.0,35.0,6.5,9.0,3,,1.0,2.0,5.0,4.0,1.0,,2.0,2.0,1.0,,4.0,,1.0,,1.0,1.0,1.0,,,,3.0,,,,,1.0,,,
