match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_fouls,captain,stat_dispossessed,stat_interceptionWon,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_totalContest,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,player_sofascoreId,stat_wonContest,stat_accurateCross
12764414,away,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9757,M,331737,EUR,862963200,M,8,8,False,75.0,66.0,1.0,1.0,1.0,25.0,28.0,41.0,52.0,2.0,,,,,83.0,92.0,7.9,15.0,0.432718,2,,,,5.0,,3.0,5.0,1.0,,,,,5.0,,2.0,1.0,,1.0,,,2.0,,,,0.1336,,2.0,1.0,,,,youritielemans,1.0,
12764414,away,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3380,M,826204,EUR,943315200,M,44,44,False,60.0,53.0,1.0,,0.0,25.0,26.0,28.0,34.0,1.0,8.0,,,,90.0,77.0,7.3,10.0,0.0591558,1,,,,,1.0,5.0,8.0,2.0,,2.0,2.0,1.0,2.0,,2.0,,,2.0,2.0,,,1.0,,,0.0855,0.0355,2.0,2.0,,,,,2.0,
12764414,away,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9362,M,833956,EUR,870912000,M,2,2,False,21.0,16.0,1.0,1.0,0.0,4.0,4.0,14.0,19.0,2.0,,,,,71.0,35.0,6.9,9.0,0.474132,3,,,,2.0,,4.0,1.0,2.0,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,0.3392,0.1244,,1.0,,,,mattycash622,,2.0
12764414,away,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,13680,M,948261,EUR,1027641600,M,27,27,False,47.0,37.0,,,0.0,13.0,15.0,24.0,33.0,,6.0,,,,90.0,75.0,7.3,21.0,0.0684228,3,,,,1.0,1.0,12.0,9.0,,1.0,,,,1.0,,2.0,1.0,,8.0,1.0,,2.0,1.0,,,0.2067,0.0187,1.0,8.0,,,,mrogers,6.0,
12764414,away,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3885,M,250223,EUR,782438400,M,7,7,False,33.0,30.0,,,0.0,9.0,9.0,21.0,26.0,,,,,,76.0,50.0,7.5,9.0,0.0289991,2,,,,2.0,1.0,3.0,4.0,,,,,1.0,,,1.0,,True,2.0,2.0,,1.0,1.0,,,0.5688,0.6906,1.0,2.0,,1.0,,,2.0,
12764414,away,Aston Villa,Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19707,M,555386,EUR,820281600,F,11,11,False,10.0,9.0,,,1.0,3.0,3.0,6.0,7.0,,2.0,,,,45.0,18.0,7.3,6.0,0.184885,1,,,,,,3.0,1.0,,1.0,,,3.0,3.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,0.1421,0.2225,,,,,,OllieWatkins,,
12764414,away,Aston Villa,Jhon Durán,jhon-duran,J. Durán,F,10,185,33270,M,974577,EUR,1071273600,F,9,9,True,16.0,12.0,1.0,1.0,0.0,5.0,5.0,7.0,11.0,,2.0,,,,45.0,24.0,7.8,4.0,0.206372,4,,,,,,,4.0,,,1.0,1.0,,1.0,,1.0,,,,,,2.0,1.0,1.0,,0.2913,0.0098,,2.0,,1.0,,jaderduran9,2.0,
12764414,away,Aston Villa,Kosta Nedeljković,kosta-nedeljkovic,K. Nedeljković,D,19,184,2308,M,1152923,EUR,1134691200,D,20,20,True,6.0,5.0,,,0.0,3.0,3.0,2.0,3.0,,1.0,,,,19.0,8.0,6.2,2.0,0.00095818,0,,Kosta Nedeljkovic,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
12764414,away,Aston Villa,Emiliano Buendía,emiliano-buendia,E. Buendía,M,10,170,7662,M,783126,EUR,851472000,M,10,10,True,4.0,4.0,1.0,1.0,0.0,,,4.0,4.0,,1.0,,,,14.0,5.0,6.7,,0.0108806,0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,EM10Buendia,,
12764414,away,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5464,M,976263,EUR,1015718400,D,22,22,True,4.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,1.0,,,,11.0,6.0,6.7,2.0,0.0571522,0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,maatsen_,,
12764414,away,Aston Villa,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2396,M,98435,EUR,755049600,M,6,6,True,8.0,5.0,,,0.0,3.0,4.0,2.0,4.0,1.0,1.0,,,,11.0,10.0,7.4,3.0,0.00188317,1,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,0.0316,0.2563,1.0,,,1.0,,,,
12764414,away,Aston Villa,Joe Gauci,joe-gauci,J. Gauci,G,46,194,369,M,966874,EUR,962668800,G,18,18,True,,,,,,,,,,,,,,,,,,,,0,,Joe,Gauci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,away,Aston Villa,Robin Olsen,robin-olsen,R. Olsen,G,30,198,1284,M,26025,EUR,631756800,G,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,away,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1989,M,303638,EUR,731980800,D,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,away,Aston Villa,Lamare Bogarde,lamare-bogarde,L. Bogarde,D,26,183,1108,M,1089388,EUR,1073260800,D,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,away,Aston Villa,Sil Swinkels,sil-swinkels,S. Swinkels,D,26,191,182,M,1090521,EUR,1073347200,D,50,50,True,,,,,,,,,,,,,,,,,,,,0,,Sil Swinkels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,away,Aston Villa,Jaden Philogene-Bidace,jaden-philogene-bidace,J. Philogene-Bidace,M,11,181,4489,M,1014461,EUR,1013126400,F,19,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,away,Aston Villa,Amadou Onana,amadou-onana,A. Onana,M,24,195,7169,M,923973,EUR,997920000,M,24,24,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,its_onana,,
