match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_totalCross,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_shotOffTarget,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_hitWoodwork,player_sofascoreId
12773671,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,326,M,187185,EUR,798768000,G,1,1,False,31.0,19.0,22.0,10.0,0.0,12.0,14.0,7.0,17.0,2.0,2.0,2.0,7.0,2.0,1.0,3.0,2.0,90.0,41.0,7.9,12.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
12773671,home,1. FC Köln,Julian Pauli,,,julian-pauli,J. Pauli,D,13,190,139,M,1885927,EUR,1121644800,D,24,24,False,27.0,21.0,6.0,2.0,0.0,17.0,18.0,4.0,9.0,,2.0,6.0,3.0,,,,,90.0,40.0,7.0,6.0,,0,3.0,5.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12773671,home,1. FC Köln,Timo Hübers,,,timo-hubers,T. Hübers,D,4,190,267,M,387220,EUR,837820800,D,4,4,False,45.0,37.0,7.0,1.0,0.0,28.0,30.0,9.0,15.0,1.0,5.0,6.0,6.0,,,,,90.0,62.0,7.5,9.0,,0,,2.0,1.0,2.0,2.0,1.0,True,2.0,2.0,1.0,,,,,,,,,,,,,,
12773671,home,1. FC Köln,Dominique Heintz,,,dominique-heintz,D. Heintz,D,3,188,92,M,136922,EUR,745372800,D,3,3,False,37.0,31.0,6.0,3.0,0.0,18.0,19.0,13.0,18.0,4.0,9.0,6.0,3.0,,,,,90.0,50.0,7.4,6.0,,0,2.0,4.0,,1.0,3.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,
12773671,home,1. FC Köln,Jan Thielmann,,,thielmann-jan,J. Thielmann,M,29,178,398,M,1010726,EUR,1022371200,M,29,29,False,24.0,20.0,4.0,4.0,1.0,10.0,12.0,10.0,14.0,1.0,3.0,2.0,5.0,,,,,90.0,56.0,7.5,13.0,3.0,1,2.0,5.0,,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,
12773671,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,933,M,988639,EUR,1020038400,M,6,6,False,32.0,23.0,5.0,2.0,0.0,17.0,22.0,6.0,10.0,1.0,7.0,1.0,4.0,,,,,90.0,47.0,6.5,12.0,,0,,7.0,1.0,,5.0,,,,1.0,4.0,,1.0,1.0,,,1.0,,,,,,,,
12773671,home,1. FC Köln,Denis Huseinbašić,,,denis-huseinbasic,D. Huseinbašić,M,8,184,955,M,1064842,EUR,994118400,M,8,8,False,45.0,41.0,1.0,,0.0,17.0,19.0,24.0,26.0,,4.0,,5.0,,,,,89.0,53.0,6.7,6.0,,1,,3.0,1.0,,2.0,1.0,,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,
12773671,home,1. FC Köln,Leart Paqarada,,,leart-paqarada,L. Paqarada,D,32,184,334,M,151581,EUR,781574400,M,17,17,False,46.0,28.0,7.0,2.0,1.0,8.0,11.0,21.0,40.0,,1.0,4.0,3.0,,,,,90.0,72.0,7.3,25.0,2.0,2,1.0,6.0,1.0,2.0,1.0,1.0,,,,3.0,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
12773671,home,1. FC Köln,Dejan Ljubičić,,,dejan-ljubicic,D. Ljubičić,M,21,186,824,M,869883,EUR,876268800,F,7,7,False,24.0,19.0,,,0.0,7.0,11.0,13.0,14.0,1.0,6.0,1.0,4.0,,,,,77.0,34.0,6.9,8.0,1.0,0,,2.0,,,1.0,,,,3.0,1.0,1.0,,2.0,,,2.0,1.0,,1.0,1.0,,,,
12773671,home,1. FC Köln,Tim Lemperle,,,tim-lemperle,T. Lemperle,F,19,186,847,M,1014290,EUR,1012867200,F,19,19,False,26.0,19.0,,,0.0,6.0,6.0,14.0,23.0,6.0,14.0,,3.0,,,,,89.0,50.0,8.2,14.0,1.0,4,3.0,8.0,2.0,,6.0,4.0,,,1.0,1.0,3.0,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,
