match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,player_firstName,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_wasFouled,stat_totalCross,stat_keyPass,player_sofascoreId,captain,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,player_lastName,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12117106,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,40.0,37.0,8.0,6.0,0.0,36.0,38.0,1.0,2.0,1.0,8.0,3.0,1.0,90.0,49.0,7.4,3.0,0.00022795,0,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117106,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,66.0,56.0,7.0,4.0,0.0,28.0,34.0,28.0,32.0,,6.0,,,90.0,86.0,7.2,12.0,0.0140644,2,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0526,,,,,,,,,,,,,,,,,,,,,,,
12117106,home,Bahia,Gabriel Xavier,gabriel-xavier,G. Xavier,D,3,190,1259,M,1117710,EUR,989107200,D,3,3,False,74.0,68.0,6.0,3.0,0.0,47.0,51.0,21.0,23.0,10.0,6.0,,,90.0,92.0,8.5,6.0,0.0338274,1,,3.0,4.0,,,,,2.0,1.0,1.0,,2.0,0.0388,Gabriel Xavier,1.0,3.0,1.0,1.0,2.0,0.0168,,,,,,,,,,,,,,,,
12117106,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,50.0,50.0,,,0.0,42.0,42.0,8.0,8.0,4.0,1.0,,,90.0,58.0,7.0,,0.00353636,0,,2.0,4.0,1.0,1.0,,,,,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,
12117106,home,Bahia,Luciano Juba,luciano-juba,L. Juba,D,46,176,3659,M,1017264,EUR,935884800,D,46,46,False,63.0,57.0,7.0,3.0,0.0,35.0,38.0,22.0,29.0,3.0,7.0,,,90.0,81.0,7.2,11.0,0.0178496,0,,3.0,3.0,,,,,,1.0,,,,,,3.0,2.0,,,1.0,,,4.0,1.0,,,,,,,,,,,,,
12117106,home,Bahia,Caio Alexandre,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,19,19,False,64.0,59.0,8.0,5.0,0.0,27.0,28.0,32.0,37.0,2.0,3.0,,,84.0,74.0,7.4,8.0,0.239053,2,,1.0,,,,1.0,1.0,,,,2.0,1.0,0.222,,,,,,,,,1.0,4.0,,,,,,,,,,,,,
12117106,home,Bahia,Everton Ribeiro,everton-ribeiro,E. Ribeiro,M,10,174,5845,M,145063,EUR,608169600,M,10,10,False,70.0,60.0,4.0,2.0,1.0,26.0,31.0,35.0,40.0,3.0,3.0,,,90.0,87.0,7.6,14.0,0.158325,2,,6.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.089,,,,,,,,2.0,1.0,5.0,evertonri,True,1.0,1.0,1.0,1.0,,,,,,,
12117106,home,Bahia,Cauly,cauly,Cauly,M,8,175,2903,M,255873,EUR,811123200,M,8,8,False,27.0,24.0,1.0,1.0,0.0,5.0,6.0,20.0,23.0,,2.0,,,77.0,41.0,7.5,10.0,0.280235,3,,3.0,1.0,2.0,1.0,,1.0,,,,2.0,,0.2,,,,2.0,,,0.3745,,2.0,3.0,,,1.0,,2.0,,,1.0,,,,,
12117106,home,Bahia,Jean Lucas,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,6,6,False,25.0,20.0,5.0,3.0,1.0,10.0,12.0,10.0,14.0,,2.0,,,77.0,35.0,7.6,7.0,0.0789113,2,,3.0,5.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0451,,,,1.0,,,0.0201,3.0,1.0,2.0,,,,2.0,,,,,,,,,
12117106,home,Bahia,Everaldo,everaldo,Everaldo,F,9,181,2414,M,386212,EUR,678672000,F,9,9,False,13.0,9.0,1.0,1.0,0.0,4.0,5.0,5.0,8.0,1.0,1.0,,,77.0,24.0,7.7,6.0,0.115978,3,,3.0,3.0,1.0,,,,,2.0,2.0,1.0,2.0,0.18,,,1.0,3.0,,,0.8603,,,2.0,,,,,,1.0,,,,,,,
12117106,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,F,16,16,False,8.0,8.0,,,0.0,3.0,3.0,6.0,6.0,,,,,71.0,16.0,7.4,1.0,0.244751,3,,4.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.4921,,3.0,,1.0,,1.0,0.6918,,1.0,2.0,,,1.0,,,,,1.0,1.0,1.0,,,
12117106,home,Bahia,Biel,biel,Biel,F,20,169,2141,M,1106140,EUR,986083200,F,11,11,True,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,,,,,19.0,12.0,6.9,2.0,0.0468457,2,,1.0,1.0,2.0,1.0,1.0,,,,,,,0.2308,Gabriel,,,1.0,,,0.2638,,,,,,,,,,Teixeira Aragão,,,,,,
