match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_unsuccessfulTouch,stat_outfielderBlock,stat_challengeLost,stat_errorLeadToAShot,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_bigChanceMissed,player_sofascoreId
10408578,home,Elche,Édgar Badía,,,edgar-badia,É. Badía,G,13,181.0,194,M,811557,EUR,697852800,G,13,13,False,26.0,20.0,11.0,5.0,20.0,23.0,3.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,36.0,7.6,6.0,0.0,0.0,6.89e-05,0,0.1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408578,home,Elche,Josan,,,josan,Josan,M,17,175.0,169,M,808955,EUR,628646400,D,17,17,False,42.0,36.0,5.0,1.0,23.0,26.0,19.0,,7.0,4.0,7.0,3.0,,,,,,90.0,66.0,8.0,9.0,0.0,0.0,0.0306394,0,,1.0,14.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,
10408578,home,Elche,Lisandro Magallán,,,lisandro-magallan,L. Magallán,D,16,185.0,272,M,248125,EUR,749088000,D,7,7,False,42.0,29.0,7.0,3.0,23.0,29.0,13.0,,1.0,2.0,11.0,,,,,,,90.0,49.0,6.9,14.0,0.0,0.0,0.00285192,0,,,6.0,,,5.0,,,,2.0,1.0,1.0,2.0,,3.0,1.0,,,,,,,,,,,,,
10408578,home,Elche,Carlos Clerc,,,carlos-clerc,C. Clerc,D,18,182.0,71,M,192430,EUR,698630400,D,23,23,False,36.0,23.0,8.0,1.0,16.0,20.0,16.0,1.0,10.0,5.0,8.0,2.0,,,,,,90.0,58.0,7.7,14.0,0.0,0.0,0.007064,0,,,7.0,,,1.0,3.0,3.0,,1.0,4.0,2.0,1.0,,,,1.0,,,,,,,,,,,,
10408578,home,Elche,Lautaro Blanco,,,lautaro-blanco,L. Blanco,D,3,176.0,1085,M,989865,EUR,919382400,D,2,2,False,23.0,16.0,4.0,4.0,10.0,14.0,12.0,,4.0,,5.0,1.0,,,,,,69.0,36.0,7.0,11.0,0.0,0.0,0.45374,0,,1.0,7.0,3.0,1.0,3.0,1.0,,1.0,,3.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,
10408578,home,Elche,John Donald,John Donald,,john-nwankwo,J. Donald,D,18,185.0,201,M,1094758,EUR,969840000,M,26,26,False,33.0,28.0,,,21.0,22.0,11.0,,3.0,1.0,9.0,1.0,,,,,,90.0,41.0,6.9,6.0,0.0,0.0,0.00798716,0,,,7.0,,,2.0,,,,2.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,
10408578,home,Elche,Gerard Gumbau,,,gerard-gumbau,G. Gumbau,M,15,187.0,380,M,326471,EUR,787708800,M,20,20,False,24.0,21.0,4.0,2.0,12.0,14.0,12.0,,2.0,1.0,7.0,2.0,,,,,,73.0,36.0,8.3,6.0,0.3933,0.7191,0.0491773,3,,1.0,10.0,2.0,1.0,4.0,1.0,,1.0,,,,1.0,2.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,
10408578,home,Elche,Tete Morente,,,tete-morente,T. Morente,F,15,180.0,435,M,605374,EUR,849657600,M,11,11,False,28.0,22.0,,,6.0,8.0,25.0,1.0,6.0,,5.0,1.0,,,,,,90.0,53.0,8.2,12.0,0.675,0.2661,0.193205,6,,,17.0,5.0,1.0,5.0,4.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,2.0,3.0,1.0,2.0,1.0,1.0,,,
10408578,home,Elche,Fidel,,,fidel,Fidel,F,10,179.0,132,M,116607,EUR,625449600,M,16,16,False,36.0,29.0,2.0,2.0,12.0,16.0,20.0,,1.0,,4.0,,,,,,,70.0,46.0,8.2,12.0,0.2868,0.5732,0.442228,1,,1.0,17.0,,,1.0,1.0,,1.0,,1.0,1.0,,2.0,,2.0,,,,,,1.0,1.0,,,,True,,
10408578,home,Elche,Pere Milla,,,pere-milla,P. Milla,M,11,179.0,867,M,175185,EUR,717206400,M,10,10,False,14.0,14.0,,,7.0,7.0,7.0,1.0,4.0,1.0,1.0,2.0,,,,,,73.0,26.0,6.4,4.0,0.2838,0.431,0.00323764,1,,,7.0,,,3.0,3.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,
