match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_challengeLost,stat_goals,player_firstName,player_lastName,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAShot
12763924,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15470,M,MMaignan,191210,EUR,804729600,G,16,16,False,30.0,30.0,4.0,4.0,0.0,30.0,30.0,7.0,1.0,3.0,4.0,2.0,2.0,90.0,38.0,7.4,0.00018244,0,-0.0647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763924,home,Milan,Emerson Royal,emerson-royal,E. Royal,D,,183,10094,M,emerson_royal,856123,EUR,916272000,D,22,22,False,74.0,73.0,,,0.0,32.0,32.0,2.0,,,,,,90.0,92.0,7.3,0.0323794,1,,41.0,44.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,0.0426,2.0,,,,,,,,,,,,,,,,,,,,,
12763924,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3413,M,,826195,EUR,940464000,D,46,46,False,82.0,79.0,9.0,8.0,0.0,46.0,46.0,2.0,,,,,,83.0,90.0,7.1,0.018354,1,,33.0,36.0,,,2.0,3.0,2.0,,,,3.0,3.0,0.1033,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,
12763924,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7149,M,fikayotomori,788255,EUR,882489600,D,23,23,False,120.0,117.0,,,0.0,64.0,64.0,3.0,,,,,,90.0,125.0,7.0,0.0469261,1,,53.0,56.0,,2.0,1.0,3.0,1.0,,,,1.0,3.0,0.0971,,,2.0,,1.0,0.12,,,,,,,,,,,,,,,,
12763924,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26472,M,TheoHdez,788027,EUR,876096000,D,19,19,False,72.0,67.0,4.0,3.0,0.0,19.0,19.0,7.0,,,,,,90.0,96.0,7.8,0.0643001,3,,50.0,57.0,4.0,,1.0,,7.0,1.0,,1.0,,8.0,0.1817,2.0,2.0,1.0,,,,True,2.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,
12763924,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7204,M,rlc,284441,EUR,822355200,M,8,8,False,23.0,22.0,1.0,1.0,0.0,9.0,9.0,3.0,,,,,,60.0,28.0,6.6,0.00700683,0,,13.0,14.0,,1.0,,3.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,
12763924,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6195,M,YFofana19_,945062,EUR,915926400,M,29,29,False,61.0,58.0,1.0,,0.0,27.0,27.0,5.0,,,,,,75.0,72.0,6.5,0.0224732,2,,31.0,34.0,,2.0,1.0,7.0,2.0,,,,,7.0,0.0602,,2.0,,,,,,,2.0,1.0,,,,3.0,1.0,,,,,,,
12763924,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38547,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,43.0,41.0,1.0,,0.0,10.0,10.0,,,,,,,90.0,55.0,8.4,0.0727998,2,,31.0,33.0,,1.0,,3.0,3.0,,,2.0,,8.0,0.5513,,,,,2.0,1.0221,,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,
12763924,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37634,M,CMPulisic,817957,EUR,906076800,F,11,11,False,43.0,41.0,1.0,1.0,0.0,9.0,9.0,3.0,,,,,,90.0,59.0,8.3,0.25559,3,,33.0,36.0,2.0,,,1.0,4.0,,,2.0,,6.0,0.1397,3.0,1.0,,,2.0,0.1366,,1.0,3.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,
12763924,home,Milan,Álvaro Morata,alvaro-morata,Á. Morata,F,7,189,27997,M,ÁMorata,125407,EUR,719798400,F,7,7,False,13.0,10.0,2.0,,0.0,6.0,6.0,1.0,,,,,,75.0,18.0,6.6,0.0177305,0,,4.0,7.0,,,,3.0,4.0,,,,1.0,4.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,
12763924,home,Milan,Rafael Leão,rafael-leao,R. Leão,M,10,188,75257,M,RLeão,851284,EUR,928972800,F,10,10,False,30.0,24.0,2.0,1.0,0.0,7.0,7.0,2.0,,,,,,60.0,49.0,7.7,0.0949193,0,,18.0,24.0,1.0,,1.0,3.0,11.0,,,3.0,,12.0,,3.0,,,,,,,1.0,11.0,9.0,1.0,1.0,,1.0,,,,,,,,
