match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_interceptionWon,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_totalContest,captain,stat_totalOffside,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_challengeLost
12504359,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,D,20,20,True,8.0,6.0,,,0.0,5.0,6.0,1.0,3.0,,,,,,,,,,27.0,13.0,6.5,5.0,0.00050016,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Yann Karamoh,yann-karamoh,Y. Karamoh,F,75,185,1024,M,802149,EUR,899856000,F,7,7,True,5.0,3.0,,,0.0,2.0,2.0,1.0,4.0,,1.0,,,,,,,,15.0,12.0,6.4,7.0,0.00023514,1,,1.0,,1.0,,1.0,,,,3.0,,,,,,,0.0258,,,,,,,,,,,,,1.0,,
12504359,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,9.724e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192,344,M,259281,EUR,715046400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Antonio Donnarumma,antonio-donnarumma,A. Donnarumma,G,1,192,596,M,125921,EUR,647308800,G,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Ali Dembélé,dembele-ali,A. Dembélé,D,3,185,224,M,1397347,EUR,1073260800,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,D,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Borna Sosa,borna-sosa,B. Sosa,M,24,187,3741,M,357584,EUR,885340800,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,BornaSosa,,,,,,,
12504359,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,home,Torino,Amine Salama,amine-salama,A. Salama,F,19,192,769,M,1175856,EUR,963878400,F,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Salama,,,,,,,,,
12504359,away,Empoli,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191,324,M,43970,EUR,667872000,G,1,1,False,30.0,18.0,26.0,14.0,0.0,6.0,7.0,12.0,23.0,,8.0,1.0,,,2.0,,,,90.0,36.0,6.7,12.0,0.00633139,0,-0.3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Luca Marianucci,marianucci-luca,L. Marianucci,D,35,186,890,M,1165371,EUR,1090540800,D,35,35,False,25.0,15.0,12.0,7.0,0.0,9.0,14.0,6.0,14.0,2.0,4.0,,,,,,,,90.0,42.0,6.8,14.0,0.0075574,0,,3.0,3.0,4.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Ardian Ismajli,ardian-ismajli,A. Ismajli,D,44,188,1151,M,840414,EUR,844041600,D,34,34,False,32.0,30.0,2.0,1.0,0.0,29.0,29.0,1.0,3.0,10.0,6.0,,,,,,,,90.0,49.0,7.1,2.0,0.00039468,1,,,,1.0,7.0,,1.0,3.0,1.0,,,1.0,4.0,1.0,1.0,1.0,0.1796,,,,,,,,,,,,,,,
12504359,away,Empoli,Liberato Cacace,liberato-cacace,L. Cacace,D,13,184,514,M,905264,EUR,970012800,D,13,13,False,58.0,46.0,13.0,6.0,0.0,30.0,32.0,18.0,33.0,,4.0,,,,,,,,90.0,71.0,7.0,19.0,0.206917,0,,7.0,2.0,3.0,2.0,,,1.0,,,,,1.0,2.0,,,,2.0,1.0,,,2.0,,,,1.0,,,,,,
12504359,away,Empoli,Junior Sambia,junior-sambia,J. Sambia,M,,185,154,M,603738,EUR,842054400,M,7,7,False,15.0,10.0,3.0,2.0,0.0,1.0,4.0,12.0,19.0,1.0,3.0,,,,,,,,76.0,40.0,6.8,14.0,0.123037,4,,8.0,2.0,4.0,3.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,0.2147,3.0,,,,1.0,,,,,,,,2.0,,
12504359,away,Empoli,Alberto Grassi,alberto-grassi,A. Grassi,M,33,183,263,M,186845,EUR,794534400,M,5,5,False,34.0,27.0,5.0,2.0,0.0,12.0,14.0,15.0,20.0,2.0,8.0,,,,,,,,90.0,51.0,7.0,11.0,0.021104,1,,,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,0.0899,,,,,,,,,,True,,,1.0,,
12504359,away,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183,304,M,287573,EUR,830390400,M,6,6,False,33.0,27.0,5.0,3.0,0.0,14.0,15.0,13.0,19.0,,2.0,,,,,,,,86.0,39.0,6.5,7.0,0.00516326,1,,1.0,1.0,5.0,2.0,,,1.0,1.0,,1.0,2.0,,,,,0.0243,,,,,,,,,,,,,1.0,,2.0
12504359,away,Empoli,Giuseppe Pezzella,giuseppe-pezzella,G. Pezzella,M,3,187,619,M,814589,EUR,880761600,M,3,3,False,17.0,12.0,2.0,,0.0,7.0,7.0,8.0,14.0,3.0,2.0,,,,,,,,90.0,45.0,7.4,9.0,0.193487,2,,4.0,1.0,4.0,5.0,,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,0.0975,3.0,1.0,,,4.0,,,,1.0,,,,,,
12504359,away,Empoli,Sebastiano Esposito,sebastiano-esposito,S. Esposito,F,94,186,4178,M,965008,EUR,1025568000,F,99,99,False,10.0,7.0,1.0,1.0,0.0,,,7.0,10.0,2.0,,,,,,,,,67.0,21.0,6.8,8.0,0.0583093,1,,,2.0,4.0,4.0,2.0,,2.0,,3.0,,,2.0,,,,0.0291,,,,,2.0,,,,,,,,1.0,,
12504359,away,Empoli,Emmanuel Gyasi,emmanuel-gyasi,E. Gyasi,M,11,182,716,M,541578,EUR,758246400,F,11,11,False,23.0,17.0,2.0,2.0,0.0,6.0,9.0,12.0,16.0,1.0,5.0,,,,,,,,90.0,45.0,7.1,16.0,0.067779,3,,2.0,,4.0,6.0,2.0,,,,6.0,2.0,1.0,4.0,,,1.0,0.1973,1.0,,1.0,0.0622,1.0,,,,1.0,,2.0,,1.0,,
12504359,away,Empoli,Christian Kouamé,christian-kouame,C. Kouamé,F,31,185,2375,M,812946,EUR,881366400,F,18,18,False,27.0,18.0,,,0.0,3.0,5.0,15.0,22.0,1.0,3.0,,,,,,,,90.0,44.0,7.1,14.0,0.0260818,2,,,9.0,13.0,14.0,1.0,,,,2.0,3.0,1.0,11.0,,,1.0,0.1248,,,,,2.0,,,christianmichael.11,2.0,,,,1.0,,
12504359,away,Empoli,Lorenzo Colombo,lorenzo-colombo,L. Colombo,F,29,183,2440,M,930191,EUR,1015545600,F,29,29,True,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,,1.0,,,,,,,,23.0,7.0,6.5,3.0,0.00348747,0,,,2.0,3.0,3.0,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Viktor Kovalenko,viktor-kovalenko,V. Kovalenko,M,21,182,749,M,287659,EUR,824256000,M,20,20,True,4.0,3.0,1.0,1.0,0.0,,,3.0,4.0,,1.0,,,,,,,,14.0,4.0,6.6,1.0,0.00460679,0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Ismael Konate,ismael-konate,I. Konate,F,51,183,218,M,1397346,EUR,1143590400,F,90,90,True,4.0,1.0,,,0.0,,,1.0,4.0,,1.0,,,,,,,,12.0,6.0,6.8,3.0,0.00499732,1,,,,,,,,,,,,,,,,,0.0095,,,1.0,0.0751,,,,,,,,,,,
12504359,away,Empoli,Jacopo Seghetti,jacopo-seghetti,J. Seghetti,G,12,190,162,M,1397725,EUR,1108598400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Federico Brancolini,federico-brancolini,F. Brancolini,G,12,192,112,M,848420,EUR,995068800,G,98,98,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Devis Vásquez,devis-vasquez,D. Vásquez,G,32,195,2465,M,925285,EUR,894931200,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Saba Goglichidze,saba-goglichidze,S. Goglichidze,D,3,192,1618,M,1126175,EUR,1088121600,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Mattia De Sciglio,mattia-de-sciglio,M. De Sciglio,D,,183,1055,M,137667,EUR,719539200,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Tyronne Ebuehi,tyronne-ebuehi,T. Ebuehi,D,24,187,664,M,580512,EUR,819072000,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Lorenzo Tosto,lorenzo-tosto,L. Tosto,D,29,188,83,M,1466118,EUR,1138492800,D,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Tosto,,,,,,,,,
12504359,away,Empoli,Jacopo Bacci,jacopo-bacci,J. Bacci,M,21,173,91,M,1163081,EUR,1119139200,M,36,36,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Ank Asmussen,ank-asmussen,A. Asmussen,M,41,188,45,M,1955539,EUR,1135900800,F,41,41,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504359,away,Empoli,Thomas Campaniello,thomas-campaniello,T. Campaniello,F,89,185,378,M,1825909,EUR,1204243200,F,89,89,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
