match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAShot,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12504361,home,Monza,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,30,30,False,30.0,25.0,10.0,5.0,0.0,23.0,24.0,2.0,6.0,2.0,12.0,1.0,5.0,90.0,49.0,7.6,5.0,0.00152963,0,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504361,home,Monza,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,287,M,807291,EUR,885427200,D,13,13,False,37.0,34.0,1.0,1.0,0.0,23.0,23.0,11.0,15.0,4.0,1.0,,,90.0,52.0,6.8,6.0,0.00534257,0,,,,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12504361,home,Monza,Armando Izzo,armando-izzo,A. Izzo,D,4,183,521,M,165583,EUR,699494400,D,4,4,False,60.0,52.0,7.0,3.0,0.0,45.0,49.0,7.0,11.0,5.0,4.0,,,90.0,77.0,7.6,10.0,0.00322096,1,,,,,1.0,4.0,7.0,,,1.0,,1.0,2.0,,1.0,True,2.0,1.0,1.0,1.0,4.0,2.0,0.1463,0.4874,,,,,,,,,,,
12504361,home,Monza,Danilo D'Ambrosio,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,107936,EUR,589766400,D,33,33,False,74.0,67.0,7.0,3.0,1.0,54.0,57.0,14.0,18.0,4.0,2.0,,,90.0,89.0,7.6,7.0,0.00901578,0,,,,1.0,,2.0,9.0,1.0,,1.0,1.0,,5.0,4.0,,,2.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,
12504361,home,Monza,Samuele Birindelli,samuele-birindelli,S. Birindelli,M,19,175,231,M,856729,EUR,932342400,M,19,19,False,26.0,19.0,1.0,1.0,0.0,13.0,17.0,8.0,14.0,,2.0,,,72.0,43.0,7.0,14.0,0.0428625,1,,,,5.0,1.0,4.0,4.0,1.0,,2.0,2.0,,1.0,1.0,4.0,,,1.0,,1.0,1.0,2.0,0.1164,0.0854,2.0,,1.0,,,,,,,,
12504361,home,Monza,Gaetano Castrovilli,gaetano-castrovilli,G. Castrovilli,M,8,185,640,M,587628,EUR,856137600,M,11,11,False,16.0,13.0,,,0.0,6.0,8.0,9.0,11.0,2.0,1.0,,,72.0,29.0,6.9,8.0,0.263122,1,,,,3.0,,3.0,3.0,1.0,1.0,,,,3.0,1.0,3.0,,,,,,,1.0,0.1171,,2.0,,2.0,1.0,,,,,,,
12504361,home,Monza,Alessandro Bianco,bianco-alessandro,A. Bianco,M,22,173,528,M,1101992,EUR,1033430400,M,42,42,False,23.0,20.0,5.0,3.0,0.0,16.0,17.0,4.0,6.0,2.0,3.0,,,80.0,37.0,6.9,5.0,0.00176355,1,,,,,2.0,6.0,2.0,2.0,2.0,,,1.0,2.0,1.0,,,,1.0,,2.0,,,0.0219,0.0368,,,,,,,,,,,
12504361,home,Monza,Kevin Zeroli,zeroli-kevin,K. Zeroli,M,8,187,1422,M,1397348,EUR,1105401600,M,18,18,False,15.0,9.0,1.0,,0.0,8.0,8.0,1.0,8.0,1.0,3.0,,,85.0,29.0,6.8,8.0,0.00055637,2,,,,1.0,,2.0,4.0,,1.0,,,,3.0,,,,1.0,1.0,,1.0,,1.0,0.0353,0.3817,,,,,1.0,1.0,,,,,
12504361,home,Monza,Georgios Kyriakopoulos,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,377302,EUR,823478400,M,77,77,False,38.0,30.0,6.0,2.0,0.0,22.0,24.0,13.0,24.0,2.0,3.0,,,80.0,70.0,7.4,17.0,0.25477,2,,,,10.0,,4.0,3.0,2.0,,,,,1.0,1.0,2.0,,1.0,,,,1.0,2.0,0.0675,,5.0,,5.0,2.0,,,,,,,
12504361,home,Monza,Keita Baldé,keita-balde,K. Baldé,F,17,178,2102,M,317699,EUR,794620800,F,17,17,False,27.0,23.0,1.0,1.0,0.0,10.0,12.0,13.0,16.0,,1.0,,,90.0,46.0,6.8,11.0,0.0166679,3,,,,1.0,1.0,6.0,5.0,,3.0,3.0,1.0,,,,1.0,,,,,,4.0,,0.1034,,,,,2.0,1.0,,,,,,
