match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,rescinded,player_id,player_name,description,reason,confirmed
12504411,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12504411,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,,,
12504411,,,,,85,,,6,,,substitution,,123523641.0,False,True,regular,,,,,,,
12504411,,,,,85,,,6,,,substitution,,123523642.0,False,False,regular,,,,,,,
12504411,,,,,76,,,15,,,substitution,,123523579.0,False,False,regular,,,,,,,
12504411,,,,,76,,,15,,,card,,121880471.0,,False,yellow,Vanja Milinković-Savić,False,356160.0,Vanja Milinković-Savić,,,
12504411,,,,,74,,,17,,,inGamePenalty,,118514247.0,,True,missed,,,914501.0,Mateo Retegui,Goalkeeper save,goalkeeperSave,
12504411,,,,,72,,,19,,,card,,121880463.0,,False,yellow,Adrien Tameze,False,139235.0,Adrien Tameze,,Foul,
12504411,,,,,63,,,28,,,substitution,,123523474.0,False,False,regular,,,,,,,
12504411,,,,,63,,,28,,,substitution,,123523473.0,False,False,regular,,,,,,,
12504411,,,,,57,,,34,,,substitution,,123523429.0,False,True,regular,,,,,,,
12504411,,,,,57,,,34,,,substitution,,123523428.0,False,True,regular,,,,,,,
12504411,,,,,57,,,34,,,substitution,,123523430.0,False,True,regular,,,,,,,
12504411,,,,,46,,,45,,,substitution,,123523357.0,False,False,regular,,,,,,,
12504411,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12504411,,,,,45,1.0,,1,,,card,,121880273.0,,False,yellow,Saul Coco,False,1089453.0,Saúl Coco,,Foul,
12504411,,,,,45,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
12504411,,1.0,1.0,,40,,,6,,,goal,,195167617.0,,False,regular,,,339909.0,Guillermo Maripán,,,
12504411,,1.0,0.0,,35,,,11,,,goal,,195166859.0,,True,regular,,,151003.0,Berat Djimsiti,,,
12504411,,,,,30,,,16,,,substitution,,123523130.0,True,True,injury,,,,,,,
12504411,,,,,22,,,24,,,varDecision,,30943.0,,True,goalAwarded,,,826185.0,Raoul Bellanova,,,False
