match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_totalOffside,player_sofascoreId,stat_interceptionWon,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_outfielderBlock,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_errorLeadToAShot
11067597,home,São Paulo,Rafael,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,24.0,18.0,11.0,5.0,16.0,16.0,2.0,8.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,90.0,36.0,7.5,7.0,0.0,0.0,0.00157456,0,0.2172,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067597,home,São Paulo,Rafinha,rafinha,Rafinha,D,13,172,1493,M,12634,EUR,494899200,D,13,13,False,76.0,66.0,10.0,6.0,38.0,41.0,29.0,39.0,3.0,3.0,5.0,,,,,,,,90.0,99.0,7.1,15.0,0.0,0.0,0.0349474,0,,True,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11067597,home,São Paulo,Robert Arboleda,robert-arboleda,R. Arboleda,D,5,187,3954,M,338937,EUR,688089600,D,5,5,False,75.0,70.0,6.0,4.0,53.0,55.0,17.0,20.0,8.0,2.0,6.0,,3.0,3.0,,,,,90.0,88.0,7.7,6.0,0.2493,0.4589,0.00388614,2,,,,,4.0,4.0,4.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,
11067597,home,São Paulo,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17540,M,1108441,EUR,1069632000,D,35,35,False,61.0,57.0,7.0,4.0,37.0,39.0,20.0,22.0,2.0,2.0,5.0,,1.0,1.0,,,,,90.0,71.0,7.5,4.0,0.021,0.1166,0.349706,1,,,,,1.0,,1.0,,,1.0,,Lucas Beraldo,,1.0,,lberaldo,2.0,1.0,,,,,,,,,,
11067597,home,São Paulo,Caio Paulista,caio-paulista,C. Paulista,D,38,184,1649,M,931591,EUR,894844800,D,38,38,False,46.0,38.0,,,12.0,16.0,27.0,33.0,5.0,,4.0,,2.0,2.0,,,,,83.0,81.0,6.8,18.0,0.0882,0.1356,0.245263,2,,,3.0,1.0,1.0,1.0,9.0,5.0,2.0,,3.0,,,2.0,,,,1.0,2.0,1.0,1.0,2.0,,,,,,
11067597,home,São Paulo,Alisson,alisson,Alisson,M,25,174,2789,M,291723,EUR,740966400,M,7,7,False,56.0,48.0,3.0,3.0,12.0,16.0,36.0,40.0,3.0,,2.0,,,,,,,,84.0,73.0,6.8,14.0,0.0941,0.4761,0.0792942,1,,,,,3.0,,8.0,6.0,3.0,,,,,1.0,,,2.0,,2.0,,,2.0,1.0,,,,,
11067597,home,São Paulo,Pablo Maia,pablo-maia,P. Maia,M,29,178,3211,M,1120721,EUR,1010620800,M,29,29,False,59.0,54.0,10.0,10.0,19.0,21.0,35.0,38.0,9.0,,10.0,,2.0,1.0,,,,,90.0,78.0,7.2,8.0,0.0223,0.0,0.0432322,1,,,,,,,7.0,4.0,3.0,4.0,2.0,Pablo Maia,,,,,,1.0,3.0,1.0,,,1.0,1.0,,,,
11067597,home,São Paulo,Wellington Rato,wellington-rato,W. Rato,M,10,172,1278,M,865356,EUR,708825600,M,27,27,False,30.0,23.0,6.0,4.0,5.0,6.0,18.0,29.0,2.0,2.0,5.0,,1.0,1.0,,,,,68.0,50.0,6.9,16.0,0.0,0.0,0.143268,0,,,5.0,,1.0,,5.0,2.0,1.0,,,,,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,
11067597,home,São Paulo,Rodrigo Nestor,rodrigo-nestor,R. Nestor,M,11,174,2064,M,905461,EUR,965779200,M,11,11,False,32.0,27.0,5.0,3.0,13.0,13.0,15.0,21.0,3.0,,3.0,,,,,,,,67.0,46.0,7.0,10.0,0.8415,1.1262,0.067301,4,,,2.0,1.0,1.0,,5.0,3.0,3.0,,2.0,,,3.0,,,,2.0,2.0,,2.0,3.0,,,2.0,1.0,1.0,
11067597,home,São Paulo,David,david,David,M,7,179,2160,M,840291,EUR,813888000,M,22,22,False,32.0,19.0,1.0,,1.0,1.0,19.0,32.0,10.0,,2.0,,1.0,,,,,,90.0,55.0,7.0,17.0,0.431,1.1399,0.371187,3,,,1.0,1.0,2.0,,8.0,8.0,6.0,3.0,3.0,,,2.0,2.0,,,4.0,1.0,1.0,1.0,1.0,,,3.0,1.0,,
