match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,captain,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside
11391378,home,RC Strasbourg,Alaa Bellaarouch,,,alaa-bellaarouch,A. Bellaarouch,G,36,188,1255,M,1000501,EUR,1009843200,G,36,36,False,16.0,13.0,6.0,3.0,11.0,11.0,2.0,5.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,3.0,90.0,29.0,6.2,3.0,0.00027,0,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391378,home,RC Strasbourg,Marvin Senaya,Marvin Senaya,,marvin-senaya,M. Senaya,D,29,179,213,M,1087805,EUR,980640000,D,28,28,False,40.0,36.0,2.0,1.0,17.0,17.0,19.0,27.0,,2.0,1.0,1.0,,1.0,,,,56.0,54.0,6.4,9.0,0.0131877,0,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11391378,home,RC Strasbourg,Lucas Perrin,,,lucas-perrin,L. Perrin,D,4,187,210,M,941077,EUR,911433600,D,5,5,False,98.0,89.0,12.0,8.0,33.0,34.0,56.0,64.0,,2.0,1.0,6.0,,2.0,,,,90.0,106.0,7.3,10.0,0.30145,0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11391378,home,RC Strasbourg,Abakar Sylla,Abakar Sylla,,abakar-sylla,A. Sylla,D,4,188,887,M,1170197,EUR,1040774400,D,24,24,False,97.0,90.0,9.0,6.0,47.0,49.0,43.0,49.0,3.0,7.0,2.0,9.0,,,,,,90.0,108.0,7.2,8.0,0.0170382,1,,1.0,4.0,1.0,,3.0,,,2.0,,2.0,1.0,1.0,1.0,0.0892,,,,,,,,,,,,,
11391378,home,RC Strasbourg,Frédéric Guilbert,,,frederic-guilbert,F. Guilbert,D,,178,402,M,372430,EUR,788227200,D,2,2,False,63.0,53.0,1.0,,20.0,23.0,34.0,47.0,1.0,5.0,3.0,9.0,,,,,,90.0,88.0,7.7,20.0,0.100214,1,,7.0,3.0,1.0,1.0,5.0,,1.0,1.0,,1.0,3.0,,,0.1834,True,1.0,1.0,3.0,1.0,1.0,1.0,0.4343,,,,,
11391378,home,RC Strasbourg,Dilane Bakwa,,,dilane-bakwa,D. Bakwa,M,29,179,2042,M,963298,EUR,1030320000,M,26,26,False,38.0,29.0,1.0,1.0,8.0,9.0,27.0,43.0,,3.0,2.0,5.0,,2.0,,,,90.0,73.0,7.6,20.0,0.561365,2,,14.0,,,1.0,8.0,2.0,,,,3.0,5.0,2.0,1.0,0.1133,,6.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,
11391378,home,RC Strasbourg,Junior Mwanga,,,junior-mwanga,J. Mwanga,M,18,184,472,M,1197153,EUR,1052611200,M,18,18,False,32.0,28.0,2.0,1.0,10.0,10.0,18.0,23.0,2.0,7.0,1.0,3.0,,,,,,80.0,51.0,7.2,10.0,0.0293748,2,,1.0,2.0,2.0,,4.0,,2.0,,1.0,1.0,2.0,,1.0,0.0692,,,2.0,4.0,3.0,,,,,,1.0,,
11391378,home,RC Strasbourg,Ismael Doukouré,Ismael Doukoure,,ismael-doukoure,I. Doukouré,D,6,183,1100,M,1049517,EUR,1059004800,M,29,29,False,48.0,41.0,3.0,2.0,20.0,22.0,21.0,26.0,1.0,3.0,,5.0,,,,,,56.0,56.0,6.3,12.0,0.0436079,0,,,1.0,,1.0,4.0,,,,2.0,,,,,,,,2.0,2.0,1.0,,,,,,,,
11391378,home,RC Strasbourg,Jessy Deminguet,,,jessy-deminguet,J. Deminguet,M,20,178,128,M,902657,EUR,884131200,M,7,7,False,12.0,11.0,,,6.0,6.0,5.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,56.0,27.0,6.2,5.0,0.0027721,3,,1.0,2.0,1.0,,4.0,,,,2.0,2.0,,1.0,2.0,0.2642,,,,1.0,,1.0,,0.2645,,,,,
11391378,home,RC Strasbourg,Habib Diarra,Habib,Diarra,habib-diarra,H. Diarra,M,19,179,12696,M,1128532,EUR,1073088000,F,19,19,False,50.0,48.0,2.0,2.0,18.0,18.0,30.0,33.0,,4.0,1.0,4.0,,1.0,,,,80.0,63.0,7.0,6.0,0.139637,1,,1.0,2.0,2.0,,3.0,,,,1.0,1.0,,1.0,1.0,0.0241,,,1.0,1.0,1.0,,,,,,,,
