match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_goalAssist,stat_aerialWon,stat_totalCross,stat_hitWoodwork,stat_fouls,player_sofascoreId,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,captain,stat_outfielderBlock,stat_ownGoals
10385076,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193.0,4345,M,249859,EUR,727401600,G,1,1,False,32.0,29.0,4.0,1.0,29.0,30.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,90.0,39.0,6.7,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385076,home,PSV Eindhoven,Ki-Jana Hoever,,,ki-jana-hoever,K. Hoever,D,12,180.0,943,M,954044,EUR,1011312000,D,2,2,False,48.0,41.0,5.0,4.0,14.0,14.0,34.0,10.0,,,,,,90.0,80.0,7.2,16.0,0,27.0,7.0,9.0,2.0,1.0,8.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10385076,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183.0,1080,M,825846,EUR,938649600,D,3,3,False,118.0,104.0,17.0,11.0,63.0,65.0,53.0,8.0,,,,,,90.0,124.0,6.9,16.0,1,41.0,3.0,2.0,1.0,,1.0,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10385076,home,PSV Eindhoven,Armando Obispo,,,armando-obispo,A. Obispo,D,4,184.0,450,M,825838,EUR,920592000,D,4,4,False,68.0,62.0,9.0,7.0,40.0,42.0,26.0,11.0,,,,,,60.0,76.0,7.8,6.0,0,22.0,,3.0,,,,,1.0,2.0,,,,1.0,1.0,,,4.0,1.0,2.0,,,,,,,,,,,,,
10385076,home,PSV Eindhoven,Philipp Max,,,philipp-max,P. Max,D,,178.0,608,M,142672,EUR,749347200,D,31,31,False,29.0,26.0,1.0,1.0,15.0,16.0,15.0,7.0,,,,,,45.0,39.0,6.7,5.0,0,11.0,,1.0,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,
10385076,home,PSV Eindhoven,Érick Gutiérrez,,,erick-gutierrez,É. Gutiérrez,M,15,181.0,915,M,590700,EUR,803174400,M,15,15,False,105.0,99.0,12.0,11.0,57.0,60.0,45.0,3.0,,,,,,90.0,110.0,7.0,6.0,0,42.0,4.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,
10385076,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3780,M,850816,EUR,911433600,M,23,23,False,34.0,28.0,4.0,2.0,11.0,12.0,22.0,5.0,,,,,,45.0,40.0,6.7,8.0,0,17.0,2.0,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,
10385076,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179.0,6820,M,1088896,EUR,1050796800,M,27,27,False,22.0,19.0,,,4.0,5.0,20.0,1.0,,,,,,90.0,42.0,8.1,9.0,3,17.0,1.0,7.0,,,2.0,1.0,1.0,,4.0,2.0,3.0,1.0,2.0,,1.0,,,1.0,3.0,,,johanbakayoko,2.0,1.0,1.0,1.0,,,,,
10385076,home,PSV Eindhoven,Xavi Simons,,,xavi-simons,X. Simons,M,7,179.0,50786,M,997183,EUR,1050883200,M,7,7,False,31.0,26.0,3.0,3.0,5.0,5.0,26.0,2.0,,,,,,90.0,49.0,6.3,13.0,2,21.0,4.0,5.0,,,3.0,,,,2.0,2.0,5.0,2.0,1.0,1.0,,,1.0,1.0,,,,XaviSimons,,1.0,1.0,,2.0,,,,
10385076,home,PSV Eindhoven,Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,193.0,51143,M,862967,EUR,926035200,M,11,11,False,24.0,21.0,,,6.0,7.0,19.0,2.0,,,,,,60.0,37.0,8.4,9.0,3,15.0,3.0,2.0,,,2.0,1.0,,,,,3.0,1.0,,,,,,,2.0,,2.0,CodyGakpo,,3.0,,2.0,,1.0,,,
