match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_challengeLost,stat_penaltyConceded,stat_dispossessed,stat_totalContest,stat_wonContest,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_penaltyWon
12514039,home,FC Arouca,Nico Mantl,,,nico-mantl,N. Mantl,G,58,193,162,M,888592,EUR,949795200,G,58,58,False,37.0,24.0,16.0,3.0,0.0,24.0,29.0,8.0,3.0,1.0,1.0,3.0,90.0,41.0,6.7,13.0,0.0001437,0,0.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514039,home,FC Arouca,Tiago Esgaio,,,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,64.0,51.0,9.0,5.0,0.0,33.0,36.0,30.0,3.0,,,,90.0,102.0,8.2,16.0,0.0249951,2,,18.0,2.0,8.0,1.0,15.0,2.0,4.0,2.0,2.0,6.0,3.0,2.0,1.0,0.0685,1.0,,,,,,,,,,,,,,,,,,,,
12514039,home,FC Arouca,Boris Popović,,,boris-popovic,B. Popović,D,5,189,112,M,902050,EUR,951523200,D,13,13,False,79.0,74.0,3.0,,0.0,59.0,61.0,19.0,2.0,,,,90.0,87.0,6.4,6.0,0.0225035,0,,16.0,1.0,,3.0,,,2.0,1.0,1.0,,,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
12514039,home,FC Arouca,Jose Fontán,,,jose-fontan,J. Fontán,D,3,182,67,M,964609,EUR,950227200,D,3,3,False,82.0,74.0,10.0,5.0,0.0,50.0,53.0,29.0,1.0,,,,90.0,89.0,6.5,8.0,0.00955903,0,,24.0,,3.0,6.0,4.0,,4.0,1.0,,1.0,,,1.0,,,,3.0,,,2.0,1.0,,,,,,,,,,,,,,
12514039,home,FC Arouca,Ivo Rodrigues,,,ivo-rodrigues,I. Rodrigues,M,7,182,202,M,190171,EUR,796521600,M,7,7,False,30.0,22.0,1.0,,0.0,5.0,5.0,26.0,1.0,,,,75.0,51.0,7.1,17.0,0.060536,2,,17.0,1.0,3.0,10.0,9.0,2.0,3.0,1.0,,3.0,3.0,,1.0,0.1038,1.0,,4.0,,3.0,2.0,,3.0,3.0,3.0,,,,,,,,,,,
12514039,home,FC Arouca,Taichi Fukui,,,taichi-fukui,T. Fukui,M,21,177,1092,M,1105857,EUR,1089849600,M,21,21,False,51.0,45.0,4.0,3.0,0.0,26.0,27.0,24.0,4.0,,,,90.0,59.0,6.8,10.0,0.0130695,1,,19.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,0.0211,,,,,2.0,,,,1.0,,,,,,,,,,,,
12514039,home,FC Arouca,David Simão,,,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,61.0,54.0,3.0,1.0,0.0,28.0,31.0,31.0,5.0,,,,75.0,67.0,6.8,9.0,0.031476,1,,26.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,0.0289,,,,,1.0,,,,1.0,1.0,True,,,,,,,,,,
12514039,home,FC Arouca,Amadou Dante,,,amadou-dante,A. Dante,D,44,179,1391,M,982610,EUR,970876800,M,27,27,False,30.0,27.0,3.0,3.0,0.0,19.0,22.0,11.0,2.0,,,,90.0,62.0,7.3,7.0,0.0975102,0,,9.0,3.0,,4.0,7.0,,3.0,,3.0,3.0,3.0,2.0,,,1.0,1.0,1.0,,,2.0,,,3.0,2.0,,1.0,,,,,,,,,
12514039,home,FC Arouca,Jason,,,jason,Jason,M,23,179,253,M,330677,EUR,773452800,F,10,10,False,33.0,25.0,1.0,,0.0,7.0,9.0,31.0,7.0,,,,87.0,55.0,7.6,16.0,0.313068,3,,20.0,7.0,,6.0,5.0,1.0,1.0,,1.0,,,5.0,1.0,0.379,2.0,2.0,1.0,,,2.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,0.8655,,,,,
12514039,home,FC Arouca,Alfonso Trezza,,,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,F,19,19,False,17.0,15.0,1.0,1.0,1.0,3.0,3.0,14.0,3.0,,,,87.0,25.0,7.1,7.0,0.211002,1,,12.0,,,6.0,,1.0,1.0,,,,,,1.0,0.021,3.0,,2.0,,3.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,
